순번,회사명,대표자명,공장대표주소(도로명),공장대표주소(지번),대표업종번호,업종번호,업종명,행정기관,등록일,종업원수,생산품
101,(주)수리산업 여주남로공장,"이수언, 이성훈",경기도 여주시 가남읍 여주남로 654-18,경기도 여주시 가남읍 본두리 554-8번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2014-05-21,12,"콘크리트타일,기와,벽돌"
102,(주)수리산업여주테라조공장,이성훈,경기도 여주시 가남읍 여주남로 654-16 외 2필지,경기도 여주시 가남읍 본두리 587-16번지 외 2필지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2016-07-07,4,"테라조타일,무늬타일"
221,(주)토암에코텍,이성종,경기도 여주군 능서면 양화로 356,경기도 여주군 능서면 마래리 532-1번지,23324,"23324, 13992","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2011-07-26,7,"호암블럭, 식생매트"
391,동진산업(주),오병춘,경기도 여주시 강천면 웃설만이길 88,경기도 여주시 강천면 강천리 19-10번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2015-04-27,7,블록
392,동진케이텍(주),유남희,경기도 여주시 강천면 강천로 106,경기도 여주시 강천면 적금리 21-3번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2023-01-13,3,콘크리트벽돌
472,석성기업(주),강남훈,경기도 여주시 북내면 내룡길 38,경기도 여주시 북내면 내룡리 161-3번지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2023-10-30,8,"콘크리트 벽돌, 흙망태"
519,신용기업,"이현, 이유진",경기도 여주시 도예로 203 (오학동) 외 1필지,경기도 여주시 오학동 75-2번지 외 1필지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2023-07-10,3,콘크리트 벽돌
614,일신산업(주),최재홍,경기도 여주시 대신면 상구5길 58 외 6필지,경기도 여주시 대신면 상구리 148-3번지 외 6필지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2017-11-09,24,콘크리트타일
635,주식회사 두라스택,김경일,경기도 여주시 강천면 강천로 163 외 2필지,경기도 여주시 강천면 강천리 342-1 외 2필지,23324,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",경기도 여주시,2019-02-18,10,"블록, 벽돌 등"
185,(주)정원메모리얼,신병섭,경기도 여주시 점동면 송삼로 64,경기도 여주시 점동면 원부리 165-1번지,23325,"23325, 23326, 25995, 25999",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 3 종,경기도 여주시,2005-01-26,12,조립식구조재납골안치단
206,(주)케이씨산업,"이홍재,최경침",경기도 여주시 가남읍 가남로 465 외 1필지,경기도 여주시 가남읍 양귀리 640-10 외 1필지,23325,"23325, 23322, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,경기도 여주시,2023-05-01,19,"조립식암거,옹벽,콘크리트관, 레미콘"
222,(주)토암콘크리트,김이숙,경기도 여주시 가남읍 월평로 563-32,경기도 여주시 가남읍 화평리 6-27,23325,"23325, 23322, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,경기도 여주시,2022-12-30,5,"수로관,맨홀,레미콘"
378,동산콘크리트산업(주),전진용,경기도 여주시 주내로 877 (멱곡동),경기도 여주시 멱곡동 323,23325,"23325, 23324, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,경기도 여주시,2023-03-20,6,콘크리트제품
383,동성콘크리트공업(주),황보라,경기도 여주시 장여로 1514 (삼교동) 외 15필지,경기도 여주시 삼교동 178-3번지 외 15필지,23325,"23325, 23324, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,경기도 여주시,2018-06-20,8,"흄관,골륨관,수로관,맨홀블록,호안및옹벽블록 등"
458,삼표피앤씨(주),차재정,경기도 여주시 점동면 안평로 53,경기도 여주시 점동면 사곡리 19-1번지,23325,"23325, 23326, 23329",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,경기도 여주시,2023-08-08,20,구조용 콘크리트제품
43,(주)동보씨앤비,박은희,경기도 여주시 가남읍 은봉길 47-1,경기도 여주시 가남읍 심석리 76-5번지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2014-07-28,10,콘크리트제품
95,(주)세영콘크리트,우종세,경기도 여주시 가남읍 여주남로 872-6,경기도 여주시 가남읍 삼군리 1-6,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2017-08-10,5,"수로관,맨홀"
172,(주)이수이앤씨,곽상권,경기도 여주시 점동면 점동로 369,경기도 여주시 점동면 사곡리 85-3번지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2019-02-01,40,조립식 콘크리트 제품(PC)
214,(주)콘크리트1공장,부석환,경기도 여주시 점동면 점동로 109,경기도 여주시 점동면 사곡리 330-10,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2022-05-10,20,"수로관, 맨홀, 보강토블럭, 수로관, 맨홀, 보강토블럭"
215,(주)콘크리트2공장,부석환,경기도 여주시 점동면 점동로 111,경기도 여주시 점동면 사곡리 341,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2022-05-10,10,"조립식 pc맨홀, 대형구조물"
217,(주)태바콘크리트,김재홍,경기도 여주시 강천면 강천로 167,경기도 여주시 강천면 강천리 672,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2025-03-24,10,"콘크리트패널, 콘크리트패널"
263,강남건영(주)제1공장,신승호,경기도 여주시 도예로 268(오학동) 외 6필지,경기도 여주시 오학동 1-1 외 6필지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2022-11-04,40,콘크리트 제품
370,도봉콘크리트(주),한홍희,경기도 여주시 점동면 장여로 1371 (총 6 필지),경기도 여주시 점동면 처리 647-3번지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2016-08-03,35,흄관
454,삼일맨홀콘크리트,이지형,경기도 여주시 가남읍 양화로 58 외 5필지,경기도 여주시 가남읍 삼군리 188-18번지 외 5필지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2018-01-30,6,"맨홀, 집수정"
533,에스와이코어피씨 주식회사,"이재우, 유재식",경기도 여주시 북내면 외재로 170,경기도 여주시 북내면 외룡리 383-10번지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2025-06-23,5,"프리캐스트 콘크리트 제품, 프리캐스트 콘크리트 제품"
538,에이치디씨현대피씨이(주),김상균,경기도 여주시 점동면 장여로 849 외 1필지,경기도 여주시 점동면 덕평리 188-5번지 외 1필지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2025-04-15,28,"콘크리트조립구조물, 콘크리트조립구조물"
594,유정산업(주),"최진용, 최진호",경기도 여주시 금사면 이여로 1195 외 15필지,경기도 여주시 금사면 궁리 135번지 외 15필지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2017-05-24,50,"PHC파일,콘크리트 PC전주,통신주"
613,일신산업(주),최재홍,"경기도 여주시 신단1길 33-27, (연양동 159번지로 최초등록) (연양동)",경기도 여주시 연양동 159-1번지 (연양동 159번지로 최초등록),23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2023-09-20,10,콘크리트 타일
646,주식회사 성원피씨산업,김재영,경기도 여주시 점동면 청안로 154-56 외 2필지,경기도 여주시 점동면 사곡리 328-9 외 2필지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2022-12-15,10,콘크리트 암거
730,토탈피씨산업(주),서순애,경기도 여주시 점동면 송삼로 64,경기도 여주시 점동면 원부리 165-1번지,23325,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,경기도 여주시,2004-09-02,10,"콘크리트제품(암거,맨홀등)"
224,(주)팬트론,박승천,경기도 여주시 주내로 865 (멱곡동) 외 6필지,경기도 여주시 멱곡동 327번지 외 6필지,26323,"26323, 26294, 26299, 26322, 26329, 28113, 28119, 28422, 28423",컴퓨터 프린터 제조업 외 8 종,경기도 여주시,2012-11-09,30,컴퓨터프린터
626,제이케이식품,이종순,경기도 여주시 강천면 곱새기로 106,경기도 여주시 강천면 걸은리 793-5,10891,"10891, 10892, 10899",커피 가공업 외 2 종,경기도 여주시,2021-01-27,2,"원두커피, 액상커피, 밀크티"
244,(주)핸디엄,정진욱,경기도 여주시 세종대왕면 상동길 68 외 1필지,경기도 여주시 세종대왕면 백석리 550 외 1필지,10891,"10891, 10892",커피 가공업 외 1 종,경기도 여주시,2023-05-22,20,"원두커피, 커피관련 원액 및 음료"
707,커피나라,김은식,경기도 여주시 점동면 점동로 342,경기도 여주시 점동면 사곡리 86-3번지,10891,"10891, ",커피 가공업,경기도 여주시,2013-10-30,5,커피
153,(주)우진텍스텍,최현우,경기도 여주시 산북면 금품1로 143,경기도 여주시 산북면 후리 18-11,13221,"13221, ",침구 및 관련제품 제조업,경기도 여주시,2023-03-08,10,매트리스 커버
638,주식회사 모레컴퍼니,지광현,경기도 여주시 세종대왕면 양화로 740,경기도 여주시 세종대왕면 매류리 150-17,27192,"27192, 25912, 25929, 27193, 27194",치과기공물 제조업 외 4 종,경기도 여주시,2024-07-30,3,"의료기기, 공구, 의료공구, 정형외과용 임플란트"
34,(주)대홍사,김응주,경기도 여주시 독바위길 7 (오학동),경기도 여주시 오학동 87-1번지,33301,"33301, ","체조, 육상 및 체력단련용 장비 제조업",경기도 여주시,2019-08-19,2,운동기구
469,서흔메디,백영진,경기도 여주시 오금1길 31-8 (오금동),경기도 여주시 오금동 185-4,21301,"21301, 21309",체외 진단 시약 제조업 외 1 종,경기도 여주시,2019-07-19,2,소독포
361,대주종합농산,임종열,경기도 여주시 점동면 모래실1길 28,경기도 여주시 점동면 사곡리 214-2번지,10832,"10832, 10412",천연 및 혼합조제 조미료 제조업 외 1 종,경기도 여주시,2014-07-15,7,고추가루
158,(주)월송농산,배명곤,경기도 여주시 월평로 19 (총 2 필지),경기도 여주시 월송동  323-1번지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2013-11-22,7,고추가루
212,(주)코리아제니스,김상백,경기도 여주시 가남읍 매양로 457 외 1필지,경기도 여주시 가남읍 상활리 154번지 외 1필지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2017-07-03,16,"핫소스,스테이크소스,돈가스소스"
305,농성원푸드,현영선 ,경기도 여주시 가남읍 여주남로 872-11 외 3필지,경기도 여주시 가남읍 삼군리 8 외 3필지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2023-02-06,7,고추가루
325,농업회사법인(주) 레드푸드,김재식,경기도 여주시 가남읍 경충대로 1527-18 외 5필지,경기도 여주시 가남읍 신해리 606 외 5필지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2017-07-31,11,천연 및 혼합조미료
386,동영농산 A&P.CO,오충근,경기도 여주시 가여로 507 (하거동),경기도 여주시 하거동 487번지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2018-12-04,1,"마늘, 고추, 과일 등 건조, 고추와사비 등 건조, 고추향신료 조제 등"
395,두배식품,배순애,경기도 여주시 점동면 청안로 154-24 외 1필지,경기도 여주시 점동면 청안리 120-5 외 1필지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2022-01-21,3,혼합간장
656,주식회사 은산푸드,박영성,경기도 여주시 가남읍 상활1길 56-55,경기도 여주시 가남읍 상활리 59-11번지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2021-04-21,3,"소스류(쟁반국수, 족발)"
715,쿠산코리아(주),"김동완,최재석",경기도 여주시 삼교1길 10-4 (삼교동),경기도 여주시 삼교동 468-2번지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2019-07-19,12,천연 향신재료분(카레 등)
716,쿡앤핑코리아,최상희,경기도 여주시 가남읍 삼군리 516-11번지 외 1필지,경기도 여주시 가남읍 삼군리 516-11번지 외 1필지,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2021-02-09,6,고춧가루
727,태평농산,이한구,경기도 여주시 가남읍 여주남로 609,경기도 여주시 가남읍 본두리 36-10,10832,"10832, ",천연 및 혼합조제 조미료 제조업,경기도 여주시,2020-12-02,4,고춧가루
157,(주)원탑이앤지,정인승,경기도 여주시 점동면 장여로 1318-19,경기도 여주시 점동면 처리 537-1번지,13224,"13224, 13229, 13999, 25119","천막, 텐트 및 유사 제품 제조업 외 3 종",경기도 여주시,2022-05-25,10,"텐트,막구조물"
650,주식회사 아킨스,정준희,경기도 여주시 점동면 장여로 1318-19,경기도 여주시 점동면 처리 537-1,13224,"13224, 13229, 13999, 25119","천막, 텐트 및 유사 제품 제조업 외 3 종",경기도 여주시,2022-05-25,4,막구조물
85,(주)서울티이엔티,정선애,경기도 여주시 여양로 365(오학동) 외 1필지,경기도 여주시 오학동 97-1 외 1필지,13224,"13224, 13229, 25119","천막, 텐트 및 유사 제품 제조업 외 2 종",경기도 여주시,2022-06-02,9,천막
770,한진산업,김연준,경기도 여주시 가남읍 신해1길 79 (총 2 필지) 외 1필지,경기도 여주시 가남읍 신해리 268-1번지 외 1필지,13224,"13224, 13221, 13229, 13922, 13991, 13999, 14111, 14112, 14191, 14192, 14199, 14499, 15129, 15190","천막, 텐트 및 유사 제품 제조업 외 13 종",경기도 여주시,2013-12-05,8,"군용품(섬유, 직물류)"
210,(주)케이원스페이스,김정숙,경기도 여주시 가여로 487 (하거동),경기도 여주시 하거동 484번지,13224,"13224, 13229","천막, 텐트 및 유사 제품 제조업 외 1 종",경기도 여주시,2023-09-18,7,텐트 및 천막제조
703,청원농산,박태식,경기도 여주시 가남읍 가남로 230 외 1필지,경기도 여주시 가남읍 하귀리 16-3번지 외 1필지,13224,"13224, 13229","천막, 텐트 및 유사 제품 제조업 외 1 종",경기도 여주시,2001-03-06,5,차광망
166,(주)유일기연,"이선정, 이재혁",경기도 여주시 가여로 487 외 1필지,경기도 여주시 하거동 484-5 외 1필지,13224,"13224, ","천막, 텐트 및 유사 제품 제조업",경기도 여주시,2025-04-21,2,"가동보, 수문"
625,제이제이RV,정지민,경기도 여주시 가남읍 경충대로 1473-50,경기도 여주시 가남읍 신해리 657-15번지,30201,"30201, 30202",차체 및 특장차 제조업 외 1 종,경기도 여주시,2021-04-06,7,캠핑카
251,Greenwave,홍현숙,경기도 여주시 가남읍 경충대로 1539,경기도 여주시 가남읍 신해리 603-6,30201,"30201, ",차체 및 특장차 제조업,경기도 여주시,2018-06-07,3,특장차(탑차)
592,유림산업,김변기,경기도 여주시 점동면 부구로 34,경기도 여주시 점동면 청안리 84-3번지,13225,"13225, 22251, 22259",직물포대 제조업 외 2 종,경기도 여주시,2020-01-16,5,"피피폼테이프(pp foam tape), 피피포대"
230,(주)하이드로,박미은,경기도 여주시 흥천면 장등말길 49,경기도 여주시 흥천면 외사리 151-4번지,29177,"29177, 25929, 28123, 29120, 29131, 29133","증류기, 열교환기 및 가스발생기 제조업 외 5 종",경기도 여주시,2019-09-27,9,"열교환기,히트펌프,수중모터펌프"
277,고운,신종철,경기도 여주시 금사면 이여로 1193,경기도 여주시 금사면 궁리 136번지,29293,"29293, ",주형 및 금형 제조업,경기도 여주시,2020-11-18,13,유로폼
