docity,do,city,longitude,latitude,dist_Wolseong_km,dist_Kori_Saeul_km,dist_Hanul_km,dist_Hanbit_km,
강원정선군,강원,정선군,128.6630861,37.37780833,187.8760838,235.9924134,150.7035703,296.293199,150.7035703
충청연동면,충청,연동면,127.3268658,36.5590889,189.6797606,219.1845454,257.604325,150.9434501,150.9434501
충청연서면,충청,연서면,127.2716217,36.592587,195.7887061,225.3620492,262.0936074,151.5261286,151.5261286
충청서산시,충청,서산시,126.4521639,36.78209722,270.6235072,296.9624948,333.7206654,152.0354816,152.0354816
충청조치원읍,충청,조치원읍,127.298399,36.604528,194.3312463,224.3570357,259.5813073,153.8890175,153.8890175
충청보은군,충청,보은군,127.7316083,36.48653333,154.3304967,186.81928,222.9623657,167.4861214,154.3304967
충청청원군,충청,청원군,127.431119,36.549748,181.0142791,211.3704851,248.4896656,155.3501072,155.3501072
충청단양군,충청,단양군,128.3678417,36.98178056,156.0587317,201.3800274,164.1828852,246.5216647,156.0587317
충청전의면,충청,전의면,127.1955125,36.6812513,206.5206947,236.870101,268.0329292,156.9605563,156.9605563
강원강릉시,강원,강릉시,128.8784972,37.74913611,225.0147185,273.8419906,157.5119896,339.6745464,157.5119896
충청소정면,충청,소정면,127.1582525,36.7223175,211.6871165,242.3494398,271.0923635,159.6482712,159.6482712
강원영월군,강원,영월군,128.4640194,37.18086111,172.5358568,219.3082912,159.8894564,268.2797168,159.8894564
충청아산시,충청,아산시,127.0046417,36.78710556,227.1372083,257.4798755,284.5202993,161.244904,161.244904
충청청주시,충청,청주시,127.5117306,36.58399722,176.7365689,208.5211547,240.8854496,162.7027671,162.7027671
충청나리1로,충청,나리1로,126.613277,36.891878,263.2181278,292.1239634,319.3050013,165.0990762,165.0990762
충청나리로,충청,나리로,126.613277,36.891878,263.2181278,292.1239634,319.3050013,165.0990762,165.0990762
충청당진시,충청,당진시,126.6302528,36.89075,261.8307286,290.8373143,317.7938108,165.1383497,165.1383497
충청천안시,충청,천안시,127.1524667,36.804125,216.8752588,248.6945075,271.3256362,167.756108,167.756108
충청만남로,충청,만남로,127.160304,36.822626,217.4010495,249.5485457,270.6065344,169.9219582,169.9219582
강원평창군,강원,평창군,128.3923528,37.36791667,194.2052501,241.0511525,172.3322197,279.628556,172.3322197
충청괴산군,충청,괴산군,127.7888306,36.81243056,172.5423902,210.6478206,214.6652749,197.9297589,172.5423902
충청제천시,충청,제천시,128.1931528,37.12976944,177.9719728,222.6061895,182.026459,248.0066826,177.9719728
충청충주시,충청,충주시,127.9281444,36.98818056,178.3995159,219.7221805,203.1067592,220.940596,178.3995159
충청진천군,충청,진천군,127.4376444,36.85253889,199.2075589,234.2732751,245.9290203,183.951525,183.951525
충청증평군,충청,증평군,127.5832889,36.78218056,184.1805082,219.747589,233.013062,184.2833138,184.1805082
충청당진군,충청,당진군,127.684597,36.881997,184.5993096,222.4457232,224.023763,198.545853,184.5993096
경기평택시,경기,평택시,127.1146556,36.98943889,231.2942686,265.225925,275.1656919,185.7153818,185.7153818
충청음성군,충청,음성군,127.6926222,36.93740556,188.3471906,226.8891892,223.5657859,204.0166024,188.3471906
경기안성시,경기,안성시,127.2818444,37.005175,220.6092838,256.1324587,260.4667532,192.8443992,192.8443992
강원양양군,강원,양양군,128.6213556,38.07283333,264.1102847,312.6102775,198.635452,354.484845,198.635452
경기오산시,경기,오산시,127.0796417,37.14691389,244.4703349,279.8984907,279.8554737,201.3487215,201.3487215
경기화성시,경기,화성시,126.8335306,37.19681667,265.0636639,299.1764204,302.1845261,201.4997702,201.4997702
강원원주시,강원,원주시,127.9220556,37.33908333,210.3428605,253.9965606,210.8013942,252.5044637,210.3428605
강원횡성군,강원,횡성군,127.9872222,37.48895833,221.7014666,266.5024756,210.5536801,269.6800114,210.5536801
강원속초시,강원,속초시,128.5941667,38.204275,278.9113589,327.4176701,210.8218851,365.3818248,210.8218851
경기안산시,경기,안산시,126.8468194,37.29851944,271.1001986,306.3356331,302.6847772,212.8336695,212.8336695
제주제주시,제주,제주시,126.5332083,33.49631111,347.6851077,316.3500828,495.9894447,213.5836873,213.5836873
경기용인시,경기,용인시,127.2038444,37.23147778,242.3041678,279.5452284,270.2956713,213.7251856,213.7251856
경기수원시,경기,수원시,127.0122222,37.30101111,260.0896161,296.5360673,288.3177082,216.2294921,216.2294921
경기의왕시,경기,의왕시,126.9703889,37.34195,265.8732698,302.3941528,292.7872068,219.7802723,219.7802723
경기시흥시,경기,시흥시,126.8050778,37.37731944,279.5198787,315.2082123,307.878948,220.8504103,220.8504103
경기군포시,경기,군포시,126.9375,37.35865833,269.2832153,305.7217194,295.9957652,220.9596319,220.9596319
경기여주시,경기,여주시,127.6396222,37.29535833,221.0348196,262.2535267,233.8018231,235.7261311,221.0348196
경기여주군,경기,여주군,127.652958,37.324606,222.841023,264.368239,233.4008368,239.1529064,222.841023
인천시연수구,인천시,연수구,126.6782658,37.41038125,290.5061181,325.6473449,319.58003,223.0404731,223.0404731
경기안양시,경기,안양시,126.9533556,37.3897,270.5299095,307.3563646,295.3100784,224.6299862,224.6299862
경기이천시,경기,이천시,127.4432194,37.27543611,230.7388145,270.2518192,250.327773,226.1153073,226.1153073
경기옹진군,경기,옹진군,126.6388889,37.443725,295.54218,330.7286223,323.7237056,226.4022151,226.4022151
강원홍천군,강원,홍천군,127.8908417,37.69442222,245.8227066,290.8207509,227.2971722,285.3147148,227.2971722
강원인제군,강원,인제군,128.1726972,38.06697222,273.8052682,321.0144758,227.7808585,333.5082927,227.7808585
인천시남동구,인천시,남동구,126.7309669,37.44971062,289.7115265,325.5520169,315.9082338,227.9106963,227.9106963
경기인천시청,경기,인천시청,126.7059186,37.45617301,291.8644893,327.5972804,318.2211537,228.365588,228.365588
인천시남구,인천시,남구,126.6502972,37.46369169,296.17044,331.6081236,323.1964851,228.7023372,228.7023372
인천시미추홀구,인천시,미추홀구,126.6502972,37.46369169,296.17044,331.6081236,323.1964851,228.7023372,228.7023372
경기과천시,경기,과천시,126.9898,37.42637222,270.9188563,308.3152823,293.0345317,229.3129941,229.3129941
인천시중구,인천시,중구,126.6217617,37.47384843,298.8322486,334.1761784,325.8962903,229.6164105,229.6164105
인천시동구,인천시,동구,126.6432441,37.47401607,297.3819029,332.8649471,324.0476416,229.7910371,229.7910371
서울금천구,서울,금천구,126.9041972,37.44910833,278.1837659,315.1810302,300.9650937,230.2267327,230.2267327
강원고성군,강원,고성군,128.4701639,38.37796111,300.0112665,348.3579549,232.4077845,376.3479311,232.4077845
경기광명시,경기,광명시,126.8667083,37.47575,282.6247526,319.5917336,304.858036,232.5419747,232.5419747
서울관악구,서울,관악구,126.9538444,37.47538611,276.9670839,314.520947,297.3701164,233.9555849,233.9555849
인천시부평구,인천시,부평구,126.7219068,37.50784204,294.5327817,330.8135525,318.1113106,234.2340224,234.2340224
경기부천시,경기,부천시,126.766,37.5035917,291.300943,327.8329087,314.2176114,234.2467615,234.2467615
경기광주시,경기,광주시,127.2577861,37.41450556,253.2284631,292.4414253,269.6976447,234.5191419,234.5191419
서울구로구,서울,구로구,126.8895972,37.49265,282.4129086,319.6730428,303.332144,234.7476506,234.7476506
경기성남시,경기,성남시,127.1477194,37.44749167,262.6012149,301.2805701,280.0124608,235.0944316,235.0944316
전라광주시,전라,광주시,127.2551569,37.42949814,254.6036981,293.9126779,270.3248654,236.0236842,236.0236842
서울서초구,서울,서초구,127.0348111,37.48078611,272.2519652,310.4042707,290.5784833,236.1129822,236.1129822
서울양천구,서울,양천구,126.8687083,37.51423056,285.3970044,322.6930285,305.6965183,236.7877231,236.7877231
