번호,회사명,단지명,대표자명,공장대표주소,업종명
2603,농업회사법인 (주)주호,정읍고부농공단지,이*용,전라북도 정읍시 고부면 고부농단길 11-14 (대성㈜),동물용 사료 및 조제식품 제조업
2604,(유)신우에스엔에프,정읍고부농공단지,박*섭,전라북도 정읍시 고부면 고부농단길 30,기타 비알콜음료 제조업
2605,농업회사법인 샘실(주),정읍태인농공단지,강*홍,전라북도 정읍시 태인면 태인공단2길 7,떡류 제조업 외 2 종
2606,(주)호연이엔지,,최*연,전라북도 정읍시 입암면 면접길 234,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종"
2607,정읍자동차보링공업사,,배*수,전라북도 정읍시 2산단1길 67 (하북동),그외 기타 자동차 부품 제조업
2608,(주)세창스틸,정읍제2지방산업단지,이*선,전라북도 정읍시 정신로 32 (하북동),금속압형제품 제조업 외 1 종
2609,(유)천지,정읍태인농공단지,이*실,전라북도 정읍시 태인면 태인공단2길 69,배전반 및 전기자동제어반 제조업 외 2 종
2610,(주)배농하이켐,정읍신태인농공단지,김*배,전라북도 정읍시 신태인읍 신태인공단길 17,복합비료 제조업
2611,우림 F&B,,이*미,"전라북도 정읍시 정읍사로 509, 창업보육센터 301호 (시기동, 전북과학대학)",기타 과실·채소 가공 및 저장처리업
2612,(주)진스틸,정읍북면농공단지,"정*식, 박*순",전라북도 정읍시 북면 북면공단2길 85-18 (북면),금속선 가공제품 제조업
2613,한백전자,,한*아,전라북도 정읍시 소성면 신천1길 21 (한신 플라 예크),그외 기타 플라스틱 제품 제조업
2614,(주)스카이,정읍북면농공단지,유*미,전라북도 정읍시 북면 북면공단2길 67,방송장비 제조업
2615,(주)신운,,이*희,전라북도 정읍시 고부면 덕신강길 72,그외 기타 플라스틱 제품 제조업
2616,남원철망,,오*섭,전라북도 남원시 주생면 요천로 720-6 (남원철망),금속선 가공제품 제조업
2617,대진프라스틱공업,,박*국,전라북도 남원시 대강면 송대리 311번지,"플라스틱 선, 봉, 관 및 호스 제조업"
2618,농업회사법인 자연미곡종합처리장(주),,신*열,전라북도 남원시 주생면 요천로 864-16 (자연미곡종합처리장),곡물 도정업
2619,지산공예,,박*수,전라북도 남원시 산내면 백일길 5 (지산공목기공장),주방용 및 식탁용 목제품 제조업
2620,주식회사 반디,남원광치농공단지,이*섭,"전라북도 남원시 광치산업1길 20-17, 반디 (용정동)","금속 문, 창, 셔터 및 관련제품 제조업"
2621,빛과 소금,,김*철,전라북도 남원시 이백면 이백로 379,천연 및 혼합조제 조미료 제조업 외 1 종
2622,남원육계영농조합법인,,윤*호,전라북도 남원시 중갈치길 53 (갈치동),동물용 사료 및 조제식품 제조업
2623,필승공업사,,황*진,전라북도 남원시 용정동 329-1번지,토목공사 및 유사용 기계장비 제조업
2624,(주)테마이엔씨,남원 노암제2농공단지,임*명,전라북도 남원시 시묘길 56-86 (노암동),방송장비 제조업 외 11 종
2625,(주)두산스틸,남원광치2농공단지,정*덕,"전라북도 남원시 광치농공2길 18 (용정동, (유)동양스틸) (총 2 필지)",금속 조립구조재 제조업
2626,(유)경희산업,,채*숙,전라북도 남원시 사매면 대신리 산 73번지,비금속광물 분쇄물 생산업
2627,(유)남원수지,,김*석,"전라북도 남원시 대산면 대사로 196, (수덕리 721) (총 5 필지)",그외 기타 플라스틱 제품 제조업
2628,남원초경,,송*희,전라북도 남원시 농원길 178 (조산동),절삭가공 및 유사처리업
2629,유한회사 호남그린철망,,백*봉,전라북도 남원시 문오로 524 (어현동),금속선 가공제품 제조업
2630,농업회사법인(유)만경도정공장,,방*,전라북도 김제시 만경읍 몽포길 52-3,곡물 도정업
2631,(주)신일기업,,이*구,"전라북도 김제시 용마로 10 (난봉동, (유)신일기업)",강관 제조업 외 1 종
2632,(유)신성환경엔지니어링,,박*호,전라북도 김제시 황산면 남양2길 311,저장용 및 위생용 플라스틱제품 제조업
2633,(주)제이엠,김제순동지방산업단지,문*영,"전라북도 김제시 순동산단길 160 (순동, 제이엠㈜)",금속 열처리업
2634,네오시스템,,정*수,전라북도 김제시 용지면 금백로 651 (그린퍼니처),기타 목재가구 제조업
2635,다다벽돌,,김*민,전라북도 김제시 백구면 학동2길 29-4,건설용 석제품 제조업
2636,환희식품,,조*심,전라북도 김제시 금산면 삼봉리 614-5번지 외 1필지,기타 육류 가공 및 저장처리업
2637,서원산업(주),,김*방,전라북도 김제시 금구면 애통길 64 (서원 산업㈜),플라스틱 창호 제조업
2638,변암금속,김제서흥농공단지,김*례,"전라북도 김제시 서흥공단2길 69 (흥사동, ㈜비에이메탈)",절삭가공 및 유사처리업 외 1 종
2639,(주) 유경덴탈워크,,유*,전라북도 김제시 서암동 377-1번지,정형외과용 및 신체보정용 기기 제조업
2640,(유)장영하이텍,,이*수,전라북도 김제시 금구면 옥용3길 33 ((유)장영플랜트),금속 조립구조재 제조업
2641,(유)삼흥산업,김제봉황농공단지,송*덕,전라북도 김제시 봉황공단1길 141 (오정동),부직포 및 펠트 제조업 외 2 종
2642,우정공사,,우*섭,전라북도 김제시 공덕면 유강로 262 (총 2 필지),"금속 문, 창, 셔터 및 관련제품 제조업"
2643,대원산업,김제순동지방산업단지,박*길 외 1명,"전라북도 김제시 순동산단길 170-16 (순동, 디엔지 종합건설(유))",구조용 금속판제품 및 금속공작물 제조업
2644,농업회사법인 유한회사 새만금유기농꾸지뽕,,이*성,전라북도 김제시 금산면 금산사4길 208,기타 비알콜음료 제조업
2645,(주)호롱불,,유*삼,"전라북도 김제시 공덕면 유강3길 133,  벽성대학교 창업보육센터 205",일반용 전기 조명장치 제조업
2646,주식회사 알룩스,김제순동지방산업단지,백*훈,전라북도 김제시 순동산단1길 73 (순동),그외 기타 자동차 부품 제조업
2647,(주)호이스트코리아,,박*배,전라북도 김제시 백구면 석담4길 131-6 (총 3 필지),기타 물품취급장비 제조업 외 2 종
2648,(유)대신 신재생산업,,김*수,전라북도 김제시 용지면 석정로 684 ((주)대신신재생산업),"라이터, 연소물 및 흡연용품 제조업 외 1 종"
2649,주식회사 일강,김제지평선일반산업단지,정*민,전라북도 김제시 백산면 백석로 344,자동차용 동력전달장치 제조업 외 1 종
2650,우진퍼니쳐,,최*숙,"전라북도 김제시 백구면 번영로 2743-14,  (마산리 414-11번지)",기타 목재가구 제조업
2651,(주)에스지테크,,김*생,"전라북도 김제시 백구면 공술길 79, (학동리106-1)","탭, 밸브 및 유사장치 제조업 외 1 종"
2652,(유)세안엔비텍,,이*현,"전라북도 김제시 공덕면 청공로 782-27,  공덕리 372-2",액체 여과기 제조업 외 6 종
2653,주식회사 황등석재 2공장,,이*식,전라북도 김제시 백구면 학동2길 96,건설용 석제품 제조업
2654,박씨네누룽지 영농조합법인,,박*복,전라북도 김제시 금구면 용복리 269-34번지,기타 곡물가공품 제조업
2655,(주)미리내레즈,김제봉황농공단지,김*욱,"전라북도 김제시 봉황공단2길 29-34, (오정동 170-3) (오정동)",금속 조립구조재 제조업 외 3 종
2656,한국구보다(주),김제자유무역지역,토미타 야**미,전라북도 김제시 백산면 자유무역길 41-27,농업 및 임업용 기계 제조업 외 1 종
2657,(주)퍼스트메카트로닉스,,황*철,전라북도 김제시 순동 251-73번지,전시 및 광고용 조명장치 제조업
2658,조인스틸(주),,정*성,전라북도 김제시 용지면 황토로 414-42,금속 조립구조재 제조업
2659,가공조은석재,,박*노,전라북도 김제시 백구면 학동2길 86-12,기타 석제품 제조업
2660,농업회사법인(유)성민,김제순동지방산업단지,김*우,"전라북도 김제시 순동산단길 60 (순동, 정토김치)",기타 과실·채소 가공 및 저장처리업 외 1 종
2661,(주)광스틸,김제지평선일반산업단지,곽*학,전라북도 김제시 백산면 지평선산단4길 131,구조용 금속판제품 및 금속공작물 제조업 외 1 종
2662,(유)서한산업,김제지평선일반산업단지,김*철,전라북도 김제시 백산면 지평선산단2길 16,일반철물 제조업
2663,만원케미칼(주),김제지평선일반산업단지,안*인,전라북도 김제시 백산면 지평선산단6길 191,그외 기타 분류안된 화학제품 제조업
2664,(주)강진산업,김제대동농공단지,김*식,전라북도 김제시 백산면 대동공단2길 34-22,토목공사 및 유사용 기계장비 제조업
2665,(주)화신,완주산업단지,김*렬,전라북도 완주군 봉동읍 완주산단5로 121 ((주)화신),자동차 차체용 부품 제조업
2666,대륜산업(주),전주과학산업연구단지,이*협,전라북도 완주군 봉동읍 완주산단7로 115,산업용 송풍기 및 배기장치 제조업 외 2 종
2667,영동기업,전주과학산업연구단지,심*정,전라북도 완주군 봉동읍 완주산단2로 273,자동차 차체용 부품 제조업 외 3 종
2668,(주)에이에스에이 전주공장,전주과학산업연구단지,유*기,전라북도 완주군 봉동읍 완주산단8로 45,그외 기타 자동차 부품 제조업
2669,서해테크(주),전주과학산업연구단지,김*수,전라북도 완주군 봉동읍 둔산1로 38 (서해테크),주형 및 금형 제조업 외 2 종
2670,도로이엔지,,안*희,전라북도 완주군 용진면 봉서로 75,금속 조립구조재 제조업
2671,알에스그린,,강*조,전라북도 완주군 봉동읍 추동로 119 (총 2 필지),직물포대 제조업
2672,정우특장차(주),전주과학산업연구단지,강*윤,전라북도 완주군 봉동읍 완주산단7로 103,차체 및 특장차 제조업
2673,웰스컴(주),전주과학산업연구단지,백*옥,"전라북도 완주군 봉동읍 완주산단6로 224,  전북테크노파크  연구개발지원센터 창조관",전구 및 램프 제조업
2674,온정원,,김*,"전라북도 완주군 용진면 신지송광로 381,  (간중리 263)",수산식물 가공 및 저장 처리업
2675,(주)로드테크,,김*정,전라북도 완주군 용진면 하이1길 61-25,금속표시판 제조업 외 4 종
2676,진흥홈테크,,"노*자, 손*나",전라북도 완주군 이서면 콩쥐팥쥐로 1296-56,플라스틱 창호 제조업
2677,태성테크,전주과학산업연구단지,오*진,전라북도 완주군 봉동읍 완주산단6로 263,절삭가공 및 유사처리업
2678,선한바이오,,이*우,"전라북도 완주군 이서면 콩쥐팥쥐로 1043-7, 1동 109호 (전북대학교창업보육3센터)",동물용 사료 및 조제식품 제조업 외 2 종
2679,명성자동도어,,박*숙,전라북도 완주군 이서면 콩쥐팥쥐로 1296-58,"금속 문, 창, 셔터 및 관련제품 제조업"
2680,(주)원경,완주산업단지,박*식,전라북도 완주군 봉동읍 완주산단2로 257-20,그외 기타 일반목적용 기계 제조업 외 1 종
2681,(주)포엠,,배*정,전라북도 완주군 봉동읍 봉동중앙로 71,금속 조립구조재 제조업 외 5 종
2682,데미샘목장(주),,서*현,전라북도 진안군 백운면 데미샘1길 42-23 ((주)데미샘 목장),액상시유 및 기타 낙농제품 제조업
2683,(주)베네테크,진안제2농공단지,이*옥,전라북도 진안군 진안읍 거북바위로2길 13,설치용 금속탱크 및 저장용기 제조업 외 12 종
2684,농업회사법인(주)태평주가,진안제2농공단지,이*춘,전라북도 진안군 진안읍 거북바위로3길 15-35,기타 발효주 제조업 외 1 종
2685,주식회사보영하이테크,진안제2농공단지,한*희,전라북도 진안군 진안읍 거북바위로3길 15-20,주방용 전기기기 제조업 외 2 종
2686,무주덕유산반딧골영농조합법인,무주안성농공단지,이*원,전라북도 무주군 안성면 공단로 19,건강기능식품 제조업 외 1 종
2687,무주군약초영농조합법인(1공장),,박*란,전라북도 무주군 안성면 안성로 438,인삼식품 제조업 외 3 종
2688,풀무원다논(주),무주농공단지,모*,전라북도 무주군 무주읍 당산강변로 32 (다논코리아),액상시유 및 기타 낙농제품 제조업
2689,주식회사 홍익물산,,장*만,전라북도 장수군 천천면 천천북로 982-53,기타 비료 및 질소화합물 제조업
2690,(주)피피아이평화 장수공장,장수천천농공단지,이*호,전라북도 장수군 천천면 장천로 901-4,"플라스틱 선, 봉, 관 및 호스 제조업"
