번호,회사명,단지명,대표자명,공장대표주소,업종명
850,유정특산,,황*열,전라북도 정읍시 감곡면 방교리 265번지,과실 및 채소 절임식품 제조업
851,주식회사 춘암포장,,김*자,전라북도 익산시 오산면 새들길 16 (춘암포장),골판지 및 골판지상자 제조업 외 1 종
852,주식회사 디자인블록,,김*,전라북도 익산시 함열읍 익산대로 1547-17,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
853,코비코테크(주),,정*수,전라북도 김제시 백구면 번영로 2640-47,자동차 차체용 부품 제조업 외 1 종
854,중앙사,,박*애,"전라북도 남원시 광한북로 62 (하정동, 에넥스텔레콤)",기타 인쇄업
855,(주)신아,김제서흥농공단지,양*숙,"전라북도 김제시 서흥공단1길 64 (흥사동, S.A㈜신아) (총 2 필지)",코크스 및 관련제품 제조업 외 2 종
856,정읍약주합동공사,,신*길,"전라북도 정읍시 태평4길 61 (시기동, 정읍약주합동공사)",탁주 및 약주 제조업
857,남광목기,,박*섭,"전라북도 남원시 요천로 1230-8 (조산동, 남광목기공예사)",주방용 및 식탁용 목제품 제조업 외 1 종
858,전북인삼농협 인삼제조창,,신*성,전라북도 진안군 진안읍 임진로 2623-55 (인삼제조장) (총 4 필지),인삼식품 제조업
859,삼기수산,,유*만,전라북도 부안군 변산면 봉래로 551 (삼기수산),수산식물 가공 및 저장 처리업
860,정읍농수산,,김*우,전라북도 정읍시 정우면 정읍북로 653-29 (정읍농수산냉동공장),수산동물 냉동품 제조업
861,(주)올에이,,김*언,전라북도 정읍시 고부면 고부동서로 595 (㈜고부알로에),그외 기타 식료품 제조업
862,고려자연식품(주),,김*숙,전라북도 전주시 덕진구 여실길 34 (여의동),코코아 제품 및 과자류 제조업 외 1 종
863,(주)세원하드페이싱,,곽*원,전라북도 전주시 덕진구 서귀로 183 (여의동),그외 기타 금속가공업
864,원일수지,,박*일,전라북도 전주시 덕진구 감수길 30-54 (팔복동4가),포장용 플라스틱 성형용기 제조업
865,재원산업,,황*미,전라북도 전주시 덕진구 감수길 30-72 (팔복동4가),합성수지 및 기타 플라스틱물질 제조업
866,주식회사 엘티씨,,권*석,전라북도 전주시 덕진구 유상로 67 (팔복동2가),항공기용 부품 제조업 외 10 종
867,안전정밀,,서*식,"전라북도 전주시 덕진구 유상로 67,  전주첨단벤처단지7동 (팔복동2가)",절삭가공 및 유사처리업 외 2 종
868,(유)드림씨앤에스,,김*호,전라북도 전주시 덕진구 장동길 43 (장동),"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종"
869,(주)비젼웨이브,,김*연,전라북도 전주시 완산구 중인3길 10 (중인동),방송장비 제조업
870,전북공업,,김*환,전라북도 전주시 덕진구 정여립로 856 (만성동),설치용 금속탱크 및 저장용기 제조업
871,기영엔지니어링,,김*정,전라북도 전주시 덕진구 삼거1길 18-35 (금상동),금속 조립구조재 제조업 외 2 종
872,(주)대명테크 전주공장,전주제1지방산업단지,장*근,전라북도 전주시 덕진구 신복로 116-12 (팔복동4가),기타 발전기 및 전기변환장치 제조업
873,대광출판사,,정*균,전라북도 전주시 완산구 메너머1길 22 (중화산동2가),경 인쇄업
874,줌인디자인,,한*희,전라북도 전주시 완산구 현무3길 46 (중노송동),경 인쇄업
875,풍남기획,,양*동,전라북도 전주시 완산구 문화광장로 17 (서노송동),간판 및 광고물 제조업
876,종합광고기획 대원,,오*주,전라북도 전주시 완산구 메너머2길 20-1 (중화산동2가),간판 및 광고물 제조업
877,주식회사 애플농산,,이*주,전라북도 전주시 완산구 꽃밭정1길 17-16 (평화동1가),기타 육류 가공 및 저장처리업
878,글로벌코리아(주),,김*헌,"전라북도 전주시 완산구 천잠로 235, 미래관 9203 (효자동2가, 전주비전대학)",위생용 도자기 제조업
879,(유)약수식품,,남*현,전라북도 전주시 완산구 정동길 22-99 (삼천동2가),기타 식품 첨가물 제조업
880,영록팜,,이*연,"전라북도 전주시 완산구 천잠로 303, 137호(전주대학교 본관 창업보육센터) (효자동2가, 전주대학교)",동물용 사료 및 조제식품 제조업
881,좋은디자인,,김*종,전라북도 전주시 완산구 전주객사1길 79-6 (다가동4가),간판 및 광고물 제조업
882,(유)바움,,김*태,전라북도 전주시 완산구 구이로 1999 (평화동3가),구조용 금속판제품 및 금속공작물 제조업 외 1 종
883,진흥전기,,김*근,"전라북도 전주시 완산구 백제대로 350, 4층 (중화산동2가)",변압기 제조업
884,(주)샤인라이트,,최*열,전라북도 전주시 완산구 원서곡길 3 (효자동3가),전구 및 램프 제조업 외 4 종
885,세림기계,,임*호,전라북도 전주시 덕진구 감수길 30-16 (팔복동4가),기타 구조용 금속제품 제조업
886,(주)동명기계,전주제1지방산업단지,강*록,전라북도 전주시 덕진구 기린대로 762 (팔복동1가),공기조화장치 제조업 외 1 종
887,대수바이오테크,,윤*호,전라북도 전주시 덕진구 상리6길 18 (팔복동2가),기타 기초무기화학물질 제조업
888,(유)건국전력,,이*수,전라북도 전주시덕진구 팔복동2가 663-1번지,배전반 및 전기자동제어반 제조업
889,아주메딕스(주),전주제1지방산업단지,김*수,"전라북도 전주시 덕진구 구렛들3길 50 (팔복동1가, (주)대양실업)",그외 기타 의료용 기기 제조업
890,주식회사 유일씨엔티,,양*현,"전라북도 전주시 덕진구 견훤로 292,  3층 (인후동1가)",전시 및 광고용 조명장치 제조업 외 2 종
891,ATLAS ENG(아트라스),전주제1지방산업단지,강*옥,전라북도 전주시 덕진구 상리로 45 (팔복동2가),기타 발전기 및 전기변환장치 제조업
892,미성전기제작소,전주제1지방산업단지,이*백,"전라북도 전주시 덕진구 기린대로 800 (팔복동1가, ㈜호남식품)",배전반 및 전기자동제어반 제조업
893,*리화학,,이*숙,전라북도 전주시 덕진구 용정길 61 (여의동),"플라스틱 포대, 봉투 및 유사제품 제조업"
894,케이엔메탈,,김*남,전라북도 전주시 덕진구 번영로 462-9 (반월동),그외 기타 분류안된 금속가공제품 제조업
895,미광식품,전주제1지방산업단지,이*영,전라북도 전주시 덕진구 상리1길 7 (팔복동2가),떡류 제조업
896,(주)나노솔루션,전주도시첨단산업단지,김*열,"전라북도 전주시 덕진구 반룡로 110-11, 전주기계탄소기술원복합동 1층 101 (팔복동2가)",그외 기타 분류안된 비금속 광물제품 제조업 외 1 종
897,주식회사 서진아이티씨,,김*기,전라북도 전주시 덕진구 인교로 62-8 (우아동1가),방송장비 제조업
898,(주)해라이트,,이*재,"전라북도 전주시 덕진구 유상로 67,  전주기계탄소기술원기계벤처동 310호 (팔복동2가)",일반용 전기 조명장치 제조업
899,(주)큐컴아이,,박*수,"전라북도 전주시 덕진구 상리1길 34,  희망전북창업보육센터 209호 (팔복동2가)",일반용 전기 조명장치 제조업
900,(유)*리산업에스이엔,,강*수,전라북도 전주시 덕진구 고내천변로 388-27 (전미동2가),그외 기타 분류안된 섬유제품 제조업
901,광현시스템,,양*석,전라북도 전주시 덕진구 신복로 114 (팔복동4가),배전반 및 전기자동제어반 제조업 외 1 종
902,우림이엔지,,박*자,전라북도 전주시 덕진구 호성동1가 472-2번지,기타 구조용 금속제품 제조업
903,(주)겐돈에프앤비,,김*곤,전라북도 전주시 덕진구 동가재미2길 55 (인후동1가),곡물 제분업 외 1 종
904,대성자원개발주식회사 전주지점,,이*준,전라북도 전주시 덕진구 원만성로 37-10 (여의동),기타 기초무기화학물질 제조업
905,(주)릴라이언스,,성*묵,전라북도 전주시 덕진구 장동 568-3번지,유아용 의복 제조업
906,사단법인 5.18민주화운동부상자회공동사업본부,,최*권,전라북도 전주시 덕진구 장재안길 10 (우아동3가),편조의복 제조업 외 3 종
907,(유)제이엠모드,,유*민,전라북도 전주시 덕진구 호성동1가 649번지,내의 및 잠옷 제조업 외 3 종
908,(주)투더블유,,김*태,전라북도 전주시 덕진구 들사평1길 44 (덕진동1가),"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종"
909,(유)환경테크,,정*식,전라북도 전주시 덕진구 신복로 67 (팔복동1가),설치용 금속탱크 및 저장용기 제조업 외 8 종
910,주식회사 시너시스,,정*일,전라북도 전주시 덕진구 청복길 360 -2(성덕동) 1층,배전반 및 전기자동제어반 제조업 외 1 종
911,한국그린에너지(주),,신*자,"전라북도 전주시 덕진구 팔복로 252-9, 한국그린에너지(주) (여의동)",구조용 금속판제품 및 금속공작물 제조업 외 3 종
912,성주산업,,이*재,전라북도 전주시 덕진구 삼례로 53 (반월동),플라스틱 창호 제조업 외 1 종
913,주식회사 우존,,곽*원,"전라북도 전주시 덕진구 상리1길 34, 희망전북창업보육센터 105호 (팔복동2가)",기타 인쇄업
914,(주)인덱스코리아,전주제2지방산업단지,정*필,"전라북도 전주시 덕진구 팔과정로 20, 1층 102-2 (팔복동3가, 덕진아파트형공장)",동물용 사료 및 조제식품 제조업 외 2 종
915,태성어패럴,전주제1지방산업단지,안*례,전라북도 전주시 덕진구 상리로 45 (팔복동2가),내의 및 잠옷 제조업
916,(주)캐드원 제1공장,,김*환,"전라북도 전주시 덕진구 기린대로 945-5, 2층 (팔복동2가)",기타 직물제품 제조업
917,주식회사 진웅,,배*수,전라북도 전주시 덕진구 추천로 25-7 (팔복동3가),"치약, 비누 및 기타 세제 제조업"
918,농업회사법인 자연애 유한회사,,권*선,"전라북도 전주시 덕진구 용흥길 18-4, 2층 (송천동2가)",기타 과실·채소 가공 및 저장처리업
919,(주)태성라이팅,전주도시첨단산업단지,박*상,"전라북도 전주시 덕진구 반룡로 109, 테크노파크 생산지원A동 211. 213호 (팔복동2가)",기타 무선 통신장비 제조업 외 4 종
920,주식회사 한설,,오*형,"전라북도 전주시 덕진구 덕촌길 43, 1층 (팔복동3가)",구조용 금속판제품 및 금속공작물 제조업
921,(유)대원종합선기,군산국가산업단지,윤*상,"전라북도 군산시 동장산로 93 (소룡동, (유)대원종합선기)",선박 구성부분품 제조업
922,(유)남성건설,,구*례,전라북도 군산시 나포면 십자들로 358,금속 조립구조재 제조업
923,(유)미성콘크리트,,김*숙,전라북도 군산시 성산면 동군산로 212 ((유)미성콘크리트),"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종"
924,(주)카라,군산국가산업단지,장*미,"전라북도 군산시 동장산1길 50-20 (소룡동, (주)카라)",자동차 차체용 부품 제조업 외 2 종
925,대원프라스틱,군산2국가산업단지,오*도,"전라북도 군산시 동가도길 89 (오식도동, 대원프라스틱)",기계장비 조립용 플라스틱제품 제조업
926,(유)일경산업,군산2국가산업단지,강*식,전라북도 군산시 오식도동 832-6번지,선박 구성부분품 제조업 외 2 종
927,육일메탈(주),군산2국가산업단지,석*순,"전라북도 군산시 외항로 1152 (오식도동, 육일메탈)",그외 기타 자동차 부품 제조업 외 1 종
928,(유)태성목재,,권*우,"전라북도 군산시 공항로 223 (산북동, (유)태성목재)",일반 제재업
929,(주)케이엠앤아이,군산국가산업단지,노*호,전라북도 군산시 서해로 251 (소룡동) (총 10 필지),그외 기타 자동차 부품 제조업 외 1 종
930,(주)금전사,군산옥구농공단지,전*자,전라북도 군산시 옥구읍 광월안길 32-12,기타 절연선 및 케이블 제조업 외 1 종
931,진흥패턴,군산옥구농공단지,"곽*희, 허*자",전라북도 군산시 옥구읍 광월안길 13,일반용 전기 조명장치 제조업 외 6 종
932,(주)코릴,군산2국가산업단지,오*규,"전라북도 군산시 가도로 43 (오식도동, (주)3국산업)",그외 기타 일반목적용 기계 제조업 외 4 종
933,돈까스나라,,강*순,전라북도 군산시 서수면 남산로 283-5 (돈까스나라),기타 육류 가공 및 저장처리업
934,(주)청우에이티에스,군산2국가산업단지,김*규,전라북도 군산시 중가도길 39 (오식도동),토목공사 및 유사용 기계장비 제조업
935,나투라미디어(주),,윤*중,전라북도 군산시 조촌동 41번지,사진용 화학제품 및 감광재료 제조업 외 2 종
936,(주)신본,군산국가산업단지,정*희,전라북도 군산시 소룡동 1582-14번지,절삭가공 및 유사처리업 외 1 종
937,(주)참프레 군산공장,군산2국가산업단지,박*진,"전라북도 군산시 자유무역로 165-19 (오식도동, 나농)",동물용 사료 및 조제식품 제조업
938,(유)에코,군산서수농공단지,고*전,전라북도 군산시 서수면 상장곤윗길 58 ((주)에코) (총 2 필지),금속캔 및 기타 포장용기 제조업
939,삼부토건(주),군산2국가산업단지,남*석,전라북도 군산시 군산산단로 14 (오식도동),금속 조립구조재 제조업 외 4 종
940,아이씨에넨,,채*민,전라북도 군산시 대야면 만자샛길 20,사무 및 회화용품 제조업
941,(유)한미동부철강,,조*연,"전라북도 군산시 해망로 516 (소룡동, (유)한미동부철강)",기타 구조용 금속제품 제조업
942,(주)태림산업,군산2국가산업단지,최*규,"전라북도 군산시 무역로 163-29 (오식도동, 에쓰엠테크)",선박 구성부분품 제조업 외 1 종
943,해원마린,군산지방산업단지,전*선,"전라북도 군산시 외항로 318 (소룡동, 해원마린)",합성수지선 건조업
944,(주)남광푸드,,염*호,전라북도 군산시 옥산면 산성로 154,기타 육류 가공 및 저장처리업
945,(주)필로스씨앤에스,군산자유무역지역,안젤라**고,"전라북도 군산시 자유무역2길 15 (오식도동, DAT SYSTEM)",수동식 식품 가공기기 및 금속주방용기 제조업 외 2 종
946,(주)혜성 지-테크,군산옥구농공단지,박*식,전라북도 군산시 옥구읍 광월안길 31-6,기타 기초무기화학물질 제조업 외 2 종
947,(유)이스턴물류,군산2국가산업단지,옥*경 외 1인(윤*철),"전라북도 군산시 가도로 144 (소룡동, 일합정공)",일반 화물자동차 운송업 외 1 종
948,(주)부송산업기계,군산국가산업단지,양*영,"전라북도 군산시 외항로 819 (소룡동, 경진기계)","증류기,열교환기 및 가스발생기 제조업 외 1 종"
949,서해엔진보링사,,김*회,전라북도 군산시 소룡동  1019-147 ,자동차용 동력전달장치 제조업
950,(주)홍보에너지,군산국가산업단지,송*홍,전라북도 군산시 서해로 40 (소룡동),산업용 가스 제조업 외 1 종
951,와이지스틸(주),군산2국가산업단지,김*길,전라북도 군산시 산단동서로 80-12 (오식도동),절삭가공 및 유사처리업
952,(유)도건테크,,고*현,"전라북도 군산시 대학로 558, 창업보육센터 1111호 (미룡동, 군산대학교)",방송장비 제조업 외 1 종
953,(주)파인파크,군산옥구농공단지,황*필,전라북도 군산시 옥구읍 광월길 42,"체조, 육상 및 체력단련용 장비 제조업 외 1 종"
954,협동기공,군산2국가산업단지,김*한,"전라북도 군산시 자유무역로 52 (오식도동, 세아제강)",절삭가공 및 유사처리업
955,유원산업,군산국가산업단지,이*배,전라북도 군산시 자유로 241 (소룡동),절삭가공 및 유사처리업
956,(주)우림,군산2국가산업단지,유*섭,전라북도 군산시 산단남북로 96 (오식도동),금속 조립구조재 제조업
957,코리아천연화장품 협동조합,,김*옥,"전라북도 군산시 대학로 558, 1112호 (미룡동, 군산대학교)","치약, 비누 및 기타 세제 제조업 외 1 종"
958,(유)대한기업,,조*선,전라북도 군산시 문화로 169-8 (수송동),"적층, 합성 및 특수표면처리 종이 제조업"
959,(주)퓨코,군산2국가산업단지,성*수,전라북도 군산시 중가도길 57 (오식도동),"치약, 비누 및 기타 세제 제조업"
960,(유)협성,군산2국가산업단지,김*호,전라북도 군산시 오식도동 835-14번지,아스콘 제조업
961,(주)조이엠,군산2국가산업단지,문*영,"전라북도 군산시 산단남북로 193, 204호 (오식도동)",그외 기타 전자부품 제조업
962,(주)이티아이,군산2국가산업단지,안*정,전라북도 군산시 외항로 925-9 (오식도동),구조용 금속판제품 및 금속공작물 제조업 외 6 종
963,(주)현대특수철강공업,익산제2지방산업단지,민*기,"전라북도 익산시 석암로7길 103,  (지방산업단지내) (팔봉동) (총 2 필지)",금속 절삭기계 제조업 외 2 종
964,(주)신성실크,익산자유무역지역,선*탁,"전라북도 익산시 약촌로8길 62-7 (어양동, 주택)",견직물 직조업
965,송산석재,,신*순,전라북도 익산시 용안면 송산들길 50 (송산석재),건설용 석제품 제조업
966,화백전선(주),,최*용,전라북도 익산시 낭산면 호천길 24-4 (화백케이블),기타 절연선 및 케이블 제조업 외 1 종
967,그래미푸드,,김*중,"전라북도 익산시 마한로5길 18-8 (영등동, 할인마트) (총 3 필지)",제과용 혼합분말 및 반죽 제조업 외 2 종
968,(유)삼화그린웰,,김*아,전라북도 익산시 왕궁면 왕궁로 205-9 (삼화그린우림),기타 비료 및 질소화합물 제조업
969,(주)동인스포츠,익산자유무역지역,김*우,"전라북도 익산시 약촌로8길 20-23,  표준공장2호동 (영등동)",그외 기타 봉제의복 제조업
970,학교법인옥산학원,익산국가산업단지,남*준,"전라북도 익산시 보석로 28 (신흥동, 녹원메디칼주식회사)",금속압형제품 제조업
971,화동실업,익산국가산업단지,허*규,"전라북도 익산시 보석로4길 15 (신흥동, 태창섬유(주))",내의 및 잠옷 제조업
972,(주)유진,익산국가산업단지,이*채,전라북도 익산시 선화로63길 23-6 (영등동),귀금속 및 관련제품 제조업
973,(주)옥수보석,익산국가산업단지,서*택,전라북도 익산시 선화로63길 3-8 (영등동),귀금속 및 관련제품 제조업
974,(주)동원보석,익산국가산업단지,최*주,"전라북도 익산시 선화로63길 8 (영등동, ㈜보원)",귀금속 및 관련제품 제조업
975,유한회사 만물석공예사,,이*환,전라북도 익산시 함열읍 미륵사지로 1213 (만물석공예사),기타 석제품 제조업 외 1 종
976,춘강섬유,,채*석,전라북도 익산시 동서로10길 41 (모현동1가),내의 및 잠옷 제조업
977,(유)토인비,익산국가산업단지,박*주,"전라북도 익산시 서동로 239 (신흥동, ((주)TRY)",내의 및 잠옷 제조업
978,*리보석,익산국가산업단지,조*리,전라북도 익산시 선화로63길 21-4 (영등동),귀금속 및 관련제품 제조업
979,한올섬유,익산국가산업단지,양*두,"전라북도 익산시 보석로2길 27-10 (신흥동, 한올섬유)",편조원단 제조업
980,OK 그린팩,,신*초,전라북도 익산시 오동1길 23 (임상동),"플라스틱 포대, 봉투 및 유사제품 제조업"
981,(주)이십일세기테크,익산낭산농공단지,하*돈,"전라북도 익산시 낭산면 낭산농공단지길 13,  (낭산농공단지)",플라스틱 발포 성형제품 제조업
982,(주)씨티아이,익산왕궁농공단지,곽*형,전라북도 익산시 왕궁면 광암리 1366번지 (왕궁농공단지내),자동차 차체용 부품 제조업
983,(주)목우기업,익산황등농공단지,진*길,"전라북도 익산시 황등면 석재단지길 67,  (황등농공단지내)",건설용 석제품 제조업
984,조경석재,,도*희,전라북도 익산시 함열읍 상조석재길 2 (우진간사),건설용 석제품 제조업 외 1 종
985,광명산업,익산황등농공단지,신*현,"전라북도 익산시 황등면 석재단지길 66-19,  (황등농공단지내)",건설용 석제품 제조업
986,(주)명성케미칼,,김*정,전라북도 익산시 삼기면 오룡제내길 86 ((유)세종),"플라스틱 포대, 봉투 및 유사제품 제조업"
987,우진기업,,정*경,"전라북도 익산시 인북로 74 (갈산동, 주택)","금속 문, 창, 셔터 및 관련제품 제조업"
988,주식회사 케이에스아이,,최*기,전라북도 익산시 오산면 항쟁로 240,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종"
989,홍익,,권*수,"전라북도 익산시 선화1로 32 (마동, 홍익광고사)",간판 및 광고물 제조업 외 9 종
990,태령금속(주),익산제2지방산업단지,김*상,"전라북도 익산시 석암로13길 59,  (지방산업단지내) (팔봉동)",비주거용 건물 임대업
991,(유)보성씨앤에스 익산공장,익산황등농공단지,이**아,"전라북도 익산시 황등면 석재단지길 66-22,  (황등농공단지내)",건설용 석제품 제조업
992,삼화기공,익산제2지방산업단지,이*연,"전라북도 익산시 석암로3길 129,  (지방산업단지내) (팔봉동)",금속캔 및 기타 포장용기 제조업
993,나성어패럴,,나*남,전라북도 익산시 중앙로13길 27 (마동),내의 및 잠옷 제조업
994,유한회사 시온산업,,강*진,전라북도 익산시 삼기면 오룡리 853번지 ,가공 및 재생 플라스틱원료 생산업
995,(주)정도산업,익산제2지방산업단지,김*진,전라북도 익산시 팔봉동 877 번지 (제2지방산업단지),그외 기타 자동차 부품 제조업 외 2 종
996,주식회사 축림,,최*완,전라북도 익산시 현영동 93-15 번지 외 4필지,기타 육류 가공 및 저장처리업
997,농업회사법인 유한회사 전라도흥부식품,,김*섭,전라북도 익산시 오산면 만석길 24,과실 및 채소 절임식품 제조업
998,주식회사 알로드,익산외국인부품소재전용단지,이*철,전라북도 익산시 삼기면 산단오룡길 27,그외 기타 자동차 부품 제조업
999,(주)일손개발,,오*선,전라북도 익산시 오산면 신석길 14-16 (주택),중앙난방보일러 및 방열기 제조업
1000,대한민국 상이군경회 석재사업소,익산황등농공단지,김*남,전라북도 익산시 황등면 석재단지길 101 (대한상이군경회),건설용 석제품 제조업
1001,(주)하나이엔지,익산제2지방산업단지,민*창,전라북도 익산시 석암로3길 142 (팔봉동),차체 및 특장차 제조업
1002,수목토식품,,김*환,전라북도 익산시 신용동 0번지 원광대학교 IT.BT 창업보육센터 무빙테크노관 3층 305호,차류 가공업 외 1 종
1003,미소드림 영농조합법인,,이*성,전라북도 익산시 여산면 여강로 401,곡물 도정업
1004,미성산업,,허*심,전라북도 익산시 서동로38길 25-68 (금강동),"플라스틱 포대, 봉투 및 유사제품 제조업"
1005,송이까운,,"김*호, 권*진",전라북도 익산시 중앙로1길 19-1 (창인동1가),그외 기타 봉제의복 제조업 외 3 종
1006,와이에이치비(YHB)에코,익산제2지방산업단지,윤*범,전라북도 익산시 석암로7길 119 (팔봉동),분사기 및 소화기  제조업 외 1 종
1007,아로비타영농조합법인,,정*덕,전라북도 익산시 웅포면 남당들길 254,기타 과실·채소 가공 및 저장처리업
1008,나니섬유,익산국가산업단지,박*열,"전라북도 익산시 보석로4길 15, (신흥동 806-12) (신흥동, 태창섬유(주))",내의 및 잠옷 제조업
1009,건쥬얼리,익산국가산업단지,조*희,전라북도 익산시 선화로63길 24-3 (영등동),귀금속 및 관련제품 제조업
1010,대신주얼리,익산국가산업단지,박*열,전라북도 익산시 선화로63길 19-7 (영등동),침구 및 관련제품 제조업
1011,(유)에스디메디칼,,임*정,"전라북도 익산시 황등면 탑천로 147, (신기리 310-16)",포장용 플라스틱 성형용기 제조업
1012,(주)케이씨엔,익산국가산업단지,백*수,전라북도 익산시 약촌로8길 62-11 (어양동),그외 기타 봉제의복 제조업 외 7 종
1013,GPS,익산국가산업단지,안*수,전라북도 익산시 선화로63길 3-2 (영등동),귀금속 및 관련제품 제조업
1014,(유)아톤산업,익산제2지방산업단지,김*원,"전라북도 익산시 석암로13길 25 (석암동, M)",기타 비료 및 질소화합물 제조업 외 1 종
1015,아라온에코로드(주),,김*식,전라북도 익산시 무왕로2길 126 (목천동),간판 및 광고물 제조업
1016,메타로보틱스(주),익산종합의료과학산업단지,박*선,"전라북도 익산시 함열읍 익산대로78길 13-6, 의료융복합테크노빌202호",항행용 무선기기 및 측량기구 제조업
1017,(주)청정소재,익산제3일반산업단지,최*웅,전라북도 익산시 낭산면 용기리 1941번지,석회 및 플라스터 제조업
1018,지디텍스타일,,이*현,전라북도 익산시 중앙로4길 53-7 (주현동),내의 및 잠옷 제조업
1019,농업회사법인(유)감초유통사업단,,김*준,전라북도 익산시 몽환신화길 206 (월성동),기타 식품 첨가물 제조업
1020,서진바이오,,장*익,전라북도 익산시 번영로8길 76 (목천동),동물용 사료 및 조제식품 제조업 외 1 종
1021,(유)케이에이치바이오텍,,박*석,"전라북도 익산시 부송로6길 13-2, 1층 (부송동)",기타 비료 및 질소화합물 제조업
1022,주식회사 아임,익산국가산업단지,성*규,전라북도 익산시 약촌로8길 67 (어양동),기타 가정용 전기기기 제조업
1023,(주)정도알미늄,정읍제3지방산업단지,오*인,전라북도 정읍시 북면 3산단5길 99,"알루미늄 압연, 압출 및 연신제품 제조업 외 1 종"
1024,소성동문영농조합법인,,김*일,전라북도 정읍시 소성면 입고로 799,동물용 사료 및 조제식품 제조업
1025,(주)팜스토리한냉,정읍신태인농공단지,최*열,전라북도 정읍시 신태인읍 신태인공단길 69 (도드람버리),동물용 사료 및 조제식품 제조업
1026,(유)신우에스엔에프,정읍고부농공단지,박*섭,전라북도 정읍시 고부면 고부농단길 12-19 (신우S&F),기타 비알콜음료 제조업
1027,농업회사법인 (주)다원에프에스,정읍제2지방산업단지,채*현,"전라북도 정읍시 2산단5길 21-8 (하북동, 다원농산)",천연 및 혼합조제 조미료 제조업
1028,(주)팜코아,정읍신용(육가공)전문농공단지,박*경,전라북도 정읍시 신태인읍 석지로 621-46,가금류 가공 및 저장 처리업
1029,소재산업개발,,정*근,"전라북도 정읍시 수성3로 43-6 (수성동, 삼성간판)",간판 및 광고물 제조업
1030,예림광고간판,,최*주,"전라북도 정읍시 수성택지3길 35 (수성동, 샹떼헤어컬렉션)",간판 및 광고물 제조업
1031,에스알플라스틱,,김*우,전라북도 정읍시 감곡면 감곡로 350,포장용 플라스틱 성형용기 제조업 외 2 종
1032,에이치엘그라스,정읍제2지방산업단지,전*수,"전라북도 정읍시 2산단4길 28 (하북동, ㈜에이스안전유리)",판유리 가공품 제조업
1033,농업회사법인(유)한누리,,황*식,"전라북도 정읍시 정읍사로 509,  창업보육센터 305 (시기동)",산업용 송풍기 및 배기장치 제조업
1034,명인종합씽크,,기*복,"전라북도 정읍시 수성택지5길 41 (수성동, 대성건재)",주방용 및 음식점용 목재가구 제조업
1035,(유)나무향기,,박*영,전라북도 정읍시 감곡면 금평로 80 (총 2 필지),간판 및 광고물 제조업 외 1 종
1036,한국샤링,,박*수,"전라북도 정읍시 서부산업도로 507-4 (하북동, 한국샤링)",금속압형제품 제조업
1037,(주)세창스틸,정읍제2지방산업단지,이*선,전라북도 정읍시 2산단6길 22-6 (하북동),금속압형제품 제조업 외 1 종
1038,정읍새마을금고(MG정읍푸드),정읍제3지방산업단지,김*우,전라북도 정읍시 북면 3산단3길 32,과실 및 채소 절임식품 제조업
1039,(유)동방전기통신,정읍북면농공단지,김*식,전라북도 정읍시 북면 북면공단2길 87 (북면),방송장비 제조업 외 14 종
1040,(유)오투,,김*희,전라북도 정읍시 덕천면 천곡사지로 189,콘크리트관 및 기타 구조용 콘크리트제품 제조업
1041,(주)신진산업,정읍제3지방산업단지,양*준,전라북도 정읍시 북면 3산단5길 99,제판 및 조판업
1042,녹색지대영농조합법인,,이*연,전라북도 정읍시 감곡면 반룡1길 41-8,장류 제조업
1043,석성기업,,"강*표, 강*균","전라북도 남원시 요천로 1890-32,  외3필지 (고죽동)","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종"
1044,만나식품,,임*연,전라북도 남원시 주천면 고주로 1072,장류 제조업
1045,(주)미쉘,남원노암농공단지,박*태,"전라북도 남원시 시묘길 99-18,  노암1농공단지 (노암동)",인삼식품 제조업
1046,명문당,,이*근,"전라북도 남원시 용성로 60 (죽항동, 법무사강종의사무소)",기타 인쇄업
1047,그린허브,,장*희,전라북도 남원시 운봉읍 바래봉길 237-16,"라이터, 연소물 및 흡연용품 제조업"
1048,둥근힘,,원*훈,전라북도 남원시 운봉읍 바래봉길 237-2 (총 2 필지),주방용 및 식탁용 목제품 제조업 외 4 종
1049,부경산업 주식회사,,김*윤,전라북도 남원시 주천면 배촌길 86-13,비금속광물 분쇄물 생산업
1050,지리산푸드(주),,강*희,전라북도 남원시 운봉읍 황산로 1214-8,동물용 사료 및 조제식품 제조업
1051,바래봉비료영농조합법인,,박*수,전라북도 남원시 운봉읍 동천아랫길 46-30,기타 비료 및 질소화합물 제조업
1052,제너럴바이오 주식회사 남원캠퍼스,,서*훈,전라북도 남원시 송동면 용투산로 254,화장품 제조업 외 2 종
1053,농업회사법인 지리산하나농산(유),,이*순,전라북도 남원시 인월면 상우윗길 153,장류 제조업 외 3 종
1054,드림인영농조합법인,,최*덕,전라북도 남원시 인월면 천왕봉로 54,그외 기타 식료품 제조업
1055,(주)지에스판넬,남원광치2농공단지,김*진,"전라북도 남원시 광치농공2길 16-14 (용정동, 월드판넬)",구조용 금속판제품 및 금속공작물 제조업 외 1 종
