순번,단지명,회사명,대표자명,공장대표주소(도로명),대표업종번호,업종명,생산품
715,개별입지,유명스틸,이구,"전북특별자치도 김제시 백구면 석담4길 131-9, (석담리 330-1) 유명스틸",24119,기타 제철 및 제강업 외 5 종,"절단가공철강재, 플랜트, 금속셔링, 고소차 붐"
716,개별입지,유한회사 국도산업개발,김춘만,전북특별자치도 김제시 황산면 황산로 286-5,25944,금속선 가공제품 제조업 외 2 종,"메쉬 휀스, 철망제품"
717,개별입지,유한회사 그린브리즈,최광휴,전북특별자치도 김제시 황산면 황산로 286-12,25111,"금속 문, 창, 셔터 및 관련제품 제조업",알루미늄 루버
718,개별입지,유한회사 김제산업,방옥,전북특별자치도 김제시 만경읍 몽포길 52-3,10611,곡물 도정업,"쌀,보리"
719,개별입지,유한회사 다다벽돌,김철민,"전북특별자치도 김제시 백구면 학동2길 29-4, (학동리581-19)",23911,건설용 석제품 제조업,벽돌타일 석재
720,개별입지,유한회사 다보실업,최중기,전북특별자치도 김제시 성덕면 해학로 860 외 1필지,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,돈육포장육
721,개별입지,유한회사 대진지오텍,김정란,전북특별자치도 김제시 용지면 영상5길 295 (감나무 품종 연구소),25113,육상 금속 골조 구조재 제조업 외 1 종,"철공조립구조재, 플랜트"
722,개별입지,유한회사 동아안전스틸,전성철,전북특별자치도 김제시 백구면 번영로 2640-65,16212,강화 및 재생 목재 제조업 외 2 종,강화마루
723,개별입지,유한회사 성건,박경호,전북특별자치도 김제시 황산면 봉월리 323-1번지 외 2필지,29210,농업 및 임업용 기계 제조업 외 2 종,"농업용 기계, 특장차 및 관련 부품"
724,개별입지,유한회사 성환산업,이성미,전북특별자치도 김제시 백학로 171 (순동),23999,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,점토
725,개별입지,유한회사 소안,서미경,전북특별자치도 김제시 용지면 콩쥐팥쥐로 601-50,13229,기타 직물제품 제조업,마스크(KF94)
726,개별입지,유한회사 신모산업,김연옥,전북특별자치도 김제시 백구면 영상리 585-4번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업","방화문, AL창호, 금속구조재"
727,개별입지,유한회사 신화,신정헌,"전북특별자치도 김제시 황산로 38, 순동196-1 (순동)",10611,곡물 도정업,백미
728,개별입지,유한회사 아이원,박종묵,전북특별자치도 김제시 황산면 남양1길 29,32091,금속 가구 제조업 외 1 종,사무용의자
729,개별입지,유한회사 엘리트푸드,장수광,전북특별자치도 김제시 금구면 금백로 2-6,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"수제등심돈까스,수제치즈돈까스"
730,개별입지,유한회사 오가네,오창희,전북특별자치도 김제시 벽성로 309-22 (서암동),10619,기타 곡물 가공품 제조업 외 1 종,누룽지
731,개별입지,유한회사 오토플러스,라경진,전북특별자치도 김제시 백구면 번영로 2428-39 (현대모비스 판넬 품목지원센터) (총 2 필지) 외 1필지,17223,식품 위생용 종이 상자 및 용기 제조업 외 2 종,자동차부품포장
732,개별입지,유한회사 정현산업,서현,전북특별자치도 김제시 용지면 용지로 139,25113,육상 금속 골조 구조재 제조업 외 1 종,철구조물
733,개별입지,유한회사 제이와이파워텍,조영규,전북특별자치도 김제시 금구면 옥용3길 33,25113,육상 금속 골조 구조재 제조업 외 1 종,H형강및철판가공업
734,개별입지,유한회사 청정산업,박영식,"전북특별자치도 김제시 백구면 석담3길 206, 형제철강 (백구면) 외 2필지",23329,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 3 종,"고속철도 바닥판(프리캐스트),도로토목제품"
735,개별입지,유한회사 튼튼공조산업,박현규,전북특별자치도 김제시 금구면 선비로 1202-6,29173,산업용 송풍기 및 배기장치 제조업,배기장치 덕트
736,개별입지,유한회사 한영산업,한종흥,전북특별자치도 김제시 공덕면 황경2길 7,25929,그 외 기타 금속가공업,"특장차 프레임, 아웃트리거"
737,개별입지,이레에코그린,박현우,"전북특별자치도 김제시 용지면 금백로 1114, (장신리 415-8) (총 3 필지) 외 2필지",13992,부직포 및 펠트 제조업 외 1 종,"식생매트, 방초매트"
738,개별입지,이수산업,이자영,전북특별자치도 김제시 백구면 유강10길 107,22299,그 외 기타 플라스틱 제품 제조업 외 1 종,"방초캡, 방초캡"
739,개별입지,이스턴펄(주),손창신,전북특별자치도 김제시 황산면 봉월리 93-14번지,23993,비금속광물 분쇄물 생산업,mold flux
740,개별입지,이지페이퍼,정경옥,전북특별자치도 김제시 용지면 장신리 257-7번지 외 2필지,17902,위생용 종이제품 제조업,"화장지(각티슈,점보롤)"
741,개별입지,이택영농조합법인,김왕배,전북특별자치도 김제시 봉남로 998 (황산동),10611,곡물 도정업,"청결미,건조벼"
742,개별입지,이택영농조합법인,김왕배,전북특별자치도 김제시 봉남로 1096 (용동) (총 2 필지) 외 1필지,10611,곡물 도정업,쌀
743,개별입지,이화포장,이종옥,전북특별자치도 김제시 백산면 지평선산단로 481,17212,골판지 상자 및 가공제품 제조업,골판지상자
744,개별입지,인데코,노길환,전북특별자치도 김제시 백구면 백구리 321-1 번지 외 1필지,16221,목재문 및 관련제품 제조업 외 3 종,"목재문, 싱크대, 가구"
745,개별입지,일원,김향,전북특별자치도 김제시 중앙로 51-18 (서암동),10797,건강기능식품 제조업,"경옥고(스틱, 환)"
746,개별입지,자연에 마음,고수미,전북특별자치도 김제시 백구면 유강로 454,10749,기타 식품 첨가물 제조업,"식탁몀, 양치소금"
747,개별입지,자연에마음,고수미,전북특별자치도 김제시 백구면 유강로 460-4,10743,장류 제조업 외 1 종,"엿기름,메주"
748,개별입지,자연영농조합법인,안우근,전북특별자치도 김제시 용지면 석정로 758 외 2필지,20313,유기질 비료 및 상토 제조업,유기질 비료
749,개별입지,재인텍,최현엽,전북특별자치도 김제시 순백2길 172 (순동),29210,농업 및 임업용 기계 제조업,사료작물적재함
750,개별입지,전북한우협동조합,김창희,전북특별자치도 김제시 황산면 쌍감리 636-10번지,10801,배합 사료 제조업 외 1 종,사료
751,개별입지,전일목재산업(주),김병진,전북특별자치도 김제시 백구면 금백로 1138 (전일목재산업㈜) (총 4 필지) 외 3필지,16101,일반 제재업 외 9 종,목재및파렛트
752,개별입지,전주김제완주축산업협동조합,박영준,"전북특별자치도 김제시 죽산면 신흥로 117, 외2필지",10801,배합 사료 제조업 외 1 종,TMR사료
753,개별입지,전주김제완주축산업협동조합,박영준,전북특별자치도 김제시 죽산면 신흥리 718-10번지,10801,배합 사료 제조업 외 1 종,혼합조사료
754,개별입지,전주김제완주축산업협동조합 김제자원순환센터,김창수,전북특별자치도 김제시 백산면 백석로 208 (목우촌 비료사업소),20313,유기질 비료 및 상토 제조업,유기질비료
755,개별입지,제이디아이,이성준,전북특별자치도 김제시 백구면 백구7길 164-18,28114,에너지 저장장치 제조업 외 3 종,"배터리팩, 에너지저장장치,스마트팜제어시스템(물여과)"
756,개별입지,제이에스더컴퍼니주식회사,손정태,전북특별자치도 김제시 용지면 콩쥐팥쥐로 601-52,13229,기타 직물제품 제조업,마스크
757,개별입지,조선콘크리트공업(주),이석근,"전북특별자치도 김제시 선인길 14 (백학동, 조선콘크리트공업) (총 2 필지) 외 1필지",23322,레미콘 제조업,레미콘
758,개별입지,종암산업,이강춘,전북특별자치도 김제시 황산면 봉진로 163,25113,육상 금속 골조 구조재 제조업,"H빔, 철강"
759,개별입지,주식회사 강동레미콘케이제이(KJ),박성용,전북특별자치도 김제시 금구면 광현1길 84-36 (대한환경(유)) (총 4 필지) 외 3필지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,콘크리트 흄관
760,개별입지,주식회사 거성비오텍,이동규,전북특별자치도 김제시 황산면 남양2길 205,10802,단미 사료 및 기타 사료 제조업 외 1 종,"보조사료, 토양미생물제제"
761,개별입지,주식회사 광희테크윈,김광화,전북특별자치도 김제시 봉남면 신호1길 9,26410,유선 통신장비 제조업 외 3 종,전광판 CCTV 등
762,개별입지,주식회사 그린어스,"정성하, 이승재",전북특별자치도 김제시 복죽4길 6(복죽동),17223,식품 위생용 종이 상자 및 용기 제조업,종이컵
763,개별입지,주식회사 그린이노텍,김동운,전북특별자치도 김제시 콩쥐팥쥐로 253 (순동),22221,벽 및 바닥 피복용 플라스틱제품 제조업 외 2 종,교통시설물(LED안전유도블럭)
764,개별입지,주식회사 기욱헌,이윤범,전북특별자치도 김제시 백구면 석담4길 179 외 1필지,30201,차체 및 특장차 제조업 외 1 종,"차체 및 트레일러, 적재함"
765,개별입지,주식회사 네오아그로,서관열,전북특별자치도 김제시 금산면 구성6길 5,20312,복합비료 및 기타 화학비료 제조업 외 1 종,"복합비료3종, 복합비료4종"
766,개별입지,주식회사 농기계팜,조경아,전북특별자치도 김제시 하공로 173 (흥사동),29210,농업 및 임업용 기계 제조업,"농약살포무선보트, 적심기"
767,개별입지,주식회사 누리,김금술,"전북특별자치도 김제시 아리랑로 1991, 주식회사 누리 (상동동)",26121,발광 다이오드 제조업 외 1 종,LED
768,개별입지,주식회사 다름에프앤에프,김종철,전북특별자치도 김제시 백구면 백구7길 164-55,10743,장류 제조업,청국장
769,개별입지,주식회사 다름에프앤에프,김종철,전북특별자치도 김제시 금산면 우림로 188-24,10743,장류 제조업,청국장
770,개별입지,주식회사 다산,이성민,전북특별자치도 김제시 백구면 학동2길 119,23911,건설용 석제품 제조업 외 1 종,"석재가공품, 석재가공품"
771,개별입지,주식회사 다산 (김제지점),김수미,전북특별자치도 김제시 백구면 학동2길 86,23911,건설용 석제품 제조업,석재품
772,개별입지,주식회사 대덕미터텍,방병철,전북특별자치도 김제시 금구면 콩쥐팥쥐로 710-19,27214,속도계 및 적산계기 제조업 외 3 종,"수도미터기, 유량계 등"
773,개별입지,주식회사 대송,이남희,전북특별자치도 김제시 대송로 314 (금구면),10121,가금류 가공 및 저장 처리업,"닭부분육,오리포"
774,개별입지,주식회사 대원엔비폴 김제지점,권창희,전북특별자치도 김제시 하흥로 426 (흥사동),22251,폴리스티렌 발포 성형제품 제조업,폴리스티렌 발포 성형제품
775,개별입지,주식회사 대전기업,여운기,"전북특별자치도 김제시 백구면 백구7길 128, 백구리 200-1번지 ((유) 대전 기업)",28111,전동기 및 발전기 제조업 외 2 종,"태양광발전세트, 금속조립제품"
776,개별입지,주식회사 동방(지점),최규현,전북특별자치도 김제시 금구면 월전로 170-53 외 6필지,11202,생수 생산업 외 1 종,먹는샘물(광천음료수)
777,개별입지,주식회사 동우,김미자,전북특별자치도 김제시 하흥로 411 (흥사동),28519,기타 가정용 전기기기 제조업 외 1 종,환풍기
778,개별입지,주식회사 드림퍼니처,배득진,"전북특별자치도 김제시 금구면 봉두로 197-1,",32029,기타 목재가구 제조업,싱크대
779,개별입지,주식회사 디에이치오토넥스,최준용,전북특별자치도 김제시 용지면 용지로 55 (용지면) (총 2 필지),30320,자동차 차체용 신품 부품 제조업 외 1 종,차량용 LPI 용기 외
780,개별입지,주식회사 라이브맥,김병관,전북특별자치도 김제시 백구면 금백로 1143 (㈜ 라이브 맥),29210,농업 및 임업용 기계 제조업,"원형베일러,사각베일러,베일랩핑기,"
781,개별입지,주식회사 만경농산,문지환,전북특별자치도 김제시 만경읍 몽포길 44,10611,곡물 도정업,쌀
782,개별입지,주식회사 바로 ,손용순,전북특별자치도 김제시 금구면 금백로 479,28123,배전반 및 전기 자동제어반 제조업,"수배전반, 전기자동제어반"
783,개별입지,주식회사 방주,배인술,전북특별자치도 김제시 금구면 정농1길 150,25113,육상 금속 골조 구조재 제조업 외 1 종,철구조물
784,개별입지,주식회사 삼광엔시팅 김제지점,김종직,전북특별자치도 김제시 황산면 남산로 196,25929,그 외 기타 금속가공업 외 2 종,"수납식,조립식,고정식,포터블 관람석"
785,개별입지,주식회사 새만금농산 영농조합법인,이익재,전북특별자치도 김제시 죽산면 해학로 363,10611,곡물 도정업 외 1 종,양곡
786,개별입지,주식회사 서주,"권수득,이정혜,이정미",전북특별자치도 김제시 중앙로 79 (요촌동),10501,액상시유 및 기타 낙농제품 제조업 외 1 종,아이스크림
787,개별입지,주식회사 선진클로텍,박해경,전북특별자치도 김제시 황산면 진흥리 74-39번지 외 1필지 외 1필지,13992,부직포 및 펠트 제조업,부직포
788,개별입지,주식회사 성원지엘,유상,전북특별자치도 김제시 백구면 학동리 106-1번지,25924,절삭가공 및 유사처리업 외 1 종,플랜트 자재
789,개별입지,주식회사 세계로,김호칠,전북특별자치도 김제시 공덕면 청공로 623 (총 3 필지),22231,"플라스틱 포대, 봉투 및 유사제품 제조업",에어캡
790,개별입지,주식회사 수영석재,이준영,전북특별자치도 김제시 백구면 학동2길 35,23911,건설용 석제품 제조업 외 1 종,"석재,조경석,토석채취,석공사,골재,경계석"
791,개별입지,주식회사 아이디가구,오대환,전북특별자치도 김제시 금구면 옥용로 27,32029,기타 목재가구 제조업,사무용가구
792,개별입지,주식회사 에코위더스 전북지사,문진호,"전북특별자치도 김제시 공덕면 공덕4길 355, 1동",28511,주방용 전기기기 제조업,주방용전기기기(인덕션)
793,개별입지,주식회사 엔에스테크,허유진,전북특별자치도 김제시 금산면 구성길 579,25929,그 외 기타 금속가공업,금속가공품
794,개별입지,주식회사 영스톤,박상훈,전북특별자치도 김제시 금구면 콩쥐팥쥐로 710-19,32021,주방용 및 음식점용 목재가구 제조업,인조대리석 상판(싱크대용)
795,개별입지,주식회사 옛길,이동섭,"전북특별자치도 김제시 금산면 원평10길 105-138, 제2동",23321,비내화 모르타르 제조업 외 1 종,황토가루
796,개별입지,주식회사 옥동석재산업,이장훈,전북특별자치도 김제시 백구면 학동2길 86-3 (옥동석재),23911,건설용 석제품 제조업 외 1 종,석재가공
797,개별입지,주식회사 와이투엔자임,최영란,전북특별자치도 김제시 용지면 용수5길 126-9,10797,건강기능식품 제조업,"옻나무,엄나무 발효분말 등"
798,개별입지,주식회사 유경덴탈워크,유경,전북특별자치도 김제시 서암4길 29 (서암동),27192,정형외과용 및 신체보정용 기기 제조업,"인조치아, 틀니, 치아용 보철물 등"
799,개별입지,주식회사 유명사,이구,"전북특별자치도 김제시 백구면 석담4길 131-3, 석담리 327-4",25913,자동차용 금속 압형제품 제조업 외 6 종,"기게장비부품, 선박구성부품, 자동차 부품 등"
800,개별입지,주식회사 이엘기업,송흔욱,전북특별자치도 김제시 황산면 진흥6길 9,26299,그 외 기타 전자부품 제조업,누유감지센서
801,개별입지,주식회사 정인,이정아,"전북특별자치도 김제시 금산면 원평10길 105-148, (제1동) 외 2필지",23321,비내화 모르타르 제조업,흙콘크리트
802,개별입지,주식회사 제이엠씨(JMC),"김학기, 김성광",전북특별자치도 김제시 백산면 하공로 549,30399,그 외 자동차용 신품 부품 제조업,자동차부품 및 BLDC모터
803,개별입지,주식회사 제일,허점숙,전북특별자치도 김제시 묘암길 34 (난봉동) 외 1필지,33932,전시용 모형 제조업 외 2 종,전시용 모형
804,개별입지,주식회사 제일철강,강병욱,"전북특별자치도 김제시 봉남면 초처로 215-29, 회성리 6-16 (㈜제일철강)",24199,그 외 기타 1차 철강 제조업,철근가공품
805,개별입지,주식회사 주상산업,장우태,전북특별자치도 김제시 황산면 남산리 359-13번지,25112,구조용 금속 판제품 및 공작물 제조업 외 3 종,금속판제품 및 금속제품
806,개별입지,주식회사 창운기전,윤선아,전북특별자치도 김제시 백구면 백구7길 164-78 외 1필지,30392,자동차용 신품 제동장치 제조업 외 15 종,"하네스 와이어링커넥터,CCTV, 수배전반, 태양광발전장치, 가로등주, 안내표지판 등"
807,개별입지,주식회사 청솔푸드,서문석,전북특별자치도 김제시 금산면 구성8길 5,10742,천연 및 혼합조제 조미료 제조업 외 1 종,고추가루
808,개별입지,주식회사 케이마린, 정혜숙,전북특별자치도 김제시 공덕면 황경2길 76,31112,합성수지선 건조업 외 1 종,"태양광보트, 공기부양정, 전기추진보트"
809,개별입지,주식회사 태백,임환택,전북특별자치도 김제시 백구면 석담4길 155 (총 5 필지),30201,차체 및 특장차 제조업 외 2 종,"크레인, 탱크로리, 자동사다리,더덤프"
810,개별입지,주식회사 트인(김제지점),이주희,전북특별자치도 김제시 공덕면 청공로 686,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,"조형물,앵커(닻)"
811,개별입지,주식회사 티에스엠팩토리,임헌범 ,전북특별자치도 김제시 금구면 남양2길 312,25111,"금속 문, 창, 셔터 및 관련제품 제조업","금속난간대, 그 외 금속가공품"
812,개별입지,주식회사 한길,김지안,"전북특별자치도 김제시 금산면 원평10길 105-148, (제2동) 외 1필지",23321,비내화 모르타르 제조업 외 1 종,"흙콘크리트, 인쇄물"
813,개별입지,주식회사 한남글라스,"김은철, 김제성",전북특별자치도 김제시 백구면 번영로 2640-53 (㈜ 한남글라스),23112,안전유리 제조업 외 1 종,"강화유리,복층유리"
814,개별입지,주식회사 한성,진현숙,전북특별자치도 김제시 백구면 황토로 1162-57 외 3필지,29210,농업 및 임업용 기계 제조업 외 2 종,"농산물건조기, 농산물세척기"
815,개별입지,주식회사 한신,고재필,"전북특별자치도 김제시 백구면 번영로 2640-83, (주2동)",30201,차체 및 특장차 제조업 외 1 종,용접구조물/특장차조립
816,개별입지,주식회사 황등석재 1공장,전득준,전북특별자치도 김제시 백구면 학동2길 109-2,23911,건설용 석제품 제조업 외 1 종,"석가공품, 석가공품"
817,개별입지,주식회사 황등석재 2공장,이만식,전북특별자치도 김제시 백구면 학동2길 96,23911,건설용 석제품 제조업,석제품
818,개별입지,주식회사 효성,"조규대, 유영훈",전북특별자치도 김제시 금산면 용산3길 119,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,교량 콘크리트 데크
819,개별입지,주식회사 희성산업 김제지점,유태호,"전북특별자치도 김제시 용지면 석정로 781-26, 외 3필",20312,복합비료 및 기타 화학비료 제조업 외 1 종,유기질비료
820,개별입지,중부철강산업(주),황주희,"전북특별자치도 김제시 황산면 남산로 393, 중부철강산업(주)",25113,육상 금속 골조 구조재 제조업,SK판넬 및 철구조물
821,개별입지,중앙석재,권이석,전북특별자치도 김제시 백구면 학동2길 22,23911,건설용 석제품 제조업 외 1 종,석재가공품
822,개별입지,중앙하우징,송영이,전북특별자치도 김제시 금구면 하신리 164-4번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",알루미늄 중문
823,개별입지,지성금속,허효길,전북특별자치도 김제시 백구면 백구7길 164-39,29294,주형 및 금형 제조업 외 1 종,"특장차 부품 생산용 프레스 금형, 특장차 개조용 부품"
824,개별입지,지엘콘 주식회사,정종용,전북특별자치도 김제시 금구면 옥용3길 30,20202,합성수지 및 기타 플라스틱 물질 제조업,폴리우레아수지도막방수재
825,개별입지,지평선누룽지농업회사법인유한회사,정미란,전북특별자치도 김제시 순동1길 44 (순동),10619,기타 곡물 가공품 제조업,누룽지
826,개별입지,지평선조경원예,전찬만,전북특별자치도 김제시 용지면 봉의2길 125-2,29172,공기 조화장치 제조업 외 1 종,바이오월(화분)
827,개별입지,지평선티엠알영농조합법인,진성욱,전북특별자치도 김제시 황산면 황산로 518-146,10801,배합 사료 제조업 외 1 종,사료
828,개별입지,진FOOD,임윤경,전북특별자치도 김제시 성덕면 점촌5길 152,10402,식물성 유지 제조업 외 1 종,참기름. ?씬
829,개별입지,진항공시스템,김성진,전북특별자치도 김제시 진봉면 정당4길 30,31311,"유인 항공기, 항공우주선 및 보조장치 제조업 외 1 종",
830,개별입지,차유식품,차상묵,전북특별자치도 김제시 봉남면 신호1길 9,10742,천연 및 혼합조제 조미료 제조업,고추가루
831,개별입지,천금,김미자,전북특별자치도 김제시 연정동 492-1번지 외 1필지,25113,육상 금속 골조 구조재 제조업,철근 가공품
832,개별입지,청운석재,최순열,전북특별자치도 김제시 공덕면 동계리 735번지 외 3필지 외 3필지,23911,건설용 석제품 제조업 외 1 종,석재가공품
833,개별입지,청춘목장,심재원,전북특별자치도 김제시 백구면 학동로 56-5,10501,액상시유 및 기타 낙농제품 제조업,"발효유, 치즈"
834,개별입지,초원식품,송문자,전북특별자치도 김제시 봉남면 종덕리 448-5번지,10219,기타 수산동물 가공 및 저장 처리업,
835,개별입지,친환경 농업미생물사업소,박준배,전북특별자치도 김제시 동서로 34 (옥산동),20312,복합비료 및 기타 화학비료 제조업 외 3 종,"미생물비료,보조사료"
836,개별입지,카스디지탈,윤명석,전북특별자치도 김제시 금구면 남산로 428,27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업","트럭스케일, 플렛폼스케일"
837,개별입지,칼리코,이남승,"전북특별자치도 김제시 아리랑로 1991 (상동동, 대원오토(유))",22199,그 외 기타 고무제품 제조업 외 1 종,"고무차수판, 신축줄눈재"
838,개별입지,케이씨,김영신,전북특별자치도 김제시 검산3길 49 (검산동),10802,단미 사료 및 기타 사료 제조업,"사료첨가제, 보조사료"
839,개별입지,케이아이테크 주식회사,고명현,전북특별자치도 김제시 금구면 연동길 20,25113,육상 금속 골조 구조재 제조업 외 2 종,"철구조물, 열교환기"
840,개별입지,코엔에프 유한회사,김민강,"전북특별자치도 김제시 금구면 봉두로 148-22, 외 6필 (금구면)",10620,전분제품 및 당류 제조업 외 2 종,"과채음료, 액상차류, 기타 가공품"
841,개별입지,코엔원,이준일,"전북특별자치도 김제시 백학제길 154, 한국폴리텍창업보육센터204호 (백학동)",28121,"전기회로 개폐, 보호장치 제조업 외 1 종",서지보호기
842,개별입지,클래식어닝,김성훈,전북특별자치도 김제시 용지면 금백로 1089 외 1필지,25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종","고정식 어닝, 접이식 어닝"
843,개별입지,태광농기계,조태석,전북특별자치도 김제시 벽지산로 255-1(교동),34019,기타 일반 기계 및 장비 수리업,농기계 수리
844,개별입지,태왕테크,허기호,전북특별자치도 김제시 백구면 백구7길 164-39,30201,차체 및 특장차 제조업 외 1 종,특장차 부품
845,개별입지,태풍산업개발,이승재,전북특별자치도 김제시 황산면 남산로 275 (태풍실업) 외 1필지,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종","도자기질타일시멘트, 접착제"
846,개별입지,태호바이오,이용철,전북특별자치도 김제시 백구면 공술길 65,10802,단미 사료 및 기타 사료 제조업,유산균 이유식
847,개별입지,토우세라믹,박종진,전북특별자치도 김제시 황산면 남산로 425 (토우세라믹) 외 1필지,23231,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",적벽돌
848,개별입지,티에스팜,이상현,전북특별자치도 김제시 백구면 영상3길 109-2,29210,농업 및 임업용 기계 제조업 외 3 종,농기계부품
849,개별입지,팔봉도자기공방,박광철,전북특별자치도 김제시 죽산면 화초로 2 외 1필지,23221,가정용 및 장식용 도자기 제조업,도자기
850,개별입지,평장ENG,최세미,전북특별자치도 김제시 백구면 금백로 1137 외 2필지,22223,플라스틱 창호 제조업 외 1 종,"알루미늄창호, PVC창호"
851,개별입지,평장산업개발,이장은,전북특별자치도 김제시 백구면 금백로 1197 (총 5 필지) 외 4필지,23112,안전유리 제조업 외 1 종,판유리 가공 및 판유리 도장품
852,개별입지,평화플라스틱,최희정,"전북특별자치도 김제시 용마로 18 (난봉동, 동명우드(유)) (총 3 필지) 외 2필지",22211,"플라스틱 선, 봉, 관 및 호스 제조업",EPL전선관
853,개별입지,풍남기공,백영화,전북특별자치도 김제시 백구면 석담4길 131-88 (총 3 필지) 외 2필지,25122,금속탱크 및 저장용기 제조업 외 2 종,유류저장탱크
854,개별입지,하나 목토시,김용담,전북특별자치도 김제시 남북2길 8(신풍동),13229,기타 직물제품 제조업,목토시 마스크
855,개별입지,하나농산,"신철균, 임순화","전북특별자치도 김제시 공덕면 저동길 155, (동계리 963-6번지)",10611,곡물 도정업,백미
856,개별입지,학동석재,모용순,전북특별자치도 김제시 백구면 학동2길 66,23911,건설용 석제품 제조업 외 1 종,석재가공품
857,개별입지,한국엔지니어링,윤석운,"전북특별자치도 김제시 황산면 용마로 470,",25999,그 외 기타 분류 안된 금속 가공 제품 제조업,엔빌
858,개별입지,한미오앤에프(주),이관형,전북특별자치도 김제시 죽산면 옥성로 60 (한미조사료) 외 4필지,10801,배합 사료 제조업 외 3 종,"단미사료, 혼합유박"
859,개별입지,한삼코라(주),조민수,전북특별자치도 김제시 금산면 구성길 364 (한삼코라㈜) (총 6 필지) 외 5필지,29175,액체 여과기 제조업 외 2 종,"자동칼키주입장치,자동정수처리장치,여과기금속탱크"
860,개별입지,한성기업 주식회사,장윤석,전북특별자치도 김제시 금산면 성계리 331-9번지 외 11필지,23322,레미콘 제조업,레미콘
861,개별입지,한신특장,고재필,"전북특별자치도 김제시 백구면 번영로 2640-83, 외 (222-3)",30201,차체 및 특장차 제조업 외 1 종,고소작업차
862,개별입지,한일석재,유해연,전북특별자치도 김제시 백구면 학동2길 34,23919,기타 석제품 제조업,석재품제조
863,개별입지,한지박물관,송제천,전북특별자치도 김제시 금산면 금산사로 205-22,17122,인쇄용 및 필기용 원지 제조업 외 2 종,한지류
864,개별입지,해풍친환경 영농조합법인,한강희,전북특별자치도 김제시 청하면 관상리 732-22번지,10713,과자류 및 코코아 제품 제조업,과자
865,개별입지,현대포리마,박현식,전북특별자치도 김제시 청하면 백산로 798,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,용기 포장류
866,개별입지,형제콘크리트,송영기,"전북특별자치도 김제시 금산면 원평로 174, 성계리 389-3 (총 2 필지) 외 1필지",23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","벽돌, 블럭"
867,개별입지,형통산업,최광필,전북특별자치도 김제시 입석5길 107 (입석동),25933,비동력식 수공구 제조업,"지그, 다이"
868,개별입지,혜명산업,최경애,전북특별자치도 김제시 황산면 남양2길 263 (혜명산업),30331,자동차용 신품 동력전달장치 제조업 외 4 종,"로필라,엔진마운팅,베이커탱크 등"
869,개별입지,혜성화학,오진석,"전북특별자치도 김제시 아리랑로 1991 (상동동, 대원오토(유))",22212,플라스틱 필름 제조업 외 1 종,폴리에틸렌 필름
870,개별입지,호이스트코리아크레인,박정배,전북특별자치도 김제시 백구면 석담4길 131-6 (총 3 필지),29169,기타 물품 취급장비 제조업 외 2 종,"천장 호이스트크레인, 국기게양대"
871,개별입지,환희식품,이주훈,"전북특별자치도 김제시 금산면 구성길 248,",10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"순대,족발,내장"
872,개별입지,황성공업주식회사,윤이경,전북특별자치도 김제시 백구면 번영로 2640-37 (황성 공업주식회사),30320,자동차 차체용 신품 부품 제조업 외 3 종,자동차부품
