순번,단지명,회사명,대표자명,공장대표주소(도로명),대표업종번호,업종명,생산품
465,개별입지,(주)서호산기,장창원,"전북특별자치도 김제시 용마로 9 (난봉동, ㈜서호산기) 외 1필지",25913,자동차용 금속 압형제품 제조업 외 1 종,금속용기
466,개별입지,(주)서흥전장,이세훈,전북특별자치도 김제시 황산면 남산로 309 외 3필지,28303,절연 코드세트 및 기타 도체 제조업,자동차배선코드세트
467,개별입지,(주)석화산업,신은숙,전북특별자치도 김제시 백구면 학동2길 29-8 (㈜서화산업),23911,건설용 석제품 제조업 외 1 종,건축용석재
468,개별입지,(주)선태동굴식품,변승숙,전북특별자치도 김제시 금구면 광현1길 84 (㈜선태식품),10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 2 종","양념젓갈,절임마늘,깻잎"
469,개별입지,(주)성우엔지니어링,이정아,"전북특별자치도 김제시 남북2길 25-12, (주)성우엔지니어링 (신풍동)",25113,육상 금속 골조 구조재 제조업 외 5 종,"태양광발전설비, 광고물"
470,개별입지,(주)세진산업,천병철,"전북특별자치도 김제시 금구면 풍요로 867-13, 외4필지",25113,육상 금속 골조 구조재 제조업 외 1 종,철구조물
471,개별입지,(주)솔토,채숙현,전북특별자치도 김제시 진봉면 정당길 65 (호산농산) (총 3 필지) 외 2필지,10713,과자류 및 코코아 제품 제조업,김미과
472,개별입지,(주)스튜디오이공,김진석,전북특별자치도 김제시 금구면 풍요로 867-5,32029,기타 목재가구 제조업,목재가구
473,개별입지,(주)시그널웍스,유형태,전북특별자치도 김제시 백구면 반월리 506번지 외2필지,27216,산업처리공정 제어장비 제조업,자동화라인정밀측정장비
474,개별입지,(주)신의산업,김인경,"전북특별자치도 김제시 금산면 원평10길 105-138, 제1동",23321,비내화 모르타르 제조업 외 1 종,황토가루
475,개별입지,(주)신일기업,이상구,"전북특별자치도 김제시 용마로 10 (난봉동, (유)신일기업)",24132,강관 제조업 외 2 종,이형질이음관
476,개별입지,(주)신한엔터프라이즈,윤두한,전북특별자치도 김제시 순동1길 152-9 (순동),22199,그 외 기타 고무제품 제조업 외 4 종,"체육시설 탄성포장재, 인조단디, 개량마사토 등"
477,개별입지,(주)신흥콘크리트,이근호,전북특별자치도 김제시 금구면 콩쥐팥쥐로 586 (㈜신흥콘크리트),23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"V.R관,ILP블록,맨홀블록,콘크리트경계석"
478,개별입지,(주)씨와이라이팅,은희채,전북특별자치도 김제시 금산면 봉은길 617-14,28422,일반용 전기 조명장치 제조업,조명기구
479,개별입지,(주)씨케이피,조강표,전북특별자치도 김제시 청하면 청하8길 104,29299,그 외 기타 특수목적용 기계 제조업 외 2 종,"풍동, 풍동, 풍동"
480,개별입지,"(주)아이,디,피",송희원,전북특별자치도 김제시 금구면 하신리 164-11번지,28423,전시 및 광고용 조명장치 제조업 외 4 종,"LED전광판,프린터,간판및광고물,간판후레"
481,개별입지,(주)아이자,김태완,전북특별자치도 김제시 백구면 황토로 977 (아이지㈜),13221,침구 및 관련제품 제조업,"이불,베게"
