시도,군구,관광지,내/외국인,총계(2023.01 ~ 2025.12),2023년,,,,,,,,,,,,,2024년,,,,,,,,,,,,,2025년,,,,,,,,,,,,,
,,,,,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,인원계,2024년 01월,2024년 02월,2024년 03월,2024년 04월,2024년 05월,2024년 06월,2024년 07월,2024년 08월,2024년 09월,2024년 10월,2024년 11월,2024년 12월,인원계,2025년 01월,2025년 02월,2025년 03월,2025년 04월,2025년 05월,2025년 06월,2025년 07월,2025년 08월,2025년 09월,2025년 10월,2025년 11월,2025년 12월,
인천광역시,중구,짜장면박물관,내국인,"518,595","129,002","4,893","9,330","8,239","10,034","10,324","10,038","7,580","12,579","17,790","19,786","9,848","8,561","148,408","11,137","9,677","12,444","12,050","15,567","13,306","8,723","12,931","12,141","20,623","11,866","7,943","241,185","9,032","9,891","11,120","8,709","16,368","13,719","8,298","12,530","11,837","14,793","13,651","111,237",
인천광역시,중구,짜장면박물관,외국인,"112,675","28,378",676,923,"1,674","3,949","3,023","5,030","2,847","2,154","1,479","2,352","1,807","2,464","50,546","2,301","2,538","8,403","5,787","4,928","4,581","5,950","4,093","3,729","3,730","2,083","2,423","33,751","1,408","2,534","3,514","3,910","3,610","2,385","3,442","3,863","2,431","3,050","1,984","1,620",
인천광역시,중구,짜장면박물관,합계,"631,270","157,380","5,569","10,253","9,913","13,983","13,347","15,068","10,427","14,733","19,269","22,138","11,655","11,025","198,954","13,438","12,215","20,847","17,837","20,495","17,887","14,673","17,024","15,870","24,353","13,949","10,366","274,936","10,440","12,425","14,634","12,619","19,978","16,104","11,740","16,393","14,268","17,843","15,635","112,857",
인천광역시,중구,한국이민사박물관,내국인,"230,293","58,742","2,557","4,029","6,061","9,087",0,"3,536","3,637","4,535","6,501","8,698","5,681","4,420","79,529","3,352","5,138","6,875","9,607","10,225","7,234","4,190","5,362","6,112","10,235","6,513","4,686","92,022","4,417","3,729","5,062","7,166","11,341","10,240","6,211","7,985","7,483","12,332","9,145","6,911",
인천광역시,중구,한국이민사박물관,외국인,"4,750","1,746",90,31,74,137,0,65,228,386,229,203,204,99,"1,864",34,90,105,124,227,185,127,299,259,302,80,32,"1,140",37,70,72,120,156,141,105,118,91,114,71,45,
인천광역시,중구,한국이민사박물관,합계,"235,043","60,488","2,647","4,060","6,135","9,224",0,"3,601","3,865","4,921","6,730","8,901","5,885","4,519","81,393","3,386","5,228","6,980","9,731","10,452","7,419","4,317","5,661","6,371","10,537","6,593","4,718","93,162","4,454","3,799","5,134","7,286","11,497","10,381","6,316","8,103","7,574","12,446","9,216","6,956",
인천광역시,동구,수도국산달동네박물관,내국인,"63,146","63,146","5,189","7,631","6,368","5,978","5,941","6,899","5,965","7,922","11,253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,동구,수도국산달동네박물관,외국인,"1,872","1,872",0,0,0,226,256,346,289,481,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,동구,수도국산달동네박물관,합계,"65,018","65,018","5,189","7,631","6,368","6,204","6,197","7,245","6,254","8,403","11,527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,동구,실감콘텐츠체험관 탐,내국인,"7,009","7,009",202,"1,035",655,613,663,626,583,684,359,516,563,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,동구,실감콘텐츠체험관 탐,합계,"7,009","7,009",202,"1,035",655,613,663,626,583,684,359,516,563,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,동구,작은미술관,내국인,"18,149","8,978",0,0,161,192,173,246,302,185,515,"6,383",431,390,"4,716",0,0,536,496,511,456,337,635,437,246,503,559,"4,455",0,0,241,175,384,358,459,136,"1,607",371,306,418,
인천광역시,동구,작은미술관,합계,"18,149","8,978",0,0,161,192,173,246,302,185,515,"6,383",431,390,"4,716",0,0,536,496,511,456,337,635,437,246,503,559,"4,455",0,0,241,175,384,358,459,136,"1,607",371,306,418,
