산업체,성북구사업체수,성북구종사자수,돈암1동사업체수,돈암1동종사자수,돈암2동사업체수,돈암2동종사자수,안암동사업체수,안암동종사자수,보문동사업체수,보문동종사자수,정릉1동사업체수,정릉1동종사자수,정릉2동사업체수,정릉2동종사자수,정릉3동사업체수,정릉3동종사자수,정릉4동사업체수,정릉4동종사자수,길음1동사업체수,길음1동종사자수,길음2동사업체수,길음2동종사자수,월곡1동사업체수,월곡1동종사자수,월곡2동사업체수,월곡2동종사자수,장위1동사업체수,장위1동종사자수,장위2동사업체수,장위2동종사자수,장위3동사업체수,장위3동종사자수,성북동사업체수,성북동종사자수,삼선동사업체수,삼선동종사자수,동선동사업체수,동선동종사자수,종암동사업체수,종암동종사자수,석관동사업체수,석관동종사자수
일반 기계류 수리업,15,20,1,1,,,2,3,,,,,,,1,1,,,,,,,2,3,1,2,,,1,1,1,1,,,1,1,,,3,4,2,3
기타 일반 기계 및 장비 수리업,15,20,1,1,,,2,3,,,,,,,1,1,,,,,,,2,3,1,2,,,1,1,1,1,,,1,1,,,3,4,2,3
전기·전자 및 정밀기기 수리업,8,16,,,1,2,,,1,4,1,1,,,,,,,,,,,,,,,,,1,2,,,,,,,1,1,2,5,1,1
전기·전자 및 정밀기기 수리업,8,16,,,1,2,,,1,4,1,1,,,,,,,,,,,,,,,,,1,2,,,,,,,1,1,2,5,1,1
"전기, 가스, 증기 및 공기조절 공급업",4,8,,,,,,,1,1,,,,,,,1,5,,,,,,,,,,,,,,,2,2,,,,,,,,
"전기, 가스, 증기 및 공기조절 공급업",4,8,,,,,,,1,1,,,,,,,1,5,,,,,,,,,,,,,,,2,2,,,,,,,,
전기업,3,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,
발전업,3,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,
태양력 발전업,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 발전업,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,
연료용 가스 제조 및 배관공급업,1,5,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
연료용 가스 제조 및 배관공급업,1,5,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
연료용 가스 제조 및 배관공급업,1,5,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,
"수도, 하수 및 폐기물 처리, 원료 재생업",13,171,,,,,,,1,18,1,2,,,,,1,2,,,,,1,25,1,4,,,2,3,1,25,,,2,13,,,,,3,79
"하수, 폐수 및 분뇨 처리업",4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,25,,,,,,,,,1,2
"하수, 폐수 및 분뇨 처리업",4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,25,,,,,,,,,1,2
하수 및 폐수 처리업,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,1,2
하수 처리업,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,1,2
분뇨 처리업,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,,,,
사람 분뇨 처리업,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,,,,
"폐기물 수집, 운반, 처리 및 원료 재생업",9,141,,,,,,,1,18,1,2,,,,,1,2,,,,,1,25,1,4,,,,,,,,,2,13,,,,,2,77
"폐기물 수집, 운반업",6,108,,,,,,,,,1,2,,,,,1,2,,,,,1,25,,,,,,,,,,,1,2,,,,,2,77
"지정 외 폐기물 수집, 운반업",3,102,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,,,,,,,,,,,2,77
"지정 외 폐기물 수집, 운반업",3,102,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,,,,,,,,,,,2,77
"건설 폐기물 수집, 운반업",3,6,,,,,,,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,1,2,,,,,,
"건설 폐기물 수집, 운반업",3,6,,,,,,,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,1,2,,,,,,
폐기물 처리업,3,33,,,,,,,1,18,,,,,,,,,,,,,,,1,4,,,,,,,,,1,11,,,,,,
지정 외 폐기물 처리업,1,4,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,
지정 외 폐기물 처리업,1,4,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,
지정 폐기물 처리업,1,18,,,,,,,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지정 폐기물 처리업,1,18,,,,,,,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건설 폐기물 처리업,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,
건설 폐기물 처리업,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,
건설업,575,4133,12,229,8,27,33,159,34,410,26,161,17,127,14,39,16,88,16,50,20,68,30,237,31,143,18,67,27,108,22,92,29,237,42,137,43,525,48,433,89,796
종합 건설업,66,696,,,,,7,28,11,69,4,49,4,21,2,7,2,12,,,1,12,2,55,1,3,1,7,2,10,,,4,29,2,7,10,287,4,36,9,64
건물 건설업,33,416,,,,,2,2,4,30,2,41,3,10,2,7,1,6,,,1,12,1,26,1,3,1,7,1,3,,,3,27,,,4,194,4,36,3,12
주거용 건물 건설업,24,161,,,,,2,2,2,17,2,41,3,10,2,7,,,,,,,1,26,1,3,1,7,1,3,,,2,13,,,1,4,3,16,3,12
단독 주택 건설업,14,80,,,,,2,2,1,14,1,1,1,2,1,4,,,,,,,1,26,1,3,1,7,,,,,1,4,,,,,2,11,2,6
아파트 건설업,3,21,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,1,9,,,,,,,1,6
기타 공동 주택 건설업,7,60,,,,,,,1,3,1,40,1,2,1,3,,,,,,,,,,,,,1,3,,,,,,,1,4,1,5,,
비주거용 건물 건설업,9,255,,,,,,,2,13,,,,,,,1,6,,,1,12,,,,,,,,,,,1,14,,,3,190,1,20,,
사무·상업용 및 공공기관용 건물 건설업,7,242,,,,,,,2,13,,,,,,,,,,,1,12,,,,,,,,,,,1,14,,,2,183,1,20,,
제조업 및 유사 산업용 건물 건설업,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,
기타 비주거용 건물 건설업,1,6,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,
토목 건설업,33,280,,,,,5,26,7,39,2,8,1,11,,,1,6,,,,,1,29,,,,,1,7,,,1,2,2,7,6,93,,,6,52
토목시설물 건설업,33,280,,,,,5,26,7,39,2,8,1,11,,,1,6,,,,,1,29,,,,,1,7,,,1,2,2,7,6,93,,,6,52
도로 건설업,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70,,,,
"항만, 수로, 댐 및 유사 구조물 건설업",3,26,,,,,,,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업생산시설 종합건설업,4,15,,,,,,,2,4,,,,,,,,,,,,,,,,,,,1,7,,,,,1,4,,,,,,
조경 건설업,9,50,,,,,2,5,1,5,,,,,,,,,,,,,,,,,,,,,,,1,2,,,3,13,,,2,25
기타 토목시설물 건설업,16,119,,,,,3,21,1,4,2,8,1,11,,,1,6,,,,,1,29,,,,,,,,,,,1,3,2,10,,,4,27
전문직별 공사업,509,3437,12,229,8,27,26,131,23,341,22,112,13,106,12,32,14,76,16,50,19,56,28,182,30,140,17,60,25,98,22,92,25,208,40,130,33,238,44,397,80,732
기반조성 및 시설물 축조관련 전문공사업,38,641,1,178,,,2,5,3,89,3,16,1,1,,,,,,,,,2,23,3,21,,,2,17,,,2,144,3,11,2,43,10,75,4,18
건물 및 구축물 해체 공사업,16,88,,,,,1,1,,,2,12,1,1,,,,,,,,,1,3,2,12,,,2,17,,,1,23,2,9,,,1,2,3,8
건물 및 구축물 해체 공사업,16,88,,,,,1,1,,,2,12,1,1,,,,,,,,,1,3,2,12,,,2,17,,,1,23,2,9,,,1,2,3,8
기반조성 관련 전문공사업,5,278,1,178,,,1,4,2,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
토공사업,5,278,1,178,,,1,4,2,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
시설물 축조 관련 전문공사업,17,275,,,,,,,1,3,1,4,,,,,,,,,,,1,20,1,9,,,,,,,1,121,1,2,2,43,9,73,,
철골 및 관련 구조물 공사업,4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,2,4,,
콘크리트 및 철근 공사업,5,140,,,,,,,,,1,4,,,,,,,,,,,,,1,9,,,,,,,1,121,1,2,,,1,4,,
조적 및 석 공사업,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,
포장 공사업,5,55,,,,,,,,,,,,,,,,,,,,,1,20,,,,,,,,,,,,,,,4,35,,
비계 및 형틀 공사업,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,
"지붕, 내·외벽 축조 관련 전문 공사업",1,3,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건물설비 설치 공사업,134,832,1,2,,,9,41,6,13,8,20,4,5,5,11,6,25,3,21,5,16,8,58,3,10,3,6,9,20,8,20,5,9,9,16,8,21,13,262,21,256
건물설비 설치 공사업,134,832,1,2,,,9,41,6,13,8,20,4,5,5,11,6,25,3,21,5,16,8,58,3,10,3,6,9,20,8,20,5,9,9,16,8,21,13,262,21,256
배관 및 냉ㆍ난방 공사업,111,288,1,2,,,8,19,6,13,7,15,3,3,5,11,6,25,2,9,4,11,5,16,3,10,3,6,7,14,6,16,5,9,9,16,7,14,8,13,16,66
건물용 기계·장비 설치 공사업,15,480,,,,,,,,,,,,,,,,,1,12,1,5,2,27,,,,,1,1,2,4,,,,,1,7,3,240,4,184
"방음, 방진 및 내화 공사업",1,22,,,,,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소방시설 공사업,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,1,8,1,6
기타 건물 관련설비 설치 공사업,4,23,,,,,,,,,1,5,1,2,,,,,,,,,1,15,,,,,,,,,,,,,,,1,1,,
전기 및 통신 공사업,55,701,1,15,,,4,66,5,214,1,40,1,75,,,2,31,,,,,1,4,5,29,1,16,4,16,5,39,6,38,9,54,2,6,1,2,7,56
전기 공사업,42,628,,,,,4,66,5,214,1,40,1,75,,,2,31,,,,,,,4,26,1,16,3,15,4,21,4,27,6,44,1,3,1,2,5,48
일반전기 공사업,11,167,,,,,4,66,,,1,40,,,,,2,31,,,,,,,,,,,,,,,1,7,1,4,,,,,2,19
내부 전기배선 공사업,31,461,,,,,,,5,214,,,1,75,,,,,,,,,,,4,26,1,16,3,15,4,21,3,20,5,40,1,3,1,2,3,29
통신 공사업,13,73,1,15,,,,,,,,,,,,,,,,,,,1,4,1,3,,,1,1,1,18,2,11,3,10,1,3,,,2,8
일반 통신 공사업,5,42,1,15,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,18,,,2,8,,,,,,
내부 통신배선 공사업,8,31,,,,,,,,,,,,,,,,,,,,,1,4,1,3,,,,,,,2,11,1,2,1,3,,,2,8
실내건축 및 건축마무리 공사업,273,1244,9,34,8,27,11,19,9,25,9,30,7,25,7,21,6,20,13,29,14,40,16,95,19,80,13,38,9,44,8,31,11,16,18,46,19,165,20,58,47,401
"도장, 도배 및 내장 공사업",195,549,9,34,8,27,8,11,5,12,6,10,6,11,3,7,3,5,12,25,12,16,9,24,16,68,9,26,6,25,4,23,9,13,15,36,14,51,17,52,24,73
도장 공사업,16,76,1,12,,,1,1,2,9,1,1,,,,,,,,,,,1,2,,,1,2,1,7,1,15,,,1,1,,,1,4,5,22
"도배, 실내장식 및 내장 목공사업",179,473,8,22,8,27,7,10,3,3,5,9,6,11,3,7,3,5,12,25,12,16,8,22,16,68,8,24,5,18,3,8,9,13,14,35,14,51,16,48,19,51
유리 및 창호 공사업,43,130,,,,,3,8,3,9,,,,,1,2,1,10,,,,,4,21,1,3,4,12,2,6,1,1,2,3,2,7,3,9,1,1,15,38
유리 및 창호 공사업,43,130,,,,,3,8,3,9,,,,,1,2,1,10,,,,,4,21,1,3,4,12,2,6,1,1,2,3,2,7,3,9,1,1,15,38
기타 건축마무리 공사업,35,565,,,,,,,1,4,3,20,1,14,3,12,2,5,1,4,2,24,3,50,2,9,,,1,13,3,7,,,1,3,2,105,2,5,8,290
"미장, 타일 및 방수 공사업",30,541,,,,,,,,,3,20,1,14,3,12,2,5,1,4,2,24,2,45,1,8,,,,,2,6,,,1,3,2,105,2,5,8,290
건물용 금속공작물 설치 공사업,4,19,,,,,,,1,4,,,,,,,,,,,,,,,1,1,,,1,13,1,1,,,,,,,,,,
그 외 기타 건축 마무리 공사업,1,5,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,
시설물 유지관리 공사업,7,15,,,,,,,,,1,6,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,3,1,1,,,1,1
시설물 유지관리 공사업,7,15,,,,,,,,,1,6,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,3,1,1,,,1,1
시설물 유지관리 공사업,7,15,,,,,,,,,1,6,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,3,1,1,,,1,1
건설장비 운영업,2,4,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,2,,,,
건설장비 운영업,2,4,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,2,,,,
건설장비 운영업,2,4,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,2,,,,
도매 및 소매업,4697,14662,61,183,54,125,293,1093,258,920,124,322,150,509,111,303,159,389,195,516,295,1281,290,820,335,1150,164,333,230,478,90,260,248,811,408,1348,417,1281,381,996,434,1544
자동차 및 부품 판매업,79,336,1,13,,,6,11,9,46,5,9,4,39,1,1,1,2,,,4,37,9,45,2,2,5,7,2,4,3,19,4,25,3,9,,,8,17,12,50
자동차 판매업,16,220,1,13,,,,,2,32,,,2,30,,,,,,,2,35,2,30,,,,,1,2,1,13,1,19,1,5,,,1,7,2,34
자동차 신품 판매업,16,220,1,13,,,,,2,32,,,2,30,,,,,,,2,35,2,30,,,,,1,2,1,13,1,19,1,5,,,1,7,2,34
자동차 신품 판매업,16,220,1,13,,,,,2,32,,,2,30,,,,,,,2,35,2,30,,,,,1,2,1,13,1,19,1,5,,,1,7,2,34
자동차 부품 및 내장품 판매업,41,79,,,,,3,8,3,3,3,7,2,9,1,1,1,2,,,1,1,5,9,2,2,4,6,,,1,5,3,6,1,1,,,4,6,7,13
자동차 신품 부품 및 내장품 판매업,40,78,,,,,3,8,3,3,3,7,2,9,1,1,1,2,,,1,1,5,9,2,2,4,6,,,1,5,3,6,1,1,,,4,6,6,12
자동차 신품 타이어 및 튜브 판매업,7,17,,,,,2,7,,,,,1,2,,,,,,,,,1,4,,,2,2,,,,,,,,,,,,,1,2
자동차용 전용 신품 부품 판매업,17,42,,,,,,,1,1,3,7,1,7,,,,,,,,,3,4,,,1,3,,,1,5,2,5,,,,,3,4,2,6
자동차 내장용 신품 전기·전자·정밀 기기 판매업,10,12,,,,,,,,,,,,,,,1,2,,,1,1,1,1,2,2,1,1,,,,,1,1,,,,,1,2,2,2
기타 자동차 신품 부품 및 내장품 판매업,6,7,,,,,1,1,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,2
자동차 중고 부품 및 내장품 판매업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
자동차 중고 부품 및 내장품 판매업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
모터사이클 및 부품 판매업,22,37,,,,,3,3,4,11,2,2,,,,,,,,,1,1,2,6,,,1,1,1,2,1,1,,,1,3,,,3,4,3,3
모터사이클 및 부품 판매업,22,37,,,,,3,3,4,11,2,2,,,,,,,,,1,1,2,6,,,1,1,1,2,1,1,,,1,3,,,3,4,3,3
모터사이클 및 부품 도매업,3,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,
모터사이클 및 부품 소매업,19,34,,,,,2,2,4,11,2,2,,,,,,,,,1,1,2,6,,,1,1,1,2,,,,,1,3,,,2,3,3,3
도매 및 상품 중개업,920,3733,8,29,7,9,116,477,70,240,25,61,14,68,17,75,24,102,12,22,33,107,60,269,75,303,20,30,47,113,15,34,57,347,83,297,58,229,71,235,108,686
상품 중개업,63,243,1,2,,,21,72,6,23,,,1,1,,,1,2,,,2,3,1,1,5,65,1,3,2,2,,,9,21,6,12,1,1,3,20,3,15
상품 중개업,63,243,1,2,,,21,72,6,23,,,1,1,,,1,2,,,2,3,1,1,5,65,1,3,2,2,,,9,21,6,12,1,1,3,20,3,15
"산업용 농·축산물, 섬유 원료 및 동물 중개업",1,22,,,,,,,,,,,,,,,,,,,,,,,1,22,,,,,,,,,,,,,,,,
음ㆍ식료품 및 담배 중개업,7,16,,,,,2,5,,,,,,,,,1,2,,,1,2,,,,,1,3,1,1,,,,,,,,,1,3,,
"섬유, 의복, 신발 및 가죽제품 중개업",31,99,1,2,,,16,53,3,14,,,,,,,,,,,,,,,1,1,,,,,,,3,7,4,9,1,1,1,11,1,1
목재 및 건축자재 중개업,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"연료, 광물, 1차 금속, 비료 및 화학제품 중개업",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,
기계 및 장비 중개업,3,8,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,1,6,,
그 외 기타 특정 상품 중개업,4,13,,,,,1,9,,,,,,,,,,,,,,,,,1,2,,,,,,,1,1,1,1,,,,,,
상품 종합 중개업,14,80,,,,,2,5,3,9,,,,,,,,,,,,,,,2,40,,,1,1,,,3,9,1,2,,,,,2,14
산업용 농·축산물 및 동·식물 도매업,12,31,,,,,,,,,,,1,1,,,1,1,,,,,1,1,4,10,,,,,,,,,1,2,,,2,6,2,10
산업용 농·축산물 및 동·식물 도매업,12,31,,,,,,,,,,,1,1,,,1,1,,,,,1,1,4,10,,,,,,,,,1,2,,,2,6,2,10
곡물 및 유지작물 도매업,7,15,,,,,,,,,,,,,,,,,,,,,1,1,3,8,,,,,,,,,1,2,,,1,3,1,1
사료 도매업,3,6,,,,,,,,,,,1,1,,,,,,,,,,,1,2,,,,,,,,,,,,,1,3,,
화훼류 및 식물 도매업,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
기타 산업용 농산물 도매업,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
음ㆍ식료품 및 담배 도매업,156,648,1,2,1,1,9,44,10,14,6,16,,,4,13,6,60,2,4,5,24,14,55,8,26,1,1,6,13,6,8,6,48,20,65,13,49,11,42,27,163
신선식품 및 단순 가공식품 도매업,47,175,,,1,1,,,5,9,1,4,,,2,5,5,58,1,2,,,3,6,1,2,,,3,7,2,2,2,22,6,11,4,8,5,23,6,15
과실류 도매업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
"채소류, 서류 및 향신작물류 도매업",2,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,
육류 도매업,17,109,,,,,,,1,1,,,,,1,1,2,52,,,,,1,1,,,,,1,3,1,1,1,21,2,2,1,1,3,20,3,6
건어물 및 젓갈류 도매업,8,18,,,,,,,1,2,,,,,,,1,1,,,,,1,2,1,2,,,,,,,,,1,1,,,1,2,2,8
"신선, 냉동 및 기타 수산물 도매업",10,25,,,1,1,,,1,1,1,4,,,1,4,2,5,1,2,,,,,,,,,1,3,,,,,2,5,,,,,,
기타 신선식품 및 단순 가공식품 도매업,9,18,,,,,,,1,4,,,,,,,,,,,,,1,3,,,,,1,1,1,1,,,,,3,7,1,1,1,1
가공식품 도매업,83,308,1,2,,,6,26,4,4,5,12,,,1,4,1,2,,,4,23,8,44,7,24,1,1,3,6,4,6,2,13,9,23,7,35,4,13,16,70
육류 가공식품 도매업,6,28,,,,,,,,,2,7,,,,,,,,,2,19,,,,,1,1,,,,,,,,,1,1,,,,
수산물 가공식품 도매업,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,5,,,,,1,1
"빵류, 과자류, 당류, 초콜릿 도매업",10,54,,,,,,,1,1,,,,,,,,,,,1,1,1,3,1,2,,,1,1,,,1,8,2,2,1,11,,,1,25
낙농품 및 동·식물성 유지 도매업,27,83,1,2,,,2,8,1,1,2,2,,,1,4,1,2,,,,,4,31,2,3,,,2,5,2,2,,,3,5,1,2,1,6,4,10
커피 및 차류 도매업,4,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,2,4
조미료 도매업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
기타 가공식품 도매업,32,125,,,,,4,18,2,2,1,3,,,,,,,,,1,3,2,9,4,19,,,,,1,3,,,3,11,3,20,3,7,8,30
음료 및 담배 도매업,26,165,,,,,3,18,1,1,,,,,1,4,,,1,2,1,1,3,5,,,,,,,,,2,13,5,31,2,6,2,6,5,78
주류 도매업,12,123,,,,,,,1,1,,,,,1,4,,,,,1,1,2,3,,,,,,,,,2,13,2,27,,,1,1,2,73
비알코올음료 도매업,12,25,,,,,1,1,,,,,,,,,,,1,2,,,1,2,,,,,,,,,,,3,4,2,6,1,5,3,5
담배 도매업,2,17,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생활용품 도매업,355,1480,4,15,3,5,52,199,31,133,12,29,5,11,4,13,8,22,6,11,16,56,26,166,23,82,9,12,16,31,2,5,26,150,25,59,27,97,29,91,31,293
"생활용 섬유제품, 의복, 의복 액세 서리 및 모피제품 도매업",170,684,3,11,2,2,35,109,23,96,1,1,2,4,2,11,3,6,1,1,3,30,12,118,12,37,3,3,9,17,2,5,10,81,11,26,12,54,15,56,9,16
생활용 섬유 및 실 도매업,20,54,,,,,5,11,4,27,,,1,3,,,,,,,,,2,2,,,,,1,1,1,1,1,1,1,1,,,3,5,1,2
커튼 및 침구용품 도매업,15,59,1,8,,,,,,,,,,,1,9,1,2,,,,,1,2,,,,,1,2,1,4,2,5,,,3,20,1,2,3,5
남녀용 겉옷 및 셔츠 도매업,85,454,1,1,2,2,24,83,16,64,,,1,1,,,1,3,1,1,1,28,4,101,5,16,2,2,4,10,,,3,59,6,12,5,27,7,42,2,2
유아용 의류 도매업,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,1,1,,
속옷 및 잠옷 도매업,3,8,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,,,,,1,3,,,,,,,,
가죽 및 모피제품 도매업,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
의복 액세서리 및 모조 장신구 도매업,36,93,1,2,,,4,13,3,5,,,,,,,1,1,,,2,2,5,13,4,12,,,2,3,,,2,11,4,13,2,5,3,6,3,7
기타 생활용 섬유 및 직물제품 도매업,7,10,,,,,2,2,,,1,1,,,1,2,,,,,,,,,1,3,,,1,1,,,,,,,1,1,,,,
신발 도매업,5,26,,,,,,,1,16,,,,,,,,,1,1,1,2,,,,,,,1,3,,,,,,,,,,,1,4
신발 도매업,5,26,,,,,,,1,16,,,,,,,,,1,1,1,2,,,,,,,1,3,,,,,,,,,,,1,4
"생활용 가구, 조명기구 및 비전기식 생활용 기기 도매업",28,79,,,,,1,1,2,9,1,1,,,1,1,2,4,2,4,1,1,2,3,2,14,2,3,,,,,4,12,2,5,1,1,3,4,2,16
생활용 가구 도매업,8,14,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3,1,1,,,,,1,4,,,,,3,4,,
"전구, 램프 및 조명장치 도매업",11,31,,,,,,,,,,,,,1,1,1,3,2,4,1,1,1,1,,,1,2,,,,,1,1,1,2,,,,,2,16
생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,9,34,,,,,,,2,9,1,1,,,,,,,,,,,1,2,1,11,,,,,,,2,7,1,3,1,1,,,,
"의약품, 의료용품 및 화장품 도매업",75,466,1,4,,,8,49,1,5,7,21,1,1,,,3,12,,,8,17,3,6,4,24,,,2,3,,,5,40,4,9,8,18,6,16,14,241
의약품 도매업,16,273,1,4,,,4,42,,,3,8,,,,,1,3,,,,,1,3,2,21,,,,,,,,,,,,,,,4,192
의료용품 도매업,20,70,,,,,1,2,,,2,6,,,,,,,,,1,6,1,1,1,2,,,,,,,2,32,1,1,3,7,2,3,6,10
화장품 및 화장용품 도매업,33,109,,,,,3,5,,,2,7,1,1,,,2,9,,,3,5,1,2,1,1,,,2,3,,,3,8,3,8,5,11,3,10,4,39
비누 및 세정제 도매업,6,14,,,,,,,1,5,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,1,3,,
"생활용 포장ㆍ위생용품, 문구용품 및 출판 인쇄물 도매업",32,102,,,1,3,4,29,2,2,1,2,1,3,,,,,,,1,4,3,6,1,1,1,2,1,1,,,4,7,6,17,1,2,3,11,2,12
"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",4,8,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,4,,
"문구용품, 회화용품, 사무용품 도매업",17,53,,,,,2,7,,,,,1,3,,,,,,,,,2,2,1,1,1,2,,,,,2,4,4,15,,,2,7,2,12
"서적, 잡지 및 기타 인쇄물 도매업",11,41,,,1,3,1,20,1,1,1,2,,,,,,,,,1,4,1,4,,,,,,,,,2,3,2,2,1,2,,,,
"음반 및 비디오물, 악기, 오락 및 경기용품 도매업",10,28,,,,,,,1,4,,,1,3,,,,,1,2,1,1,2,12,,,2,3,1,2,,,1,1,,,,,,,,
"장난감 및 취미, 오락용품 도매업",4,4,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,1,1,,,,,,,,
운동 및 경기용품 도매업,3,9,,,,,,,1,4,,,1,3,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
자전거 및 기타 운송장비 도매업,3,15,,,,,,,,,,,,,,,,,1,2,,,1,11,,,,,1,2,,,,,,,,,,,,
"가방, 시계, 안경 및 기타 생활용품 도매업",35,95,,,,,4,11,1,1,2,4,,,1,1,,,1,3,1,1,4,21,4,6,1,1,2,5,,,2,9,2,2,5,22,2,4,3,4
가방 및 보호용 케이스 도매업,4,9,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,
시계 및 귀금속제품 도매업,3,4,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,,,,,,,,,,,,,,,
"안경, 사진장비 및 광학용품 도매업",3,11,,,,,1,3,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,1,3,,
그 외 기타 생활용품 도매업,25,71,,,,,1,1,1,1,2,4,,,1,1,,,1,3,,,1,13,4,6,1,1,2,5,,,2,9,2,2,4,21,,,3,4
기계장비 및 관련 물품 도매업,148,670,1,5,1,1,10,50,9,31,5,10,2,35,3,11,7,16,3,4,6,18,2,2,22,87,5,7,12,49,3,5,11,108,14,68,7,25,9,29,16,109
