순번,회사명,공장대표주소(도로명),업종번호,업종명
1126,NDJ,충청남도 아산시 음봉면 월산로 204-14,"29210, ",농업 및 임업용 기계 제조업
1127,SGM바이오텍(주),"충청남도 아산시 배방읍 호서로79번길 20, 호서대학교 자연과학관 416","10795, ",인삼식품 제조업
1128,SJG 세정(주),충청남도 아산시 둔포면 아산호로840번길 65-20,"30399, ",그 외 자동차용 신품 부품 제조업
1129,TM TECH,충청남도 아산시 음봉면 월암로 281,"27213, 29223","물질 검사, 측정 및 분석기구 제조업 외 1 종"
1130,㈜매직캔,충청남도 아산시 인주면 인주산단로 75-61,"25932, 22299",일반철물 제조업 외 1 종
1131,㈜예성이엔지,충청남도 아산시 신창면 궁화리 78 외 1필지,"30399, ",그 외 자동차용 신품 부품 제조업
1132,㈜유광일렉트로닉스  ,충청남도 아산시 음봉면 산동안길 59-8,"28303, 30392",절연 코드세트 및 기타 도체 제조업 외 1 종
1133,㈜유한정밀산업,충청남도 아산시 둔포면 아산밸리로 92,"26329, ",기타 주변기기 제조업
1134,㈜제이에스오토텍,충청남도 아산시 음봉면 연암율금로295번길 66-10,"27199, 29199, 29271, 29299",그 외 기타 의료용 기기 제조업 외 3 종
1135,㈜진성케미텍,충청남도 아산시 둔포면 아산밸리서로 59,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1136,㈜톱텍,충청남도 아산시 둔포면 아산밸리로 106,"29199, 23122, 29176",그 외 기타 일반목적용 기계 제조업 외 2 종
1137,가나복분자농장,충청남도 아산시 송악면 마곡길 100 외 2필지,"11119, ",기타 발효주 제조업
1138,가내식품,충청남도 아산시 신창면 서부북로 207,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업
1139,가람오토테크,충청남도 아산시 신창면 궁화로 181-6,"25923, ",도장 및 기타 피막처리업
1140,가소테크,충청남도 아산시 탕정면 선문로254번길 78-5,"29271, ",반도체 제조용 기계 제조업
1141,가스코아산(주),충청남도 아산시 둔포면 윤보선로 521,"20121, ",산업용 가스 제조업
1142,가야산업,충청남도 아산시 둔포면 이화동길 147-8,"38321, 38322",비금속류 해체 및 선별업 외 1 종
1143,가야촌,충청남도 아산시 봉강천로5번길 5 -5(배방읍),"10713, ",과자류 및 코코아 제품 제조업
1144,강청사료,충청남도 아산시 염치읍 강청리 328-2번지 외 3필지 외 3필지,"10801, 10802",배합 사료 제조업 외 1 종
1145,거림테크(주) 아산공장,충청남도 아산시 둔포면 아산호로998번길 37,"26299, 26295",그 외 기타 전자부품 제조업 외 1 종
1146,거산반도체,충청남도 아산시 음봉면 연암율금로295번길 4-5 번지 외 1필지(8),"26421, 26429, 28119, 30332",방송장비 제조업 외 3 종
1147,거성,충청남도 아산시 음봉면 월암로 295,"29171, ",산업용 냉장 및 냉동 장비 제조업
1148,거성전기,충청남도 아산시 음봉면 음봉로 471-43 (거성),"28111, ",전동기 및 발전기 제조업
1149,거화산업,충청남도 아산시 영인면 토정로191번길 30,"23911, 23919",건설용 석제품 제조업 외 1 종
1150,건설창호산업,충청남도 아산시 탕정면 탕정면로 315 (성우정밀),"23199, 23121",그 외 기타 유리제품 제조업 외 1 종
1151,건영이엔피산업(주),충청남도 아산시 음봉면 연암산로 38,"16231, ",목재 깔판류 및 기타 적재판 제조업
1152,건영포장,충청남도 아산시 음봉면 연암산로 42,"16231, ",목재 깔판류 및 기타 적재판 제조업
1153,건우전장(주),충청남도 아산시 신창면 남성리 67-7,"30392, ",자동차용 신품 제동장치 제조업
1154,견양(주),충청남도 아산시 인주면 아산만로1230번길 3-24,"13229, ",기타 직물제품 제조업
1155,경기산업,충청남도 아산시 둔포면 관대길106번길 6,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업"
1156,경기산업(주),충청남도 아산시 둔포면 아산밸리중앙로 144,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1 종
1157,경남제약주식회사,충청남도 아산시 신창면 서부남로790번길 49,"21210, 10799",완제 의약품 제조업 외 1 종
1158,경민티엠에스(주),충청남도 아산시 인주면 인주산단로 123-68,"30399, ",그 외 자동차용 신품 부품 제조업
1159,경원이엔지,충청남도 아산시 월산로 100 -1(음봉면),"29132, ",기체 펌프 및 압축기 제조업
1160,경인산업,충청남도 아산시 인주면 영인산로333번길 58,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1161,계림다이스,충청남도 아산시 음봉면 월산로 253-7,"29294, ",주형 및 금형 제조업
1162,고려그린믹스(주),충청남도 아산시 영인면 영인산로 459,"23322, ",레미콘 제조업
1163,고려산업,충청남도 아산시 음봉면 월산로 192-117 (음봉면 산동리 950-84 공장 (박윤원)),"30399, 22241, 22249, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 5 종
1164,고려산업주식회사,충청남도 아산시 음봉면 월암로 376 (음봉면),"23322, ",레미콘 제조업
1165,고려철재(주),충청남도 아산시 영인면 장영실로 717,"38312, 22213, 24290",금속류 원료 재생업 외 2 종
1166,고문당인쇄(주),충청남도 아산시 음봉면 산동리 1020,"18119, 18129",기타 인쇄업 외 1 종
1167,골드덴스포츠,충청남도 아산시 탕정면 갈산리 100,"33309, ",기타 운동 및 경기용구 제조업
1168,공도산업,충청남도 아산시 배방읍 중리 378-4번지,"23919, 23911",기타 석제품 제조업 외 1 종
1169,공영산업,충청남도 아산시 시민로309번길 4 (용화동),"13921, ",끈 및 로프 제조업
1170,관동ENG(주),충청남도 아산시 온천대로1122번길 36-7 (득산동),"22232, ",포장용 플라스틱 성형용기 제조업
1171,광덕철강(주),충청남도 아산시 음봉면 산동로59번길 26,"38311, 38312",금속류 해체 및 선별업 외 1 종
1172,광동특장,충청남도 아산시 둔포면 운용길 8-11,"30201, 30202",차체 및 특장차 제조업 외 1 종
1173,광명산업(주),충청남도 아산시 영인면 토정로191번길 11,"30331, 30391, 30392, 30399, 30400",자동차용 신품 동력전달장치 제조업 외 4 종
1174,광명산업(주),충청남도 아산시 영인면 토정로 356-16,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1175,광명정밀,충청남도 아산시 배방읍 고불로 359 (대명기업) 외 1필지,"29294, ",주형 및 금형 제조업
1176,광성산업,충청남도 아산시 둔포면 산전길55번길 62 외 1필지,"30399, ",그 외 자동차용 신품 부품 제조업
1177,광은테크(주),충청남도 아산시 봉신로229번길 3 (둔포면),"25113, ",육상 금속 골조 구조재 제조업
1178,광일산업(주),충청남도 아산시 둔포면 윤보선로 403-41,"20499, 20495",그 외 기타 분류 안된 화학제품 제조업 외 1 종
1179,광진테크,충청남도 아산시 음봉면 연암율금로295번길 32-9,"29180, ",사무용 기계 및 장비 제조업
1180,광진테크(주),충청남도 아산시 음봉면 연암율금로295번길 42,"25932, ",일반철물 제조업
1181,구구철강,충청남도 아산시 둔포면 신남리 745-4,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
1182,구성정미소,충청남도 아산시 영인면 아산호로 477,"10611, ",곡물 도정업
1183,구암(주),충청남도 아산시 배방읍 수철리길 67-34 (구암주식회사) 외 2필지,"21300, 10612, 10743, 27199",의료용품 및 기타 의약 관련제품 제조업 외 3 종
1184,구암(주) 제1공장,충청남도 아산시 배방읍 수철리길 62 (㈜구암주식회사),"21300, 27199, 28519",의료용품 및 기타 의약 관련제품 제조업 외 2 종
1185,국림TIC,충청남도 아산시 음봉면 월산로201번길 60 (음봉면 산동리 73-3 공장 (국림TIC)) 외 1필지,"30399, ",그 외 자동차용 신품 부품 제조업
1186,국림피엔텍(주),충청남도 아산시 선장면 부엉산길 46,"10749, ",기타 식품 첨가물 제조업
1187,국일제지(주),"충청남도 아산시 시민로485번길 47 (온천동, KGP(주)) (총 2 필지)","17123, ",크라프트지 및 상자용 판지 제조업
1188,국제케이블,충청남도 아산시 음봉면 신의길 63-13 (국제케이블),"28302, ",기타 절연선 및 케이블 제조업
1189,국평알아이씨(주),"충청남도 아산시 신창면 순천향로 22, 순천향대학교 산학협동관 B518호","20499, 20495",그 외 기타 분류 안된 화학제품 제조업 외 1 종
1190,굴다리영어조합법인,충청남도 아산시 시민로 89 외 9필지,"10211, ","수산동물 훈제, 조리 및 유사 조제식품 제조업"
1191,그린식품,충청남도 아산시 온천대로 1265 (방축동),"10794, ",두부 및 유사식품 제조업
1192,그린윈텍(주),충청남도 아산시 연암산로 192 (음봉면),"25112, ",구조용 금속 판제품 및 공작물 제조업
1193,그린윈텍(주),충청남도 아산시 음봉면 연암율금로 237-24,"25112, ",구조용 금속 판제품 및 공작물 제조업
1194,그린촌 영농조합법인,충청남도 아산시 송악면 외암로 206 외 2필지,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업
1195,그린테크,충청남도 아산시 염치읍 서원길 145 외 6필지,"29173, ",산업용 송풍기 및 배기장치 제조업
1196,글로벌텍(주),충청남도 아산시 실옥로 146 (실옥동),"16232, ","목재 포장용 상자, 드럼 및 유사용기 제조업"
1197,글로비스(주),충청남도 아산시 인주면 인주산단로 75-60 (글로비스(주)),"25991, ",금속 캔 및 기타 포장용기 제조업
1198,글로텍 테크,충청남도 아산시 음봉면 월산로 158-15,"25929, ",그 외 기타 금속가공업
1199,금강기계공업(주),"충청남도 아산시 인주면 아산만로 1494-1, (문방리 산 29-1번지) 외 4필지","30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1200,금강씽크,충청남도 아산시 문화로 7 (방축동),"32021, ",주방용 및 음식점용 목재가구 제조업
1201,금강엔지니어링,충청남도 아산시 음봉면 음봉로 471-50,"29173, ",산업용 송풍기 및 배기장치 제조업
1202,금강종합중기,충청남도 아산시 신창면 순천향로 221-16 (총 2 필지) 외 1필지,"29241, ",건설 및 채광용 기계장비 제조업
1203,금강철강(주),충청남도 아산시 인주면 아산만로 1494 (아산만휴게소),"30391, ",자동차용 신품 조향장치 및 현가 장치 제조업
1204,금광석재,충청남도 아산시 선장면 가산남길 65,"26911, ",석재성형가공품제조업
1205,금광프라스틱산업,충청남도 아산시 남동 138-3번지,"22291, 22292",플라스틱 접착처리 제품 제조업 외 1 종
1206,금난,충청남도 아산시 영인면 신봉길 286,"10799, ",그 외 기타 식료품 제조업
1207,금성 씨.에스.피(주),충청남도 아산시 수장로25번길 50 (배미동),"24132, 22211, 24133",강관 제조업 외 2 종
1208,금성농산미곡처리장,충청남도 아산시 신창면 서부남로 668,"10611, ",곡물 도정업
1209,금성철강(주),충청남도 아산시 수장로25번길 50 (배미동),"24132, 24133",강관 제조업 외 1 종
1210,금영정밀,충청남도 아산시 둔포면 봉재길 38 (금영정밀) (총 2 필지) 외 1필지,"25924, ",절삭가공 및 유사처리업
1211,금오산업지그,충청남도 아산시 도고면 온천대로 479,"16299, ",그 외 기타 나무제품 제조업
1212,금자탑의료기,충청남도 아산시 인주면 현대로727번길 22,"28520, 29150",가정용 비전기식 조리 및 난방 기구 제조업 외 1 종
1213,금주천막산업,충청남도 아산시 영인면 토정샘로 10,"13224, ","천막, 텐트 및 유사 제품 제조업"
1214,금현산업(주) 아산지점,충청남도 아산시 둔포면 아산밸리로387번길 33,"24199, 25929",그 외 기타 1차 철강 제조업 외 1 종
1215,금현철강(주) 아산지점,충청남도 아산시 둔포면 아산밸리로387번길 33,"24199, 25929",그 외 기타 1차 철강 제조업 외 1 종
1216,금호석유화학(주),충청남도 아산시 신창면 온천대로 958 (총 14 필지),"20119, 20129, 20411",석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 2 종
1217,기도산업(주),충청남도 아산시 둔포면 염작리 287-10번지 외 1필지,"30393, 31202, 31322",자동차용 신품 의자 제조업 외 2 종
1218,기성에이알씨(주),충청남도 아산시 음봉면 연암산로 194,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1219,기현스틸(주),충청남도 아산시 영인면 신봉길232번길 120 외 2필지,"24199, ",그 외 기타 1차 철강 제조업
1220,꿀단지,"충청남도 아산시 인주면 영인산로 107, 101호","27215, 28302, 28909",기기용 자동측정 및 제어장치 제조업 외 2 종
1221,나노아이엔씨,충청남도 아산시 배방읍 호서로79번길 20 (호서대학교),"20132, ","염료, 조제 무기안료, 유연제 및 기타 착색제 제조업"
1222,나야산업,충청남도 아산시 영인면 토정로 87 외 1필지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1223,나이스텍(주),충청남도 아산시 인주면 인주로 197 ((주)나이스텍),"29199, 29171, 29172, 29176",그 외 기타 일반목적용 기계 제조업 외 3 종
1224,나이스텍(주) 2공장,충청남도 아산시 인주면 해암로 134,"29171, 29199",산업용 냉장 및 냉동 장비 제조업 외 1 종
1225,나이콘소재(주),충청남도 아산시 영인면 신봉길 154-11,"22211, 13999","플라스틱 선, 봉, 관 및 호스 제조업 외 1 종"
1226,남산산업,충청남도 아산시 신창면 서부북로 296,"28909, 25113",그 외 기타 전기장비 제조업 외 1 종
1227,남신제관(주),충청남도 아산시 신창면 서부남로790번길 66,"25991, ",금속 캔 및 기타 포장용기 제조업
1228,남아제관(주),충청남도 아산시 둔포면 봉신로230번길 46 (남아제관(주) 아산공장),"25991, ",금속 캔 및 기타 포장용기 제조업
1229,남양기계,충청남도 아산시 음봉면 월산로 125-4,"29169, ",기타 물품 취급장비 제조업
1230,남일수출포장,충청남도 아산시 음봉면 월암로 332-48,"16232, 16231","목재 포장용 상자, 드럼 및 유사용기 제조업 외 1 종"
1231,남일이엔지,충청남도 아산시 인주면 인주로 304-33,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
1232,내추럴초이스(주),"충청남도 아산시 고불로 354 (배방읍, 해주옥종합상사)","10309, ",기타 과실ㆍ채소 가공 및 저장 처리업
1233,농업회사 법인 금성농산합명회사,충청남도 아산시 신창면 서부남로 668 외 1필지,"10611, ",곡물 도정업
1234,농업회사법인 (유)둔포축산,충청남도 아산시 둔포면 아산밸리북로 11 외 2필지,"10129, ",육류 기타 가공 및 저장처리업 (가금류 제외)
1235,농업회사법인 (주)늘봄,충청남도 아산시 음봉면 산동리 663-3,"10122, 10309",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종
1236,농업회사법인 (주)부국물류,충청남도 아산시 선장면 서부북로 16 (선장미곡처리장),"10611, ",곡물 도정업
1237,농업회사법인 (주)씨비엠씨,"충청남도 아산시 신창면 순천향로 22, 산학관 206호","20423, ",화장품 제조업
1238,농업회사법인 (주)이지엠앤알,충청남도 아산시 연암율금로 142 (음봉면),"29199, 29176",그 외 기타 일반목적용 기계 제조업 외 1 종
1239,농업회사법인 (주)효성사료,충청남도 아산시 음봉면 신정리길 63,"10801, 10802",배합 사료 제조업 외 1 종
1240,농업회사법인 로가바이오 주식회사,충청남도 아산시 신정로 333-18 (초사동),"10802, ",단미 사료 및 기타 사료 제조업
1241,농업회사법인 소르젠골드(주),충청남도 아산시 신동길 118 (신동) 외 8필지,"10309, 10620",기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종
1242,농업회사법인 포에버(주),충청남도 아산시 신정로 295 (초사동) 외 2필지,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업
1243,농업회사법인(유)푸른들축산,"충청남도 아산시 송악면 송악로 430, 외1필지","10801, 10802",배합 사료 제조업 외 1 종
1244,농업회사법인(유)푸른들축산,충청남도 아산시 송악면 송악로 430 외 10필지,"10801, ",배합 사료 제조업
1245,농업회사법인(주) 청춘오가닉,충청남도 아산시 선장면 아산만로 845-14,"10742, ",천연 및 혼합조제 조미료 제조업
1246,농업회사법인(주)금산,충청남도 아산시 탕정면 갈산교로 95,"10129, 10122",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
1247,농업회사법인(주)네이쳐,충청남도 아산시 선장면 아산만로 845-28,"10309, 10212",기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종
1248,농업회사법인(주)다정성푸드,충청남도 아산시 둔포면 충무로 1693-6 외 1필지,"10713, ",과자류 및 코코아 제품 제조업
1249,농업회사법인(주)아주존,충청남도 아산시 둔포면 관용로 190-6,"10742, ",천연 및 혼합조제 조미료 제조업
1250,농업회사법인(주)코리아피트,충청남도 아산시 도고면 도고산로 104,"20313, ",유기질 비료 및 상토 제조업
1251,농업회사법인에미네천년초(주),"충청남도 아산시 순천향로 22 (신창면) 비517호, 비506호(순천향대학교 산학관 창업보육센터)","20422, ","치약, 비누 및 기타 세제 제조업"
1252,농업회사법인조원(주),충청남도 아산시 둔포면 운교길129번길 14-57,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종
1253,농업회사법인주식회사 색동김치,충청남도 아산시 신통길 16 -10(도고면),"10301, 10302",김치류 제조업 외 1 종
1254,농업회사법인주식회사영인산한우,충청남도 아산시 배방읍 갈산교로 42,"10122, ",육류 포장육 및 냉동육 가공업 (가금류 제외)
1255,뉴우진,충청남도 아산시 염치읍 충무로 215-2,"30331, 30391, 30392, 30399",자동차용 신품 동력전달장치 제조업 외 3 종
1256,뉴텍코리아(주),충청남도 아산시 둔포면 아산밸리로 85,"25992, ",수동식 식품 가공기기 및 금속 주방용기 제조업
1257,다산ENG,충청남도 아산시 음봉면 월산로201번길 6,"28123, ",배전반 및 전기 자동제어반 제조업
1258,다성산업(주),충청남도 아산시 음봉면 연암율금로 395,"29280, ",산업용 로봇 제조업
1259,다온메카(주),충청남도 아산시 연암율금로 165 -14(음봉면),"28123, ",배전반 및 전기 자동제어반 제조업
1260,다원텍(주),충청남도 아산시 신창면 서부북로682번길 30-2 외 1필지,"25122, 25123",금속탱크 및 저장용기 제조업 외 1 종
1261,다음전선 주식회사,충청남도 아산시 선장면 아산만로 592-18 (제2동),"28302, ",기타 절연선 및 케이블 제조업
1262,다음전선(주) (2공장),충청남도 아산시 도고면 온천대로 558-9,"28302, ",기타 절연선 및 케이블 제조업
1263,다이이치시설공업(주) 한국지사,"충청남도 아산시 탕정면 용머리길 16,  1동 3층 313호 외 1필지","28111, ",전동기 및 발전기 제조업
1264,다이이치코리아 주식회사,충청남도 아산시 음봉면 월산로 213,"29169, ",기타 물품 취급장비 제조업
1265,다일산업(주),충청남도 아산시 선장면 서부남로172번길 54,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
1266,다존에이스(주) 아산지점,충청남도 아산시 영인면 영인로202번길 61-36,"29172, ",공기 조화장치 제조업
1267,대건정밀,충청남도 아산시 둔포면 운용길 15,"29142, ",기어 및 동력전달장치 제조업
1268,대건테크,충청남도 아산시 영인면 윤보선로248번길 16 (총 2 필지) 외 1필지,"30399, ",그 외 자동차용 신품 부품 제조업
1269,대광공업,충청남도 아산시 배방읍 봉강천로 29 (배방읍),"25113, ",육상 금속 골조 구조재 제조업
1270,대광공업,충청남도 아산시 배방읍 고불로365번길 55-15,"25113, ",육상 금속 골조 구조재 제조업
1271,대기산업,충청남도 아산시 둔포면 아산호로840번길 116-10,"29172, ",공기 조화장치 제조업
1272,대농코리아,충청남도 아산시 둔포면 아산밸리로 142,"10741, 10749, 20422","식초, 발효 및 화학 조미료 제조업 외 2 종"
1273,대동공업사,충청남도 아산시 배방읍 중리길 35 (대동공업사) 외 2필지,"29241, ",건설 및 채광용 기계장비 제조업
1274,대동공영(주),충청남도 아산시 온천대로1122번길 36-3 (득산동),"20202, ",합성수지 및 기타 플라스틱 물질 제조업
1275,대동산업 주식회사,충청남도 아산시 신창면 서부남로667번길 40-7,"22299, ",그 외 기타 플라스틱 제품 제조업
1276,대동수출산업,충청남도 아산시 음봉면 음봉로383번길 42 외 1필지,"16231, ",목재 깔판류 및 기타 적재판 제조업
1277,대륜테크,충청남도 아산시 음봉면 산동리 896,"26129, ",기타 반도체소자 제조업
1278,대림테크(주),충청남도 아산시 둔포면 이화서길 73-21,"29294, ",주형 및 금형 제조업
1279,대림피이(주),충청남도 아산시 염치로 115 (염치읍) 외 1필지,"22299, ",그 외 기타 플라스틱 제품 제조업
1280,대명SM테크,충청남도 아산시 음봉면 산동로 293-10,"29271, ",반도체 제조용 기계 제조업
1281,대명시스템솔루션(주),충청남도 아산시 둔포면 관대길 90-19,"28123, ",배전반 및 전기 자동제어반 제조업
1282,대명포장,충청남도 아산시 신창면 서부남로 563,"17222, ",판지 상자 및 용기 제조업
1283,대보산업(주),충청남도 아산시 신창면 행목로192번길 43-16,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업"
1284,대상테크,충청남도 아산시 염치읍 쌍죽길 100 (총 2 필지) 외 1필지,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종
1285,대선제분(주),충청남도 아산시 영인면 아산호로 680,"10612, ",곡물 제분업
1286,대성,충청남도 아산시 음봉면 연암율금로 186,"29271, ",반도체 제조용 기계 제조업
1287,대성상사,충청남도 아산시 인주면 인주로 356 (대성상사),"16102, ",표면 가공 목재 및 특정 목적용 제재목 제조업
1288,대성수지,충청남도 아산시 둔포면 이화동길33번길 16 (총 2 필지) 외 1필지,"38321, 38322",비금속류 해체 및 선별업 외 1 종
1289,대세산업(주),충청남도 아산시 음봉면 산동로 332,"25991, ",금속 캔 및 기타 포장용기 제조업
1290,대신산업,충청남도 아산시 선장면 서부남로 211,"25991, ",금속 캔 및 기타 포장용기 제조업
1291,대신퍼니처,충청남도 아산시 음봉면 월암로 160,"32029, ",기타 목재가구 제조업
1292,대아산업,충청남도 아산시 둔포면 아산밸리중앙로 154-47,"25924, ",절삭가공 및 유사처리업
1293,대아이앤씨(주),충청남도 아산시 음봉면 월산로 128-88,"22299, 25929",그 외 기타 플라스틱 제품 제조업 외 1 종
1294,대연인터내셔널(주),충청남도 아산시 음봉면 월암로 306,"24199, ",그 외 기타 1차 철강 제조업
1295,대영금형정공사,충청남도 아산시 영인면 토정로 356-13,"22299, 25929",그 외 기타 플라스틱 제품 제조업 외 1 종
1296,대우지게차물류,"충청남도 아산시 신창면 학성로 88, 대우지게차물류(주)","29241, ",건설 및 채광용 기계장비 제조업
1297,대운ENG,충청남도 아산시 월산로 136 -3(음봉면),"26299, ",그 외 기타 전자부품 제조업
1298,대원정보통신(주),"충청남도 아산시 호서로79번길 20 (배방읍, 호서대학교) 호서벤처밸리 301호","26329, 26421",기타 주변기기 제조업 외 1 종
1299,대원캐미칼,충청남도 아산시 도고면 벚꽃로708번길 56,"38321, 38322",비금속류 해체 및 선별업 외 1 종
1300,대인시스템,충청남도 아산시 신창면 서부북로359번길 60,"10801, 10802",배합 사료 제조업 외 1 종
1301,대일엠티에스(주),충청남도 아산시 인주면 현대로 776-46 ((주)제영솔루텍),"29294, ",주형 및 금형 제조업
1302,대일정공(주),충청남도 아산시 둔포면 아산밸리로387번길 7,"29294, 30391, 30392, 30399, 30400",주형 및 금형 제조업 외 4 종
1303,대일푸리기계(주),충청남도 아산시 둔포면 아산밸리로405번길 13,"29142, ",기어 및 동력전달장치 제조업
1304,대진금속(주),충청남도 아산시 서부남로 150 -36(선장면),"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업
1305,대진금속(주) 아산지점,충청남도 아산시 선장면 서부남로 150-17,"25119, ",기타 구조용 금속제품 제조업
1306,대진산업(주),충청남도 아산시 음봉면 음봉로681번길 60,"22212, 22213",플라스틱 필름 제조업 외 1 종
1307,대진전장(주),충청남도 아산시 음봉면 연암율금로 237-6 ((주)한남메디팜),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1308,대청진공엔지니어링,충청남도 아산시 음봉면 월랑길 32-33,"25122, 25123, 26121, 26129, 27213",금속탱크 및 저장용기 제조업 외 4 종
1309,대한냉열공업(주),충청남도 아산시 음봉면 연암율금로 237-43 (대한냉열),"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
1310,대한수지,충청남도 아산시 둔포면 이화서길 11,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업
1311,대한전기,충청남도 아산시 음봉면 음봉로447번길 11,"28111, ",전동기 및 발전기 제조업
1312,대협철강(주),충청남도 아산시 영인면 영인로202번길 61-14 외 2필지,"24121, 24122",열간 압연 및 압출 제품 제조업 외 1 종
1313,대호물류산업(주),충청남도 아산시 영인면 윤보선로 67,"16231, ",목재 깔판류 및 기타 적재판 제조업
1314,대호미크론,충청남도 아산시 영인면 영인로 188,"29294, ",주형 및 금형 제조업
1315,대홍케미칼(주),충청남도 아산시 탕정면 명암리 672-11번지,"22212, 22213",플라스틱 필름 제조업 외 1 종
1316,대흥박스,충청남도 아산시 영인면 신현로23번길 64-1 (대흥박스),"17211, 17212",골판지 제조업 외 1 종
1317,대흥산업,"충청남도 아산시 선장면 아산만로 766, 외1필지","22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종
1318,더영메디(주),"충청남도 아산시 신창면 순천향로 22, 산학협력관 B504호","27199, ",그 외 기타 의료용 기기 제조업
1319,더진철강(주),충청남도 아산시 둔포면 아산밸리로387번길 33,"24199, ",그 외 기타 1차 철강 제조업
1320,덕산메카시스(주),"충청남도 아산시 탕정면 용머리길 10,  1동 6층 603호","28123, 26329",배전반 및 전기 자동제어반 제조업 외 1 종
1321,덕성,충청남도 아산시 장영실로 860 (영인면),"24199, ",그 외 기타 1차 철강 제조업
1322,덕성엠텍(주),충청남도 아산시 둔포면 이화서길 55-28,"29163, 29169",컨베이어장치 제조업 외 1 종
1323,덕성인더스트리(주),충청남도 아산시 둔포면 아산밸리로 303,"25913, 25914",자동차용 금속 압형제품 제조업 외 1 종
1324,덕성자원개발(주),충청남도 아산시 염치읍 아산로710번길 86-6,"23993, ",비금속광물 분쇄물 생산업
1325,덕원상사(주),충청남도 아산시 도고면 금산리 159-12 외 1필지,"20202, ",합성수지 및 기타 플라스틱 물질 제조업
1326,덕인금속(주),충청남도 아산시 음봉면 연암산로 192 (음봉면),"25112, 25923",구조용 금속 판제품 및 공작물 제조업 외 1 종
1327,덕진(DJ)테크,충청남도 아산시 연암율금로295번길 102 (음봉면),"25942, ",그 외 금속파스너 및 나사제품 제조업
1328,데코리아제과(주),충청남도 아산시 신창면 행목로192번길 46,"10713, 10619",과자류 및 코코아 제품 제조업 외 1 종
1329,도시미를담다(주),충청남도 아산시 영인면 아산온천로 16-29,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업
1330,도양테크,충청남도 아산시 음봉면 산동로 246-83,"29280, ",산업용 로봇 제조업
1331,도일테크,충청남도 아산시 음봉면 연암산로 178,"25119, ",기타 구조용 금속제품 제조업
1332,도화(DOWHA),충청남도 아산시 둔포면 아산밸리로 96,"26129, 26112, 26299, 29271, 30399",기타 반도체소자 제조업 외 4 종
1333,동광산업사,충청남도 아산시 탕정면 탕정면로 350-47 (동림산업),"22299, ",그 외 기타 플라스틱 제품 제조업
1334,동남식품,충청남도 아산시 음봉면 월랑리 224-4번지,"10792, ",차류 가공업
1335,동도산업(주),충청남도 아산시 염치읍 아산로671번길 10 (총 2 필지) 외 1필지,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
1336,동도산업(주),충청남도 아산시 선장면 아산만로 435,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
1337,동명산기,충청남도 아산시 둔포면 장영실로 1079-2,"29241, 34011",건설 및 채광용 기계장비 제조업 외 1 종
1338,동명산업,충청남도 아산시 서부남로667번길 38 -1(신창면),"30399, ",그 외 자동차용 신품 부품 제조업
1339,동명중전기(주),충청남도 아산시 음봉면 월암로 265-8,"28123, ",배전반 및 전기 자동제어반 제조업
1340,동보테크(주),충청남도 아산시 음봉면 관용로 278 외 2필지,"29171, ",산업용 냉장 및 냉동 장비 제조업
1341,동보테크(주) 2공장,충청남도 아산시 음봉면 관용로 328-13,"30399, ",그 외 자동차용 신품 부품 제조업
1342,동부목재,충청남도 아산시 선장면 아산만로 845-65,"16101, 16102",일반 제재업 외 1 종
