순번,회사명,공장대표주소(도로명),업종번호,업종명
57,(주)귀뚜라미 범양냉방 아산지점,충청남도 아산시 탕정면 음봉로 850 ((주)귀뚜라미 센추리) (총 16 필지),"29172, 29171, 29173, 29175",공기 조화장치 제조업 외 3 종
58,(주)귀뚜라미 아산제2공장,충청남도 아산시 탕정면 음봉로 850 ((주)귀뚜라미 센추리) (총 16 필지) 외 15필지,"22211, 29172","플라스틱 선, 봉, 관 및 호스 제조업 외 1 종"
59,(주)그랭이,충청남도 아산시 음봉면 월산로 100-5,"25112, ",구조용 금속 판제품 및 공작물 제조업
60,(주)그린라이프,충청남도 아산시 음봉면 산동로 321-9,"13229, 13999",기타 직물제품 제조업 외 1 종
61,(주)그린아산,충청남도 아산시 둔포면 송용리 273-1 외 3필지,"10802, ",단미 사료 및 기타 사료 제조업
62,(주)그린아산 제2공장,충청남도 아산시 둔포면 송용리 273-5,"10802, ",단미 사료 및 기타 사료 제조업
63,(주)그린킵스,충청남도 아산시 영인면 토정로 152-11,"29175, 25122, 25123, 25992, 29250",액체 여과기 제조업 외 4 종
64,(주)글로벌소재,충청남도 아산시 음봉면 월산로 168-4,"26299, 26323",그 외 기타 전자부품 제조업 외 1 종
65,(주)글로벌테크놀로지,충청남도 아산시 음봉면 월암로436번길 96-7,"28123, ",배전반 및 전기 자동제어반 제조업
66,(주)글로텍,"충청남도 아산시 배방읍 호서로79번길 20, 호서대산학협동관 4호관 101,103","26121, 26129",발광 다이오드 제조업 외 1 종
67,(주)글로텍2공장,"충청남도 아산시 배방읍 호서로79번길 20, 벤처산학협력관 601호","27199, ",그 외 기타 의료용 기기 제조업
68,(주)금강파워텍,충청남도 아산시 둔포면 윤보선로248번길 62-34,"28123, ",배전반 및 전기 자동제어반 제조업
69,(주)금광티엘씨,충청남도 아산시 실옥동 250번지,"32011, 16101",매트리스 및 침대 제조업 외 1 종
70,(주)금비,충청남도 아산시 실옥로 156 (실옥동),"23192, ",포장용 유리용기 제조업
71,(주)금비비앤피,충청남도 아산시 실옥로 156 (실옥동),"22232, ",포장용 플라스틱 성형용기 제조업
72,(주)금성인슈텍,충청남도 아산시 인주면 인주산단로 75-80,"25112, 22251, 22259",구조용 금속 판제품 및 공작물 제조업 외 2 종
73,(주)금오,충청남도 아산시 무궁화로52번길 7 (초사동),"23999, ",그 외 기타 분류 안된 비금속 광물제품 제조업
74,(주)기근산업,충청남도 아산시 둔포면 윤보선로475번길 16-16,"32021, 16231",주방용 및 음식점용 목재가구 제조업 외 1 종
75,(주)기근산업 제2공장,충청남도 아산시 둔포면 윤보선로 481,"20202, ",합성수지 및 기타 플라스틱 물질 제조업
76,(주)기승이엔지,충청남도 아산시 음봉면 쌍암리 26-27,"29271, ",반도체 제조용 기계 제조업
77,(주)기전모터,충청남도 아산시 음봉면 음봉로338번길 7,"34020, ",전기.전자 및 정밀기기 수리업
78,(주)꿈해비타트,"충청남도 아산시 신창면 읍내남길 9, 1층, 2층","10751, 10759",도시락류 제조업 외 1 종
79,(주)나노에이스,충청남도 아산시 둔포면 아산밸리로 87-1,"25924, ",절삭가공 및 유사처리업
80,(주)나노텍,충청남도 아산시 영인면 신봉리 831-7번지 외 1필지,"25929, ",그 외 기타 금속가공업
81,(주)나디스,"충청남도 아산시 신창면 순천향로 22, 순천향대학교 421호 외 1필지","26299, 26295",그 외 기타 전자부품 제조업 외 1 종
82,(주)나라켐,충청남도 아산시 음봉면 월산로201번길 6-23,"22299, 22191, 22192",그 외 기타 플라스틱 제품 제조업 외 2 종
