순번,회사명,대표업종차수,대표업종번호,업종번호,업종명,시도,시군구,사업유형,남종업원,여종업원,외국인(남),외국인(여),종업원수
12722,진성빌드,11,25113,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,당진시,제조업,5,,,,5
12723,진성씨에스(주),9,32011,"32011, ",운송장비용 의자 제조업,충청남도,천안시 서북구,제조업,9,1,0,0,10
12724,진성엔프라(주),11,29293,"29293, ",주형 및 금형 제조업,충청남도,천안시 서북구,제조업,6,2,4,0,12
12725,진성전기,11,28410,"28410, 28119, 28422, 28423",전구 및 램프 제조업 외 3 종,충청남도,공주시,제조업,2,,0,0,2
12726,진성코리아 주식회사,11,13225,"13225, ",직물포대 제조업,충청남도,아산시,제조업,2,0,0,0,2
12727,진성트레일러,11,29210,"29210, ",농업 및 임업용 기계 제조업,충청남도,금산군,제조업,2,0,,,2
12728,진성푸드텍,11,10832,"10832, ",천연 및 혼합조제 조미료 제조업,충청남도,금산군,제조업,,,,,0
12729,진소프트,11,28121,"28121, 28909","전기회로 개폐, 보호장치 제조업 외 1 종",충청남도,천안시 동남구,제조업,2,4,0,0,6
12730,진솔미코리아,11,10901,"10901, 10902, 10903",반려동물용 사료 제조업 외 2 종,충청남도,예산군,제조업,1,0,0,0,1
12731,진수동,11,18119,"18119, 18113",기타 인쇄업 외 1 종,충청남도,천안시 동남구,제조업,5,,,,5
12732,진수산업,11,20202,"20202, ",합성수지 및 기타 플라스틱 물질 제조업,충청남도,천안시 동남구,제조업,5,2,0,0,7
12733,진수산업(주),11,22211,"22211, ","플라스틱 선, 봉, 관 및 호스 제조업",충청남도,천안시 동남구,제조업,10,0,0,0,10
12734,진아대리석공업(주),8,26911,"26911, ",석재성형가공품제조업,충청남도,천안시 서북구,제조업,2,2,0,0,4
12735,진아산업,11,30331,"30331, 30400",자동차용 신품 동력전달장치 제조업 외 1 종,충청남도,천안시 서북구,제조업,1,2,0,0,3
12736,진안식품,11,10301,"10301, 10302",김치류 제조업 외 1 종,충청남도,부여군,제조업,3,1,0,0,4
12737,진양(주),8,30013,"30013, ",컴퓨터입·출력장치및기타주변기기제조업,충청남도,천안시 동남구,제조업,7,5,0,0,12
12738,진양산업(주),11,30399,"30399, 29293",그 외 자동차용 신품 부품 제조업 외 1 종,충청남도,아산시,제조업,,,,,0
12739,진양석재,11,23911,"23911, 23919",건설용 석제품 제조업 외 1 종,충청남도,보령시,제조업,1,0,0,0,1
12740,진영산기,11,25932,"25932, ",일반철물 제조업,충청남도,당진시,제조업,5,,,,5
12741,진영산업(주),11,29293,"29293, 30391, 30392, 30399, 30400",주형 및 금형 제조업 외 4 종,충청남도,서산시,제조업,40,4,,,44
12742,진영석재(주),11,23919,"23919, ",기타 석제품 제조업,충청남도,예산군,제조업,7,1,0,0,8
12743,진영화학,11,20203,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업,충청남도,천안시 서북구,제조업,,,,,0
12744,진용정공(주),11,29142,"29142, ",기어 및 동력전달장치 제조업,충청남도,당진시,제조업,23,2,0,0,25
12745,진우리산업(주),,,", ",,충청남도,천안시 동남구,제조업,1,0,0,0,1
12746,진우산업,11,16300,"16300, ",코르크 및 조물제품 제조업,충청남도,금산군,제조업,1,1,0,0,2
12747,진우산업,11,25992,"25992, ",수동식 식품 가공기기 및 금속 주방용기 제조업,충청남도,금산군,제조업,6,,,,6
12748,진우산업개발,11,20499,"20499, 21301",그 외 기타 분류 안된 화학제품 제조업 외 1 종,충청남도,천안시 동남구,제조업,12,3,0,0,15
12749,진우식품,11,10895,"10895, ",인삼식품 제조업,충청남도,금산군,제조업,3,2,,,5
12750,진우약품(주),11,21230,"21230, 10901, 10902, 10903",동물용 의약품 제조업 외 3 종,충청남도,예산군,제조업,18,15,0,0,33
12751,진우테크,11,22211,"22211, 22212, 22213","플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",충청남도,천안시 서북구,제조업,7,0,0,0,7
12752,진우테크,11,22223,"22223, ",플라스틱 창호 제조업,충청남도,논산시,제조업,9,1,,,10
12753,진우통신(주),11,26410,"26410, ",유선 통신장비 제조업,충청남도,천안시 동남구,제조업,38,42,0,0,80
12754,진이엔지(주),11,25934,"25934, 30399",톱 및 호환성 공구 제조업 외 1 종,충청남도,천안시 서북구,제조업,5,,,,5
12755,진일금속,11,25912,"25912, ",금속 단조제품 제조업,충청남도,당진시,제조업,2,2,,,4
12756,진일수산,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,서천군,제조업,2,3,2,3,10
12757,진일수산,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,서천군,제조업,6,6,0,0,12
12758,진정밀,11,25999,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업,충청남도,아산시,제조업,3,2,0,0,5
12759,진죽한과영농조합법인,11,10519,"10519, ",기타 곡물 가공품 제조업,충청남도,홍성군,제조업,5,,,,5
12760,진코텍(주),11,21301,"21301, 21309",체외 진단 시약 제조업 외 1 종,충청남도,천안시 동남구,제조업,3,0,0,0,3
12761,진테크,11,29271,"29271, ",반도체 제조용 기계 제조업,충청남도,천안시 동남구,제조업,13,2,0,0,15
