순번,회사명,대표자명,공장대표주소(도로명),업종명
146,동진컴퍼니,황찬기,"부산광역시 금정구 서동중심로 42, 2층 (서동)","근무복, 작업복 및 유사의복 제조업 외 13 종"
147,동창셔터금속,이형민,부산광역시 금정구 공단로 68-33(금사동),"금속 문, 창, 셔터 및 관련제품 제조업"
148,디에이치파워주식회사,김덕미,부산광역시 금정구 개좌로 198-1 (회동동),배전반 및 전기 자동제어반 제조업 외 4 종
149,라이즈테크디아이디(RISETECHDID),장원진,"부산광역시 금정구 반송로 489, 1층 (금사동)",전시 및 광고용 조명장치 제조업
150,맥디자인산업,우방훈,부산광역시 금정구 서동로 57 (부곡동),간판 및 광고물 제조업
151,명성어패럴 금사공장,이창훈,"부산광역시 금정구 공단로50번길 23 (금사동) 1,2층",기타 직물제품 제조업
152,백두장갑,신현범,부산광역시 금정구 서곡로20번길 6 (서동),그 외 기타 분류 안된 섬유제품 제조업
153,범용명판,김동권,부산광역시 금정구 노포사송로 18 (노포동),스크린 인쇄업 외 2 종
154,보성선박전자장비(주),이전매리,부산광역시 금정구 중앙대로2001번길 57 (남산동),기타 무선 통신장비 제조업 외 1 종
155,부광몰드시스템,전영자,부산광역시 금정구 동천로7번길 62-31 (회동동),포장용 플라스틱 성형용기 제조업
156,부광정밀,변충구,부산광역시 금정구 개좌로 51-1 (금사동),주철관 제조업
157,부광통신(주),김경미,부산광역시 금정구 구서중앙로 42(구서동),방송장비 제조업 외 2 종
158,부산경남봉제산업협동조합,김윤호,부산광역시 금정구 옥봉로8번길 16(서동),"근무복, 작업복 및 유사의복 제조업 외 12 종"
159,부산광역시(건설안전시험사업소),부산광역시장,부산광역시 금정구 회동동 산 42-1,아스팔트 콘크리트 및 혼합제품 제조업
160,부산산성양조,김기헌,부산광역시 금정구 중앙대로1685번길 25 (부곡동),탁주 및 약주 제조업
161,부산펀칭,박대성,"부산광역시 금정구 반송로 469 (금사동, 부산직물공업사)",자동차 엔진용 신품 부품 제조업 외 5 종
162,부성테크,박영춘,"부산광역시 금정구 동천로 23 (회동동, 개성염색(I)) (총 2 필지)",자동차 엔진용 신품 부품 제조업 외 15 종
163,블랙테크,윤종기,부산광역시 금정구 개좌로 55-9 (금사동),감광재료 및 관련 화학제품 제조업
164,산성누룩,김영대,부산광역시 금정구 중리2길 16 (금성동),기타 식품 첨가물 제조업
165,삼아기계,송영섭,부산광역시 금정구 반송로490번길 37 (금사동) (총 2 필지) 외 1필지,금속 절삭기계 제조업
166,삼아정밀금형,박철기,"부산광역시 금정구 공단로61번길 9 (금사동, 삼아정밀금형)",주형 및 금형 제조업
167,삼양섬유공업사,박기대,부산광역시 금정구 동천로7번길 21 (회동동),모 방적업
168,삼원우의산업,"이귀화, 옥치돈",부산광역시 금정구 구서로 12 (구서동),"천막, 텐트 및 유사 제품 제조업 외 7 종"
169,삼익파워텍,최동식,부산광역시 금정구 동천로7번길 48-12 (회동동),배전반 및 전기 자동제어반 제조업 외 1 종
170,삼일테크,이승화,부산광역시 금정구 개좌로 67 (금사동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
