산업분류,연제구 사업체수,연제구 종사자수,거제1동 사업체수,거제1동 종사자수,거제2동 사업체수,거제2동 종사자수,거제3동 사업체수,거제3동 종사자수,거제4동 사업체수,거제4동 종사자수,연산1동 사업체수,연산1동 종사자수,연산2동 사업체수,연산2동 종사자수,연산3동 사업체수,연산3동 종사자수,연산4동 사업체수,연산4동 종사자수,연산5동 사업체수,연산5동 종사자수,연산6동 사업체수,연산6동 종사자수,연산8동 사업체수,연산8동 종사자수,연산9동 사업체수,연산9동 종사자수
 241.1차 철강 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 242.1차 비철금속 제조업,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0
 243.금속 주조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 25.금속가공제품 제조업; 기계 및 가구 제외,63,133,10,21,1,X,2,X,3,4,3,3,3,3,2,X,9,10,3,4,5,6,12,27,10,47
" 251.구조용 금속제품, 탱크 및 증기발생기 제조업",41,62,4,6,0,0,2,X,1,X,0,0,2,X,1,X,6,6,3,4,5,6,11,26,6,7
 252.무기 및 총포탄 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 259.기타 금속 가공제품 제조업,22,71,6,15,1,X,0,0,2,X,3,3,1,X,1,X,3,4,0,0,0,0,1,X,4,40
" 26.전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",16,80,3,32,0,0,2,X,0,0,1,X,2,X,0,0,0,0,1,X,1,X,2,X,4,13
 261.반도체 제조업,2,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,X
 262.전자부품 제조업,4,6,1,X,0,0,0,0,0,0,0,0,1,X,0,0,0,0,1,X,0,0,0,0,1,X
 263.컴퓨터 및 주변장치 제조업,1,X,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 264.통신 및 방송 장비 제조업,6,54,1,X,0,0,1,X,0,0,1,X,0,0,0,0,0,0,0,0,0,0,2,X,1,X
 265.영상 및 음향기기 제조업,3,15,0,0,0,0,1,X,0,0,0,0,1,X,0,0,0,0,0,0,1,X,0,0,0,0
 266.마그네틱 및 광학 매체 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" 27.의료, 정밀, 광학기기 및 시계 제조업",58,184,5,10,0,0,13,80,1,X,3,6,5,6,3,3,7,9,5,17,6,14,6,13,4,16
 271.의료용 기기 제조업,54,174,3,6,0,0,13,80,1,X,3,6,5,6,3,3,7,9,5,17,5,11,5,10,4,16
