title,description,link,pubDate
[AI핫이슈] 진화하는 SW요금제...中 AI 기업 전략 수정,"ㆍ오라클 넷스위트, MCP앱 출시...챗GPT·클로드와 ERP 데이터 연동 <b>앤트로픽</b>이 클로드 프로, 클로드 맥스... <b>앤트로픽</b>은 AI 바이오테크 스타트업 코에피션트 바이오(Coefficient Bio)도 4억달러 규모에 인수했다는... ",https://www.digitaltoday.co.kr/news/articleView.html?idxno=653682,"Mon, 06 Apr 2026 07:30:00 +0900"
"美정부와 갈등빚는 <b>앤트로픽</b>, 자체 정치자금 슈퍼팩 ‘앤트로팩’ 설립...",중간선거 앞두고 美기술업계 이해 대변하는 자금 정치권에 몰리는중 인공지능(AI) 기업 <b>앤트로픽</b> 로고와 미 전쟁부(국방부). [로이터] 미국 정부와 소송전을 벌이고 있는 인공지능(AI) 기업 <b>앤트로픽</b>이 자체 정치자금... ,https://n.news.naver.com/mnews/article/016/0002624990?sid=104,"Mon, 06 Apr 2026 07:16:00 +0900"
"'미 정부 갈등' <b>앤트로픽</b>, 자체 정치자금 슈퍼팩 설립",미국 정부와 소송전을 벌이고 있는 인공지능(AI) 기업 <b>앤트로픽</b>이 자체 정치자금 모금 기관인 슈퍼팩(특별정치활동위원회)을 설립했습니다. 현지 시간 5일 미국 연방선거위원회(FEC)에 따르면 <b>앤트로픽</b>은 자체 슈퍼팩인... ,https://n.news.naver.com/mnews/article/422/0000851859?sid=104,"Mon, 06 Apr 2026 06:29:00 +0900"
"[외신 헤드라인] 英, 트럼프와 삐걱대는 <b>앤트로픽</b>에 '러브콜'","◇ 英, 트럼프와 삐걱대는 <b>앤트로픽</b>에 '러브콜' 올해 IPO 시장 복병으로 꼽히는 <b>앤트로픽</b> 소식부터 보죠. 이란 전쟁을 기점으로 트럼프 행정부와 갈등을 빚으면서, 미 국방부 파트너 자리도 잃고 관계가 삐걱거리자, 영국이... ",https://n.news.naver.com/mnews/article/374/0000502385?sid=104,"Mon, 06 Apr 2026 06:23:00 +0900"
서울대 전기 출신 투자 고수 “터보퀀트? 삼성전자·하이닉스 수요 영향...,"◇<b>앤트로픽</b>, 오픈AI보다 수익화 압도적&quot; 최근 오픈AI(챗GPT)와 <b>앤트로픽</b>(클로드)의 상장이 준비 중인 상황에서 홍 대표는 “<b>앤트로픽</b>이 명백하게 오픈AI보다 수익화가 잘 되고 있다. 비교의 여지도 없다”고 말했다.... ",https://n.news.naver.com/mnews/article/023/0003969049?sid=101,"Mon, 06 Apr 2026 05:31:00 +0900"
[글로벌 비즈 브리핑] &quot;전쟁으로 번 돈 토해라&quot;…EU 횡재세 만지작 外,"한 눈에 보는 해외 경제 이슈 ▲英, 트럼프와 삐걱대는 <b>앤트로픽</b>에 '러브콜' ▲오픈AI, IPO 앞두고 임원진... 美 제재 뚫고 실적파티 英, 트럼프와 삐걱대는 <b>앤트로픽</b>에 '러브콜' 영국 정부와 런던시가 미국 국방부와... ",https://n.news.naver.com/mnews/article/374/0000502367?sid=104,"Mon, 06 Apr 2026 04:50:00 +0900"
스페이스X IPO 참여하려면 '그록' 구독해야…머스크 '끼워팔기',"오픈AI의 챗GPT와 <b>앤트로픽</b>의 클로드, 구글의 제미나이에 밀려 인공지능 챗봇 시장에서 4위에 머물고 있습니다. 복수의 소식통에 따르면 머스크 최고경영자(CEO)가 은행들에 그록 구독권 구매를 강력히 요구했으며... ",https://n.news.naver.com/mnews/article/374/0000502363?sid=104,"Mon, 06 Apr 2026 04:33:00 +0900"
"英, 트럼프와 삐걱대는 <b>앤트로픽</b>에 '러브콜'",<b>앤트로픽</b>의 영국 내 확장을 유치하기 위해 힘쓰고 있다고 영국 일간 파이낸셜타임스(FT)가 4일(현지시간) 보도했습니다. 소식통에 따르면 영국 과학혁신기술부(DSIT) 직원들은 미국 샌프란시스코에 본사를 둔 <b>앤트로픽</b>을... ,https://n.news.naver.com/mnews/article/374/0000502361?sid=104,"Mon, 06 Apr 2026 04:30:00 +0900"
"‘미국 정부와 갈등’ <b>앤트로픽</b>, 자체 정치자금 슈퍼팩 ‘앤트로팩’ 설...",미국 정부와 소송전을 벌이고 있는 인공지능(AI) 기업 <b>앤트로픽</b>이 자체 정치자금 모금 기관인 슈퍼팩(SuperPAC·특별정치활동위원회)을 설립했습니다. 미국 연방선거위원회에 따르면 <b>앤트로픽</b>은 자체 슈퍼팩인 '앤트로팩... ,https://n.news.naver.com/mnews/article/056/0012156084?sid=104,"Mon, 06 Apr 2026 03:53:00 +0900"
"'트럼프 행정부와 갈등' <b>앤트로픽</b>, 자체 정치 자금 슈퍼팩 '앤트로팩' 설...","트럼프 행정부와 소송전을 벌이고 있는 인공지능, AI 기업 <b>앤트로픽</b>이 자체 정치 자금 모금 기관인 슈퍼팩, 특별 정치 활동 위원회를 설립했습니다. 미국 연방선거위원회는 <b>앤트로픽</b>이 자체 슈퍼팩인 '앤트로팩'의 설립... ",https://n.news.naver.com/mnews/article/052/0002336729?sid=104,"Mon, 06 Apr 2026 03:50:00 +0900"
"'美정부 갈등' <b>앤트로픽</b>, 자체 정치자금 슈퍼팩 '앤트로팩' 설립",기업 <b>앤트로픽</b>이 자체 정치자금 모금 기관인 슈퍼팩(SuperPAC·특별정치활동위원회)을 설립했다. 5일(현지시간) 미국 연방선거위원회(FEC)에 따르면 <b>앤트로픽</b>은 자체 슈퍼팩인 '앤트로팩'(AnthroPAC)의 설립 신고서를 3일... ,https://n.news.naver.com/mnews/article/001/0016003694?sid=104,"Mon, 06 Apr 2026 02:14:00 +0900"
아태에 돈 쏟아붓는 빅테크… 中견제·시장 선점 ‘다목적 포석’,<b>앤트로픽</b>은 호주를 아태지역 진출 발판으로 삼았다. 지난 1일 호주 정부와 AI 개발·안전 사용 협력을 위한 업무협약(MOU)을 체결한 <b>앤트로픽</b>은 시드니 사무소를 개설하고 현지 데이터 센터·에너지 인프라 투자 등을... ,https://n.news.naver.com/mnews/article/005/0001841338?sid=101,"Mon, 06 Apr 2026 00:28:00 +0900"
"미국에 찍힌 <b>앤트로픽</b>…영국, 런던 확장·이중상장 '러브콜'",미국 국방부와 갈등을 빚는 인공지능(AI) 기업 <b>앤트로픽</b>을 영국 정부와 런던시가 점찍었다. 미 국방부가 <b>앤트로픽</b>을 공급망 위험 기업으로 지정하자 영국은 런던에 <b>앤트로픽</b> 사무소를 확장하는 데 속도를 내고 있다. 영국... ,https://n.news.naver.com/mnews/article/015/0005271167?sid=104,"Sun, 05 Apr 2026 19:25:00 +0900"
‘교수 vs AI’ 첨삭 대결… 인간적인 글에 끌렸다,"대표’로는 <b>앤트로픽</b>의 ‘클로드 오퍼스’가 각각 나섰다. 먼저 주최 측은 행사를 위해 사전에 독자들로부터 자유 주제로 된 900자 이내의 짧은 에세이를 공모했고, 공모작 30편 가운데 3편을 골라 ‘클로드 오퍼스’와 김... ",https://n.news.naver.com/mnews/article/022/0004118423?sid=105,"Sun, 05 Apr 2026 19:03:00 +0900"
"영국, <b>앤트로픽</b>에 ‘이중상장’ 제안 계획…AI 유치 경쟁 가속",영국 정부가 인공지능(AI) 기업 <b>앤트로픽</b>의 자국 내 확장을 유도하기 위해 미국·영국 이중상장 방안을... 둔 <b>앤트로픽</b>의 런던 거점 확대를 전제로 한 다양한 지원책을 마련 중이다. 여기에는 런던 사무소 확장과 함께... ,https://n.news.naver.com/mnews/article/366/0001154388?sid=104,"Sun, 05 Apr 2026 18:27:00 +0900"
"영국, 트럼프 행정부와 삐걱대는 <b>앤트로픽</b>에 '구애'",기업 <b>앤트로픽</b>의 영국 내 확장을 유치하기 위해 힘쓰고 있다고 영국 일간 파이낸셜타임스(FT)가 4일(현지시간) 보도했다. 소식통에 따르면 영국 과학혁신기술부(DSIT) 직원들은 미국 샌프란시스코에 본사를 둔 <b>앤트로픽</b>을... ,https://n.news.naver.com/mnews/article/001/0016003613?sid=104,"Sun, 05 Apr 2026 18:13:00 +0900"
[전상욱의 AX시대의 고객경험] 〈9〉 AI는 행동하고 인간은 선택한다,"그리고 이러한 변화를 상징적으로 보여주는 흐름으로, 최근 <b>앤트로픽</b>의 클로드 기반 '코워크' 기능이나 오픈소스 생태계에서 확산되고 있는 오픈클로(OpenClaw)와 같은 실행형 에이전트들이 주목받고 있다. 이들은... ",https://n.news.naver.com/mnews/article/030/0003414703?sid=110,"Sun, 05 Apr 2026 16:01:00 +0900"
