순번,회사명,공장소재지주소,생산품,업종명,데이터기준일자
661,(주)해동엔지니어링,경상북도 포항시 북구 송라면 삼송길 21,"BIPV 시스템 자재생산, 태양광 발전장치 철구조물",구조용 금속 판제품 및 공작물 제조업 외 1 종,2025-08-13
662,(주)해동엔지니어링 제2공장,경상북도 포항시 남구 연일읍 원서길117번길 17 외 1필지,배전반 및 전기자동제어반 외,배전반 및 전기 자동제어반 제조업 외 3 종,2025-08-13
663,(주)해암이엔지,경상북도 포항시 남구 대송면 대송로 28-7,자동제어장치,배전반 및 전기 자동제어반 제조업,2025-08-13
664,(주)향기내는사람들,"경상북도 포항시 북구 양덕로30번길 33, , 1층 (양덕동) (양덕동)","커피콩, 스콘, 쿠키",커피 가공업 외 1 종,2025-08-13
665,(주)현대에어뱅크,경상북도 포항시 남구 연일읍 인주길 50-1,공기압축기,기체 펌프 및 압축기 제조업,2025-08-13
666,(주)현대특강,경상북도 포항시 북구 흥해읍 해안로 1141,"중장비부품, 자동차부품",금속 단조제품 제조업,2025-08-13
667,(주)현성,"경상북도 포항시 북구 흥해읍 해안로1106번길 30, 306호",연구,기타 공학 연구개발업,2025-08-13
668,(주)현진테크,경상북도 포항시 북구 청하면 사방공원길 449,금속판매제품 외 6종,구조용 금속 판제품 및 공작물 제조업 외 6 종,2025-08-13
669,(주)호반산업,경상북도 포항시 북구 청하면 용산길 328,철제교량구조물,육상 금속 골조 구조재 제조업,2025-08-13
670,(주)호암이노텍,경상북도 포항시 남구 동해면 블루밸리동로 230,가로등 주조명장치 외,육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
671,(주)호진,경상북도 포항시북구 청하면 소동리 517번지 외 2필지,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
672,(주)홍경이엠시,"경상북도 포항시 북구 중흥로255번길 17, 201호 (죽도동)",엘이디렌턴 등,일반용 전기 조명장치 제조업,2025-08-13
673,(주)화성엔지니어링,경상북도 포항시 북구 신광면 우각길 31,광물분쇄물,비금속광물 분쇄물 생산업,2025-08-13
674,(주)화성제어,경상북도 포항시 남구 대송면 운제로 447 (총 4 필지) 외 3필지,수배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
675,(주)화인플랜택,경상북도 포항시 북구 흥해읍 덕장리 84-4번지,강구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
676,(주)화진철강,경상북도 포항시 북구 송라면 대전길 97-88,철근,열간 압연 및 압출 제품 제조업,2025-08-13
677,(주)황금에스티에스,경상북도 포항시 남구 연일읍 남성길1번길 43-28,베이스판(건축용 빔),그 외 기타 분류 안된 금속 가공 제품 제조업,2025-08-13
678,(주)효성스텐 ,경상북도 포항시 남구 오천읍 송덕로212번길 15,스테인레스 금속가공품 ,그 외 기타 금속가공업,2025-08-13
679,(주)효성전기,경상북도 포항시 남구 연일읍 동문로54번길 42,배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
680,(주)효성철강,경상북도 포항시 남구 대송면 철강산단로130번길 66,철근,열간 압연 및 압출 제품 제조업,2025-08-13
681,(주)휘게엔지니어링,"경상북도 포항시 남구 정몽주로847번길 20-8, 2층 (청림동)",판넬외합 및 전기기자재,배전반 및 전기 자동제어반 제조업,2025-08-13
682,(주)휴머노피아,"경상북도 포항시 남구 지곡로 394, 제1벤처동 206호, 207호(포항테크노파크) (지곡동)",치매예방 게임기,그 외 기타 의료용 기기 제조업,2025-08-13
683,(주)휴먼텍,"경상북도 포항시 남구 지곡로 394, 제1벤처동 301,302호(지곡동 포항테크노파크) (지곡동)",전자기기 및 통신장비,"전자기 측정, 시험 및 분석기구 제조업",2025-08-13
684,(주)흥화,"경상북도 포항시 남구 괴동로 209(괴동동, 흥화공업) 외 1필지",철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
685,(합)미광계전,경상북도 포항시 남구 연일읍 동문로21번길 34,배전반 및 자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
686,DCI열처리,경상북도 포항시 남구 오천읍 철강산단로130번길 187-2,"기어,베어링,감속기 등 열처리",금속 열처리업,2025-08-13
687,I.S TECH,경상북도 포항시 남구 연일읍 형산강남로 408,"와이어슬링, 벨트슬링",금속선 가공제품 제조업,2025-08-13
688,"J,K테크",경상북도 포항시 남구 대송면 제내길53번길 34,중장비,건설 및 채광용 기계장비 제조업,2025-08-13
689,JM테크,경상북도 포항시 남구 장기면 장기로 568,"농기계부품, 드론부품, 등",절삭가공 및 유사처리업 외 2 종,2025-08-13
690,K&P산업,경상북도 포항시 북구 청하면 용산길 162,프리케스트 콘크리트제작,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,2025-08-13
691,Leo FOOD(레오푸드),경상북도 포항시 남구 구룡포읍 호미로 435,"냉동오지어, 고등어",수산동물 냉동품 제조업,2025-08-13
692,P.H.E 포항중장비,경상북도 포항시 남구 연일읍 동문로94번길 37,"유압실린더,링크,와이어하네스",건설.광업용 기계 및 장비 수리업,2025-08-13
693,P.H칼라,경상북도 포항시 북구 청하면 청하로 3,샌드위치판넬,구조용 금속 판제품 및 공작물 제조업,2025-08-13
694,THS,경상북도 포항시 남구 연일읍 형산강남로418번길 66-10,유압관련기기,유압기기 제조업,2025-08-13
695,UNI정공,경상북도 포항시 남구 연일읍 철강로107번길 81,"구조산업기계, 철구조물",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
696,Y테크,경상북도 포항시 남구 대송면 제내길53번길 27-2,"PLATE,HBEAM.평철",육상 금속 골조 구조재 제조업 외 3 종,2025-08-13
697,가득한떡시루,경상북도 포항시 남구 오천읍 정몽주로694번길 4,떡류,떡류 제조업,2025-08-13
698,가람,경상북도 포항시 남구 동해면 호미로 2487,오징어 원시가공식품,수산동물 건조 및 염장품 제조업,2025-08-13
699,가산식품제조장,경상북도 포항시 북구 기계면 기계로 349-1,장류,장류 제조업,2025-08-13
700,가스쏠루나 주식회사,"경상북도 포항시 남구 연일읍 연일로 342-7, 인주리 381",산업용 가스,수소 제조업 외 1 종,2025-08-13
701,가온상패공장,경상북도 포항시 남구 상공로 82(상도동),기념페,그 외 기타 유리제품 제조업 외 3 종,2025-08-13
702,강남철강(주),경상북도 포항시 북구 흥해읍 동해대로1954번길 15-15 외 2필지,ROLLER류,일반철물 제조업,2025-08-13
703,강남철강(주),경상북도 포항시 남구 해병로 1-9 (청림동),철재류(건축용),일반철물 제조업,2025-08-13
704,강남철강산업,경상북도 포항시 북구 흥해읍 동해대로1954번길 8,철근가공품,그 외 기타 금속가공업,2025-08-13
705,강림중공업(주),경상북도 포항시북구 흥해읍 용한리 811-30 번지 외 29,선박용 보일러류,선박 구성 부분품 제조업 외 5 종,2025-08-13
706,강민중기정비,경상북도 포항시 남구 연일읍 형산강남로418번길 74-2,건설기계부품,건설 및 채광용 기계장비 제조업,2025-08-13
707,강변철재,경상북도 포항시 남구 연일읍 형산강남로418번길 54-1,"철구조물, 금속절단가공품",그 외 기타 1차 철강 제조업,2025-08-13
708,거성ENT,경상북도 포항시 남구 연일읍 형산강남로 408-2,"산업기계(guide,shaft,cooling jacket etc)",절삭가공 및 유사처리업,2025-08-13
709,거성산업(주),경상북도 포항시 남구 장흥로39번길 62 (장흥동),"성형 절단스케일, 밀스케일",금속류 원료 재생업,2025-08-13
710,거여목초산업,경상북도 포항시 북구 기계면 기남길 320,"목초액,목탄",바이오매스계 기초 화학물질 제조업 외 2 종,2025-08-13
711,거전이앤씨,경상북도 포항시 남구 대송면 제내길19번길 16,기계부품가공,그 외 기타 금속가공업,2025-08-13
712,거화공업,경상북도 포항시 남구 연일읍 동문로94번길 27 (보양특수금속(주)),산업기계,그 외 기타 특수목적용 기계 제조업 외 1 종,2025-08-13
713,건도산업사,경상북도 포항시 북구 흥해읍 덕실마을길3번길 30,황산고토비료,복합비료 및 기타 화학비료 제조업 외 1 종,2025-08-13
714,경동산업(주),경상북도 포항시 남구 연일읍 형산강남로 408-9,수배전반,배전반 및 전기 자동제어반 제조업,2025-08-13
715,경동정밀공업사,경상북도 포항시 남구 연일읍 철강로107번길 17-32,"수첨장치, 노즐파이프",그 외 기타 분류 안된 금속 가공 제품 제조업,2025-08-13
716,경부자원(주),경상북도 포항시 남구 대송면 철강산단로 87,스테인레스 스크랩가공,금속류 해체 및 선별업 외 1 종,2025-08-13
717,경북산업기계,경상북도 포항시 남구 대송면 철강로250번길 24,산업기계,그 외 기타 일반목적용 기계 제조업 외 5 종,2025-08-13
718,경북테크,경상북도 포항시 남구 대송면 장흥로 38-49,"전기판넬, 배선제작, 배전반 차단기 제작",배전반 및 전기 자동제어반 제조업,2025-08-13
719,경북테크노파크(이차전지종합관리센터),경상북도 포항시 남구 동해면 블루밸리동로 154,재사용 배터리 안전성 평가 등,자연과학 및 공학 융합 연구개발업,2025-08-13
720,"경상도한과, 경상도강정",경상북도 포항시 북구 흥해읍 달전로 152 외 2필지,한과,과자류 및 코코아 제품 제조업,2025-08-13
721,경원콤프레샤,경상북도 포항시 남구 대송면 철강로 212-21,공기압축기,기체 펌프 및 압축기 제조업,2025-08-13
722,경인엔지니어링,경상북도 포항시 남구 대송면 제내길19번길 15,전기 수배전반 박스 제조,배전반 및 전기 자동제어반 제조업,2025-08-13
723,경주산업,경상북도 포항시 남구 연일읍 동문로54번길 39 외 1필지,산업기계,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
724,고도화학(주),"경상북도 포항시 남구 호동로58번길 3 (호동, 고도화학(주))",황산알루미늄,기타 기초 무기 화학물질 제조업,2025-08-13
725,고려강선(주),경상북도 포항시 남구 대송면 철강산단로130번길 52 (고려강선포항공장),스틸코드,철강선 제조업,2025-08-13
726,고려산업(주),경상북도 포항시 남구 호동로58번길 52 (호동),"주강품, coil sleeve",강주물 주조업 외 2 종,2025-08-13
727,고려열연(주),경상북도 포항시 남구 호동로58번길 26 (호동),"이형PC,봉강, 이형PC,봉강",철강선 제조업 외 1 종,2025-08-13
728,고려정공,경상북도 포항시 북구 기계면 기북로 78-21,제철관련 소모성부품 ,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
729,고려특수선재(주),경상북도 포항시 남구 대송면 철강산단로66번길 114 (대송면),Stainless wire,철강선 제조업,2025-08-13
730,공단레미콘,경상북도 포항시 남구 괴동로 93 (장흥동),"레미콘, 콘크리트블럭",레미콘 제조업 외 2 종,2025-08-13
731,공단레미콘(주),"경상북도 포항시 남구 괴동로 93 (장흥동, (주)한국시멘트)",임대,비주거용 건물 임대업,2025-08-13
732,광동산업기계,경상북도 포항시 남구 연일읍 동문로76번길 29,함마크라샤부품가공,광물처리 및 취급장비 제조업,2025-08-13
733,광동엔지니어링,경상북도 포항시 남구 연일읍 철강로107번길 26,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
734,광명기공(주),경상북도 포항시 남구 대송면 제내길47번길 30-1,일반목적용기계제조,기타 기관 및 터빈 제조업,2025-08-13
735,광원전기,경상북도 포항시 남구 연일읍 동문로94번길 26-10,"판넬, 자동기기",배전반 및 전기 자동제어반 제조업,2025-08-13
736,구룡포수산업협동조합,경상북도 포항시 남구 구룡포읍 호미로 180-92,얼음,얼음 제조업 외 1 종,2025-08-13
737,국민농수산 영농조합법인,경상북도 포항시 남구 대송면 장동리 671번지,"간고등어, 맛조기, 순살삼치, 오징어채",수산동물 건조 및 염장품 제조업 외 2 종,2025-08-13
738,국이푸레나,경상북도 포항시 남구 연일읍 철강로107번길 65,기계부품,절삭가공 및 유사처리업,2025-08-13
739,국일사인,경상북도 포항시 남구 대해로 107 (대도동),"간판, 광고물",간판 및 광고물 제조업,2025-08-13
740,국제강재(주),경상북도 포항시 남구 대송면 철강산단로 130 (국제강제주식회사),강관,강관 제조업 외 1 종,2025-08-13
741,그래핀스퀘어(주),"경상북도 포항시 남구 청암로 77, 첨단기술사업화센터 405,406,407,408,413,414,C-1000호(지곡동, 포항공과대학교)",그래핀,그 외 기타 분류 안된 비금속 광물제품 제조업,2025-08-13
742,그래핀스퀘어(주),,조리 가전 제품용 투명 면상 발열체 모듈,전기용 탄소제품 및 절연제품 제조업,2025-08-13
743,그린백신실증지원센터,,"단백질의약품(식물백신제), 단백질소재",기초 의약 물질 제조업 외 4 종,2025-08-13
744,그린사이언스(주),경상북도 포항시 남구 대송면 송덕로212번길 174 (아주베스틸(주)),슬리터 제품,그 외 기타 1차 철강 제조업,2025-08-13
745,금농산업사,경상북도 포항시 남구 장기면 신창길 115,제오라이트,비금속광물 분쇄물 생산업,2025-08-13
746,금농산업제2공장,경상북도 포항시 남구 장기면 신창길 115 (총 7 필지) 외 6필지,제오라이트,비금속광물 분쇄물 생산업,2025-08-13
747,금마스틸(주),경상북도 포항시 남구 대송면 홍계길 38,철근가공품,일반철물 제조업,2025-08-13
748,금아파이프(주),,강관,강관 제조업,2025-08-13
749,금창엠앤씨(주),경상북도 포항시 남구 오천읍 광명산단로 116,"wheel, concave",그 외 기타 금속가공업,2025-08-13
750,기산테크,경상북도 포항시 남구 연일읍 철강로107번길 56,유공압기기장치,유압기기 제조업,2025-08-13
751,기성엔지니어링,경상북도 포항시 남구 오천읍 중원로 75,자동화 반송장치 ,금속 절삭기계 제조업,2025-08-13
752,기정산업,경상북도 포항시 남구 연일읍 철강로141번길 41,기계부품,절삭가공 및 유사처리업,2025-08-13
753,기정산업,경상북도 포항시 남구 연일읍 형산강남로418번길 47,기계부품제작,절삭가공 및 유사처리업,2025-08-13
754,꽃젓갈,경상북도 포항시 북구 흥해읍 칠포로 371,젓갈류,수산동물 건조 및 염장품 제조업,2025-08-13
755,나래이엔에스,경상북도 포항시 북구 흥해읍 칠포로 80-3,금속주방가구(씽크대 등),금속 가구 제조업 외 1 종,2025-08-13
756,나래철강,경상북도 포항시 북구 청하면 동해대로 2173,철구조물(솔푸레이드 및 라이나),육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
757,남강엔지니어링,경상북도 포항시 북구 흥해읍 달전로 277 외 1필지,"광물제조,기계,공기이송기,분쇄기",광물처리 및 취급장비 제조업,2025-08-13
758,남강플랜트(주),경상북도 포항시 북구 흥해읍 금장리 384번지,철구조재플랜트,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
759,남일기계산업2공장,경상북도 포항시남구 연일읍 오천리 189-1번지,기계부품가공,구조용 금속 판제품 및 공작물 제조업,2025-08-13
760,남일기전,경상북도 포항시 남구 연일읍 형산강남로418번길 25,산업용회전기계 및 모터,전동기 및 발전기 제조업,2025-08-13
761,남포항농업협동조합,경상북도 포항시 남구 연일읍 적계지길 33,도정,곡물 도정업,2025-08-13
762,네이처이앤티(주),경상북도 포항시남구 대송면 옥명리 543번지 외 2필지,"산업폐기물처리(지정,지정외)",지정 폐기물 처리업 외 1 종,2025-08-13
763,네이처이앤티(주) 이차전지자원순환지점,경상북도 포항시 남구 대송면 철강산단로130번길 113 ((주)동양E&C),"BP(니켈, 코발트 외)",금속류 원료 재생업,2025-08-13
764,네이처이앤티(주) 이차전지지점,경상북도 포항시 남구 대송면 철강산단로130번길 177 외 1필지,BP/BM 금속산화물,금속류 원료 재생업,2025-08-13
765,넥스틸(주),경상북도 포항시 남구 대송면 송덕로212번길 195 (총 2 필지),"파이프, 후육강관",강관 제조업 외 2 종,2025-08-13
766,넥스틸(주),경상북도 포항시남구 대송면 대각리 768번지,파이프(유정관),강관 제조업 외 1 종,2025-08-13
767,넥스틸(주),경상북도 포항시 남구 대송면 송덕로212번길 198,강관,강관 제조업 외 1 종,2025-08-13
768,넥스틸(주)  포항5공장,경상북도 포항시 남구 대송면 송덕로212번길 252,강관,강관 제조업,2025-08-13
769,넥스틸(주) 본사3공장,경상북도 포항시 남구 대송면 송덕로212번길 225 (대송면),도금강관,강관 제조업,2025-08-13
770,넥스틸(주)3공장,경상북도 포항시 남구 대송면 송덕로212번길 216,강관,강관 제조업 외 1 종,2025-08-13
771,넥스틸(주)포항2공장,경상북도 포항시 남구 섬안로 51 (괴동동),"SHEET,SKEEP/철판,파이프",강관 제조업 외 2 종,2025-08-13
772,넥스틸(주)포항3공장,경상북도 포항시 북구 흥해읍 해안로 1106,"강관, 골조구조물",강관 제조업 외 1 종,2025-08-13
773,농업법인(합)포발2공장,경상북도 포항시 북구 신광면 죽성길 26 (총 4 필지) 외 3필지,발효사료,반려동물용 사료 제조업 외 2 종,2025-08-13
774,농업회사법인 (주)한터식품,경상북도 포항시 북구 흥해읍 새마을로 297-10,쨈,기타 과실ㆍ채소 가공 및 저장 처리업,2025-08-13
775,농업회사법인 (주)휴나프,경상북도 포항시 북구 청하면 사방공원길139번길 22,명이나물 절임,김치류 제조업 외 1 종,2025-08-13
776,농업회사법인 유한회사 삼풍에프엔비,,"야채 및 채소, 과일류 가공품",기타 과실ㆍ채소 가공 및 저장 처리업,2025-08-13
777,농업회사법인 주식회사 들에푸드,경상북도 포항시 북구 장량로114번길 17-5(장성동),"올담채산야초, 명이진소스",기타 비알코올 음료 제조업 외 1 종,2025-08-13
778,농업회사법인 주식회사 이도,경상북도 포항시 북구 청하면 청하로151번길 27,한방발효차,차류 가공업,2025-08-13
779,농업회사법인 주식회사 태주,경상북도 포항시 남구 오천읍 갈평리 363-3번지,"무말랭이, 통큰감자 및 플레이크, 채선당근 등",기타 과실ㆍ채소 가공 및 저장 처리업,2025-08-13
780,농업회사법인 주식회사 하이청,경상북도 포항시 북구 법원로51번길 40-10 (장성동),"무차, 무말랭이, 무시래기",과실 및 그 외 채소 절임식품 제조업,2025-08-13
781,농업회사법인 합자회사 포발,경상북도 포항시 북구 신광면 비학로 797,가축용사료,반려동물용 사료 제조업 외 2 종,2025-08-13
782,농업회사법인(주)독도무역,경상북도 포항시 북구 흥해읍 칠포로 186,산마늘,김치류 제조업 외 1 종,2025-08-13
783,농업회사법인(주)죽장연,경상북도 포항시 북구 죽장면 병보천길863번길 53-23 (총 4 필지) 외 3필지,"된장,간장",장류 제조업,2025-08-13
784,농업회사법인(주)포항웰빙푸드,"경상북도 포항시 북구 죽장면 면봉산길 104, (현내리 192번지)",쌀국수,"면류, 마카로니 및 유사식품 제조업",2025-08-13
785,농업회사법인(주)한터식품,경상북도 포항시 북구 흥해읍 성곡북길38번길 17-10,과자류,과자류 및 코코아 제품 제조업,2025-08-13
786,농업회사법인주식회사오메가,경상북도 포항시 북구 청하면 용산길 145,"토양개량제, 친환경 제올라이트비료",유기질 비료 및 상토 제조업,2025-08-13
787,농업회사업인 (주)윤선애선인장,경상북도 포항시 북구 흥해읍 동해대로 1795-2,백련초액기스,건강보조용 액화식품 제조업,2025-08-13
788,누리스마트코리아(주),경상북도 포항시 북구 양학천로 14-4 (죽도동),"복합환경제어판넬, 확장제어판넬",배전반 및 전기 자동제어반 제조업,2025-08-13
789,뉴테크에너지(주),,"SiOx나노분말, SiOx-Li 복합 나노분말, SiO그라파이트 복합 나노 분말",운송장비용 이차전지 제조업 외 1 종,2025-08-13
790,다원ENG,경상북도 포항시 남구 서동로 136 (송도동),전기 자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
791,대경정밀기계,경상북도 포항시 남구 연일읍 철강로107번길 25,"기계부품제작,가공",기타 가공 공작기계 제조업,2025-08-13
792,대경중공업(주),경상북도 포항시 남구 연일읍 형산강남로418번길 58 외 2필지,압연 roll,절삭가공 및 유사처리업,2025-08-13
793,대경폴리켐(주),경상북도 포항시 남구 오천읍 철강산단로130번길 187-14,폴리염화알루미늄,기타 기초 무기 화학물질 제조업,2025-08-13
794,대광상사,,구름베어링,구름베어링 제조업,2025-08-13
795,대근,경상북도 포항시 남구 오천읍 문덕리 1021번지,전기자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
796,대덕,경상북도 포항시 남구 오천읍 정몽주로 751,친환경 전기청소차,내연기관 화물자동차 및 특수목적용 자동차 제조업 외 1 종,2025-08-13
797,대덕,경상북도 포항시 남구 연일읍 동문로76번길 66,친환경전기노면청소차,내연기관 화물자동차 및 특수목적용 자동차 제조업 외 1 종,2025-08-13
798,대덕산업,경상북도 포항시 남구 연일읍 형산강남로398번길 3,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
799,대덕엔지니어링,경상북도 포항시남구 연일읍 오천리 134번지,자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
800,대도산업,경상북도 포항시 남구 연일읍 형산강남로 408-9,철판가공 외,육상 금속 골조 구조재 제조업,2025-08-13
801,대도테크(주),경상북도 포항시 북구 기계면 기북로 63,구조용금속판제품(파형강판),구조용 금속 판제품 및 공작물 제조업 외 2 종,2025-08-13
802,대동이엔지(주),경상북도 포항시 북구 흥해읍 동해대로1954번길 20,"파쇄기, 선별기, 슈레다",광물처리 및 취급장비 제조업,2025-08-13
803,대륙철강산업(주),경상북도 포항시 남구 대송면 철강로250번길 13-2 (대륙철강산업㈜) 외 2필지,"광도차단용지주, 철골조립",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
804,대림종합 ENG,경상북도 포항시 남구 동해안로 6059-5 (청림동),건설기계 중장비 부품,건설 및 채광용 기계장비 제조업,2025-08-13
805,대민ENG,경상북도 포항시 남구 연일읍 철강로107번길 58,"철구조물, 산업기계",그 외 기타 금속가공업 외 2 종,2025-08-13
806,대보산업(주),경상북도 포항시 남구 대송면 제내길 14,"기계배관, 철구조물, 산업기계",육상 금속 골조 구조재 제조업,2025-08-13
807,대성산업(주),경상북도 포항시 남구 연일읍 철강로107번길 12,목재품(각재),일반 제재업,2025-08-13
808,대성시스템,경상북도 포항시 남구 연일읍 원서길118번길 15,"배전반, 전기제어반",배전반 및 전기 자동제어반 제조업,2025-08-13
809,대성자원개발(주)포항지점,경상북도 포항시 남구 연일읍 동문로 2 (총 5 필지) 외 5필지,액상소석회,기타 기초 무기 화학물질 제조업,2025-08-13
810,대성철강,경상북도 포항시 남구 연일읍 오천리 89-8번지 외 1필지,기계가공품,그 외 기타 금속가공업,2025-08-13
811,대신네트웍스주식회사,"경상북도 포항시 남구 포스코대로 393, 홍제빌딩 4층 (대도동)","CCTV, 영상감시장비",유선 통신장비 제조업 외 1 종,2025-08-13
812,대신메탈라이징(주),"경상북도 포항시 남구 대송로101번길 67 (장흥동, 대신메탈라이징(주))","각종 ROLL류, 각종 ROLL류",그 외 기타 1차 철강 제조업 외 1 종,2025-08-13
813,대아용접기&툴시스템,경상북도 포항시 남구 연일읍 형산강남로436번길 4,용접기,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
814,대안상사,경상북도 포항시 남구 철강로 533(장흥동),고철,금속류 원료 재생업,2025-08-13
815,대양무역&수산,경상북도 포항시 북구 신덕로 19 (양덕동),"건조해삼,염장해삼",수산동물 건조 및 염장품 제조업,2025-08-13
816,대왕정밀,경상북도 포항시 남구 연일읍 형산강남로398번길 11,산업기계 및 부품,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
817,대왕프린팅,경상북도 포항시 남구 중흥로101번길 19 (상도동),"현수막,인쇄물 등",경 인쇄업 외 2 종,2025-08-13
818,대우라사,경상북도 포항시 남구 오천읍 정몽주로 667,맞춤복(정장),남자용 겉옷 제조업 외 4 종,2025-08-13
819,대원ENG,경상북도 포항시 남구 대송면 제내길 16,"배전반 및 전기자동제어반, 공정제어실험장치",배전반 및 전기 자동제어반 제조업 외 1 종,2025-08-13
820,대원산업(주),경상북도 포항시 남구 연일읍 동문로94번길 8-7,"안전망, 어망",어망 및 기타 끈 가공품 제조업,2025-08-13
821,대일수산,경상북도 포항시 남구 구룡포읍 하정로 200,냉동선어,수산동물 냉동품 제조업,2025-08-13
822,대일씨엔에스(주),경상북도 포항시 남구 오천읍 송덕로 228-7 (오천읍),기계부품,강주물 주조업,2025-08-13
823,대일알앤에프,경상북도 포항시 남구 동해면 상정길100번길 20 외 1필지,"어분사료, 어분사료",반려동물용 사료 제조업 외 1 종,2025-08-13
824,대일자원개발(주),경상북도 포항시 남구 오천읍 철강산단로130번길 204 (대일자원개발(주)),"단광, 단괴",금속류 해체 및 선별업 외 1 종,2025-08-13
825,대일정밀,경상북도 포항시 남구 대송면 제내길31번길 37,금속성 기계부품,그 외 기타 금속가공업,2025-08-13
826,대일중전기,경상북도 포항시 남구 오천읍 문덕로80번길 26-9,"모터, 전기기기",전동기 및 발전기 제조업,2025-08-13
827,대일철재,경상북도 포항시 남구 대송면 제내길53번길 47,철구조물,구조용 금속 판제품 및 공작물 제조업,2025-08-13
828,대지철강(주),경상북도 포항시 남구 장흥로 162 (장흥동),"skeep, sheet",그 외 기타 1차 철강 제조업,2025-08-13
829,대통,경상북도 포항시 남구 오천읍 오어로359번길 21,특장차,차체 및 특장차 제조업 외 2 종,2025-08-13
830,대풍영농조합법인,경상북도 포항시 북구 흥해읍 용전길 17,도정,곡물 도정업,2025-08-13
831,대하산업,경상북도 포항시 남구 연일읍 동문로94번길 26-2,"볼트, 핀",볼트 및 너트류 제조업 외 2 종,2025-08-13
832,대하산업기계,경상북도 포항시 남구 연일읍 형산강남로398번길 7 (대하산업),Liner,절삭가공 및 유사처리업,2025-08-13
833,대학사,경상북도 포항시 북구 삼호로 10 (덕산동),인쇄,기타 인쇄업 외 1 종,2025-08-13
834,대한노년자원봉사회,경상북도 포항시 남구 축항로 19-12 (해도동) 대한노년자원봉사회 실버복도시락(주),도시락,도시락류 제조업,2025-08-13
835,대한민국고엽제전우회,경상북도 포항시 남구 대송면 철강로492번길 76 (대송면),규산질비료,유기질 비료 및 상토 제조업,2025-08-13
836,대혁산업(주),경상북도 포항시 북구 청하면 사방공원길 421 외 2필지,"철구조물, 기계제작",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
837,대혁산업(주),경상북도 포항시 북구 청하면 사방공원길 391 외 7필지,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
838,대혁산업(주),경상북도 포항시 북구 청하면 사방공원길 242,"건축 및 플랜트 철구조물, Builtup Beam",육상 금속 골조 구조재 제조업,2025-08-13
839,대현리싸이클링,경상북도 포항시 북구 청하면 동해대로2315번길 55,시멘트 대체연료,비금속류 원료 재생업,2025-08-13
840,대호광고산업,경상북도 포항시 남구 연일읍 동문로54번길 41-5,"간판, 안내판, 구조용 금속 판제품 및 공작물",간판 및 광고물 제조업 외 1 종,2025-08-13
841,대화ENG,경상북도 포항시 남구 연일읍 형산강남로418번길 74-19,산업기계부분품,절삭가공 및 유사처리업,2025-08-13
842,대흥상사,경상북도 포항시 북구 장량로190번길 22 (양덕동),"간판,현수막",간판 및 광고물 제조업,2025-08-13
843,더원제어계측,경상북도 포항시 북구 법원로115번길 25(장성동),산업처리공정제어장비,산업처리공정 제어장비 제조업,2025-08-13
844,더플러스,경상북도 포항시 남구 대해로 71-1 (대도동),"기획,인쇄,간판 현수막외",경 인쇄업 외 3 종,2025-08-13
845,덕승레이저텍,경상북도 포항시 북구 신광면 비학로519번길 14,"농업기계, 결속기",그 외 기타 특수목적용 기계 제조업 외 1 종,2025-08-13
846,덕영산업(주),경상북도 포항시 북구 청하면 용산길 154,"교량난간, 차량방호책 외",구조용 금속 판제품 및 공작물 제조업 외 1 종,2025-08-13
847,덕천목재(주),경상북도 포항시 북구 기계면 성계길 256,"건축자재,파레트,목재가공",일반 제재업,2025-08-13
848,덕화건설(주),경상북도 포항시 북구 흥해읍 해안로 991,산업기계제작,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
849,도영산업(주),경상북도 포항시 남구 연일읍 자명로 10,미끄럼방지포장재,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,2025-08-13
850,동국산업(주),경상북도 포항시 남구 괴동로 57(장흥동) 외 4필지,"냉간압연(CR,PO,HGI), 니켈도금강판",냉간 압연 및 압출 제품 제조업 외 5 종,2025-08-13
