순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
7091,북구검단일반산업단지,서울이엔시,대구광역시 북구 검단공단로 60-5 (검단동),대구광역시 북구 검단동 887-110 번지,배전반 및 전기 자동제어반 제조업 외 2 종,대구시티밸리산업단지관리공단,일반산업단지,"배, 분전반,콘트롤박스,케이스등",
7092,북구검단일반산업단지,서울전기제작소,대구광역시 북구 검단공단로 60-5 (검단동),대구광역시 북구 검단동 887-110번지,배전반 및 전기 자동제어반 제조업,대구시티밸리산업단지관리공단,일반산업단지,전기콘트롤박스,철판
7093,북구검단일반산업단지,서원시스템,"대구광역시 북구 검단로 135, 105동 1층 116 (검단동)",대구광역시 북구 검단동 838-4번지 105동 1층 116,그 외 기타 일반목적용 기계 제조업 외 1 종,대구시티밸리산업단지관리공단,일반산업단지,산업용기계,"철판, 알루미늄"
7094,북구검단일반산업단지,서일정밀,대구광역시 북구 검단로27길 58 (검단동),대구광역시 북구 검단동 838-17번지,주형 및 금형 제조업,대구시티밸리산업단지관리공단,일반산업단지,금형부품,특수강
7095,,서일직물,대구광역시 달성군 화원읍 천내리 168번지,대구광역시 달성군 화원읍 천내리 168번지,특수 직물 및 기타 직물 직조업,대구광역시 달성군,일반,견직물,폴리에스테르
7096,,서재문화사,대구광역시 중구 명륜로6길 8 (남산동),대구광역시 중구 남산동 249-4번지,경 인쇄업 외 1 종,대구광역시 중구,일반,"인쇄,출판",종이
7097,대구출판산업단지,서재문화사,대구광역시 달서구 월성동 1795-1번지,대구광역시 달서구 월성동 1795-1번지,기타 인쇄업 외 1 종,대구성서산업단지관리공단,일반산업단지,"인쇄, 출판물",
7098,대구제3일반산업단지,서재운,대구광역시 북구 3공단로33길 43 (노원동3가),대구광역시 북구 노원동3가 59-59,비주거용 건물 임대업 외 1 종,대구제3산업단지관리공단,일반산업단지,"태양광발전, 비주거용 건물 임대업",
7099,대구제3일반산업단지,서재운부동산,대구광역시 북구 3공단로33길 45 (노원동3가),대구광역시 북구 노원동3가 59-4,비주거용 건물 임대업 외 1 종,대구제3산업단지관리공단,일반산업단지,"태양광발전, 비주거용 건물 임대",
7100,대구염색일반산업단지,서진머티리얼(주),대구광역시 서구 염색공단중앙로 69 (비산동),대구광역시 서구 비산동 3325-3,"직물, 편조원단 및 의복류 염색 가공업 외 1 종",대구염색산업단지관리공단,일반산업단지,면직물염색가공,염색 가공
7101,,서진애드컴,대구광역시 중구 이천로 190 (대봉동),대구광역시 중구 대봉동 727-11번지,간판 및 광고물 제조업 외 1 종,대구광역시 중구,일반,광고물제작,"아크릴,PVC판,합성지,후렉스천"
7102,서대구일반산업단지,서진이엔지,대구광역시 서구 문화로23길 6-1 (이현동),대구광역시 서구 이현동 42-636번지,배전반 및 전기 자동제어반 제조업,서대구산업단지관리공단,일반산업단지,전기판넬,철판
7103,대구제3일반산업단지,서진전기전자판금,대구광역시 북구 3공단로33길 31-1 (노원동3가),대구광역시 북구 노원동3가 59-30번지,육상 금속 골조 구조재 제조업 외 3 종,대구제3산업단지관리공단,일반산업단지,"가로등 폴대, 전기판넬",steel-svs
7104,성서지방산업단지,서진정공,"대구광역시 달서구 성서로 18-22, (2차단지 63 11L) (대천동)",대구광역시 달서구 대천동 747번지,그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,일반산업단지,자동차부품,
7105,,서진창호,대구광역시 서구 북비산로13길 24 (이현동),대구광역시 서구 이현동 27-12번지,플라스틱 창호 제조업,대구광역시 서구,일반,PVC창호,PVC
7106,대구제3일반산업단지,서진테크,대구광역시 북구 팔달북로15길 15 (노원동3가),대구광역시 북구 노원동3가 616-1,도금업,대구제3산업단지관리공단,일반산업단지,도금,도금
7107,,서진텍스,"대구광역시 서구 염색공단천로10길 15 (비산동, 미산프라스틱)",대구광역시 서구 비산동 2027-54번지,자수제품 및 자수용재료 제조업 외 1 종,대구광역시 서구,일반,자수레이스,"섬유,실"
7108,서대구일반산업단지,서진텍스타일(주),대구광역시 서구 국채보상로7길 52 (이현동),대구광역시 서구 이현동 42-365번지,면직물 직조업 외 1 종,서대구산업단지관리공단,일반산업단지,면직물 제조,원단
7109,성서지방산업단지,서창전기통신(주),"대구광역시 달서구 달서대로58길 121, 2차단지46B7L (대천동)",대구광역시 달서구 대천동 597-6번지,속도계 및 적산계기 제조업 외 14 종,대구성서산업단지관리공단,일반산업단지,"전자식전력량계, 계량기 내/외부",플라스틱
7110,대구제3일반산업단지,서하산업,대구광역시 북구 팔달북로11길 11-1 (노원동3가),대구광역시 북구 노원동3가 650번지,도금업,대구제3산업단지관리공단,일반산업단지,자동차부품 아연도금,자동차부품
7111,성서지방산업단지,서한수출포장,"대구광역시 달서구 성서공단북로 382, 1차 101B 4L (장동)",대구광역시 달서구 장동 306-15 1차 101B 4L,직물포대 제조업,대구성서산업단지관리공단,일반산업단지,마대박스,종이
7112,달성2차일반산업단지,서한수출포장,"대구광역시 달성군 구지면 달성2차서로 84-3, (5B/L 6L)",대구광역시 달성군 구지면 내리 839-5번지,골판지 제조업 외 1 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,골판지 상자,원지
7113,서대구일반산업단지,서한씨엠에이(주),대구광역시 서구 와룡로87길 50 (이현동),대구광역시 서구 이현동  45-283번지,도장 및 기타 피막처리업,서대구산업단지관리공단,일반산업단지,"전자부품, 자동차부품","알루미늄, 마그네슘"
7114,성서지방산업단지,서한인쇄사,"대구광역시 달서구 성서서로33길 16, (1차단지 78B 2L) (갈산동)",대구광역시 달서구 갈산동 523-1번지 (1차단지 78B 2L),기타 인쇄업 외 1 종,대구성서산업단지관리공단,일반산업단지,"인쇄,제판등",종이
7115,서대구일반산업단지,서현실업,대구광역시 서구 와룡로70길 43 (중리동),대구광역시 서구 중리동 1106-1번지,날염 가공업,서대구산업단지관리공단,일반산업단지,원단 디지털프린트,
7116,성서지방산업단지,서현켐텍,"대구광역시 달서구 성서로9길 58, (2차 46B 3-1L) (대천동)",대구광역시 달서구 대천동 597-17 (2차 46B 3-1L),"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",대구성서산업단지관리공단,일반산업단지,형광증백제,디아미노스틸텐
7117,성서지방산업단지,서현테크,"대구광역시 달서구 성서공단로39길 27, 208호  (갈산동) 208호",대구광역시 달서구 갈산동 358-180 208호 208호,산업용 로봇 제조업,대구성서산업단지관리공단,일반산업단지,자동차부품,"철, 실린더"
7118,,서흥씨티디,대구광역시 달성군 논공읍 금강로2길 15,대구광역시 달성군 논공읍 금포리 1589-1번지,구조용 금속 판제품 및 공작물 제조업,대구광역시 달성군,일반,"방사선차폐체, 주의표지판",금속자재
