순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
4718,성서지방산업단지,디엠티,"대구광역시 달서구 성서공단남로 164, (2차단지 39B 2L) (월암동)",대구광역시 달서구 월암동 916-1번지,그 외 기타 고무제품 제조업,대구성서산업단지관리공단,일반산업단지,고무제품,
4719,달성2차일반산업단지,디엠하이테크(주),대구광역시 달성군 구지면 달성2차4로 80,대구광역시 달성군 구지면 예현리 763-3번지,절삭가공 및 유사처리업 외 1 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,동력전달장치 절삭가공,36.3*47MM
4720,달성2차일반산업단지,디오디테크,"대구광역시 달성군 구지면 달성2차4로 24,  (달성2차단지 22B 2L)",대구광역시 달성군 구지면 내리 849-1번지 (달성2차단지 22B 2L),금속 주조 및 기타 야금용 기계 제조업 외 1 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,금형부품,금속
4721,대구염색일반산업단지,디와이컬러텍(주),대구광역시 서구 염색공단중앙로22길 29 (비산동),대구광역시 서구 비산동 2024-51번지,"직물, 편조원단 및 의복류 염색 가공업",대구염색산업단지관리공단,일반산업단지,나이론,
4722,대구염색일반산업단지,디이에이텍스타일,대구광역시 서구 염색공단로13길 43 (비산동),대구광역시 서구 비산동 2010-35,"직물, 편조원단 및 의복류 염색 가공업",대구염색산업단지관리공단,일반산업단지,섬유염색,"염료,원단"
4723,성서지방산업단지,디자인 비,"대구광역시 달서구 성서로71길 23, B동(1차단지 43B 2L) (갈산동)",대구광역시 달서구 갈산동 974-1번지 B동(1차단지 43B 2L),기타 인쇄업,대구성서산업단지관리공단,일반산업단지,디지털 전사인쇄,
4724,서대구일반산업단지,디자인낙타,대구광역시 서구 문화로7길 19 (이현동),대구광역시 서구 이현동 42-10번지,스크린 인쇄업 외 2 종,서대구산업단지관리공단,일반산업단지,"인쇄물,원단샘플",
4725,대구출판산업단지,디자인마루,대구광역시 달서구 월곡로100안길 11 (월성동),대구광역시 달서구 월성동 1796-10번지,기타 인쇄업 외 1 종,대구성서산업단지관리공단,일반산업단지,"포스터, 정기간행물",종이
4726,성서지방산업단지,디자인웨이브,"대구광역시 달서구 성서로9길 60, (2차 46B 3L) (대천동)",대구광역시 달서구 대천동 597-2 (2차 46B 3L),커튼 및 유사제품 제조업,대구성서산업단지관리공단,일반산업단지,커튼,원단
4727,성서지방산업단지,디자인허브센터,"대구광역시 달서구 달서대로 559, 9층 905호 (신당동)",대구광역시 달서구 신당동 1320-2번지(3차단지 60-1B 3L) 이앤씨 벤처드림타워8 9층 905호,광고 대행업,대구성서산업단지관리공단,지식산업센터,,
4728,대구제3일반산업단지,디지테크,"대구광역시 북구 3공단로 93-1, 제9동 (노원동3가)",대구광역시 북구 노원동3가 245 제9동,주형 및 금형 제조업 외 1 종,대구제3산업단지관리공단,일반산업단지,금형,금속
4729,서대구일반산업단지,디청춘미디어,"대구광역시 서구 와룡로 307, 3층 314호(중리동) 3층 314호",대구광역시 서구 중리동 1166-1 3층 314호 3층 314호,경영 컨설팅업,서대구산업단지관리공단,일반산업단지,경영컨설팅,
4730,성서지방산업단지,디케이,"대구광역시 달서구 달서대로91길 114, 3차단지 86B 10L (호산동)",대구광역시 달서구 호산동 703-12번지 3차단지 86B 10L,그 외 금속 압형제품 제조업,대구성서산업단지관리공단,일반산업단지,금속제품(절곡),
4731,대구금호워터폴리스일반산업단지,디케이(DK),,대구광역시 북구 검단동 금호워터폴리스 A12-4,기타 가공 공작기계 제조업,대구시티밸리산업단지관리공단,일반산업단지,2차전지 장비 제조,전자부품
4732,성서지방산업단지,디케이금속열처리(주),"대구광역시 달서구 성서공단북로2길 43, 3차 75B 11L (파호동)",대구광역시 달서구 파호동 202-6 3차 75B 11L,금속 열처리업,대구성서산업단지관리공단,일반산업단지,자동차부품,철강품
4733,성서지방산업단지,디케이블라인드,"대구광역시 달서구 성서공단남로 170, (2차단지 39B 4L)(월암동)",대구광역시 달서구 월암동 916-3 (2차단지 39B 4L),커튼 및 유사제품 제조업,대구성서산업단지관리공단,일반산업단지,"커튼, 블라인드",천
4734,서대구일반산업단지,디케이아이(DKI)인스펙션,대구광역시 서구 와룡로72길 37-7 (중리동),대구광역시 서구 중리동 1076-17번지,"근무복, 작업복 및 유사의복 제조업 외 2 종",서대구산업단지관리공단,일반산업단지,바지,폴리에스터
4735,성서지방산업단지,디케이테크,"대구광역시 달서구 호산동로 85, 3차단지 67B 8L (호산동)",대구광역시 달서구 호산동 706-7번지 3차단지 67B 8L,주형 및 금형 제조업,대구성서산업단지관리공단,일반산업단지,금형,
4736,성서지방산업단지,디케이테크,"대구광역시 달서구 성서로67길 49, 1차단지 51B 4L(갈산동)",대구광역시 달서구 갈산동 100-7 1차단지 51B 4L,그 외 기타 금속가공업,대구성서산업단지관리공단,일반산업단지,금속제품,철강재
