연번,회사명,사업유형,사업자등록번호,공장 주소,업종명,생산품
330,(주)쏘드시스템,제조업,3788700729,"인천광역시 부평구 부평대로 337, 6층 615호(청천동, 부평 제이타워3차 지식산업센터) 6층 615호",전시 및 광고용 조명장치 제조업,간판 및 광고물
331,(주)쏠레어,제조업,8598101996,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 10층 1008호",일반용 전기 조명장치 제조업,LED 조명 등기구
332,(주)쓰리스타,제조업,1218636172,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 5층 551호",기타 직물제품 제조업 외 2 종,"스테인레스 군반함,아웃도어취사용품, 방진마스크"
333,(주)쓰리에이미디어,제조업,1198181932,인천광역시 부평구 부평북로 246(청천동),기록매체 복제업,CD 및 DVD
334,(주)씨앤케이무역,제조업,3398100324,인천광역시 부평구 경원대로1043번길 3 (십정동) 외 1필지,육류 기타 가공 및 저장처리업 (가금류 제외),육가공제품
335,(주)씨엔케이테크놀로지,제조업,1228629261,"인천광역시 부평구 새벌로 45, 3층 (청천동)",운송장비 조립용 플라스틱제품 제조업 외 1 종,기구부품케이스
336,(주)씨엠테크,제조업,8568801337,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제씨동 2층 211호",경 인쇄업 외 1 종,"아크릴 가공품, 포캑스 가공품, 목재 가공품 외"
337,(주)아띠셀팩토리,제조업,2898701603,"인천광역시 부평구 세월천로30번길 47, 402호(청천동)",화장품 제조업 외 1 종,화장품
338,(주)아라실업,제조업,4548802256,인천광역시 부평구 마장로473번길 22(청천동),기타 조명장치 제조업,LED 녹색성장등 외
339,(주)아르펠,제조업,1248618057,인천광역시 부평구 세월천로 227 (청천동),기타 가정용 전기기기 제조업 외 10 종,"자동빨래건조기기, 위생용품(금속, 플라스틱 외) "
340,(주)아리엘코퍼레이션,제조업,1228194694,인천광역시 부평구 세월천로 224 (청천동),기타 음향기기 제조업,카오디오(앰프)
341,(주)아리웍스,제조업,7878602486,"인천광역시 부평구 백범로577번길 20, 626호(십정동, 경인센타)",액정 표시장치 제조업,키오스크
342,(주)아리웍스,제조업,7878602486,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 6층 621호",액정 표시장치 제조업,키오스크
343,(주)아메리칸트레이,제조업,7078801976,"인천광역시 부평구 부평대로313번길 32, 1층(청천동)",천연 및 혼합조제 조미료 제조업 외 1 종,식품(소스류)
344,(주)아미스,제조업,1308674656,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 9층 906호 외 1필지",기타 무선 통신장비 제조업,무전기
345,(주)아미코인터내셔날,제조업,1208750047,"인천광역시 부평구 부평대로 337 5층 545호 (청천동, 부평 제이타워3차 지식산업센터) 5층 545호",기타 식사용 가공처리 조리식품 제조업,매콤 코다리조림
346,(주)아스트라코팅 인천지점,제조업,3348501573,"인천광역시 부평구 세월천로 211, C동 2층(청천동, 와이지 원)",도장 및 기타 피막처리업,금형 도장 및 피막처리
347,(주)아영하이텍스,제조업,1228637247,"인천광역시 부평구 평천로53번길 15, A동1,2층 (청천동)",편조원단 제조업,내의류원단
348,(주)아웃쿡,제조업,1318632377,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 5층 551호",수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,워킹쿡
349,(주)아이거텍,제조업,8418802163,"인천광역시 부평구 부평대로 337, 8층 830호(청천동, 부평 제이타워3차 지식산업센터) 8층 830호",기타 무선 통신장비 제조업,통신기기 부품
350,(주)아이문,제조업,4938601073,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 4층 408-B호",주방용 전기기기 제조업,랜지후드
351,(주)아이북스,제조업,1228623189,인천광역시 부평구 부평대로329번길 21 (청천동),제책업 외 2 종,그림책
352,(주)아이비기술,제조업,1228523412,"인천광역시 부평구 평천로 251, 1층 (청천동)",분말 야금제품 제조업,"분말 사출 성형 부품(휴대폰, 시계 외장, 의료)"
353,(주)아이센서코리아,제조업,1318160882,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제디동 17층 1717호",기기용 자동측정 및 제어장치 제조업,"온도센서기, 습도센서 외"
354,(주)아이씨텍,제조업,1398112462,인천광역시 부평구 백범로578번길 31 (십정동),주방용 전기기기 제조업,전열부품
355,(주)아이에이,제조업,2118199077,인천광역시 부평구 부평대로329번길 26 (청천동),경성 인쇄회로기판 제조업,전장모듈
356,(주)아이에이,제조업,2118199077,"인천광역시 부평구 부평대로329번길 26, 2층(청천동)",전자부품 실장기판 제조업 외 1 종,INTELLIGENT BATTERY SYSTEM 모듈
357,(주)아이에이파워트론,제조업,4028151626,"인천광역시 부평구 안남로402번길 25, 2층 (청천동)",그 외 자동차용 신품 부품 제조업 외 4 종,IGBT Modules
358,(주)아이에이파워트론,제조업,4028151626,인천광역시 부평구 부평대로329번길 26 (청천동),그 외 자동차용 신품 부품 제조업 외 5 종,자동차부품(파워모듈)
359,(주)아이오아이,제조업,1218701699,"인천광역시 부평구 부평대로 293, 802, 1109호 (청천동, 부평테크시티) 802, 1109호",전시용 모형 제조업 외 4 종,"전시용 모형, 전시 및 광고용 조명장치, 간판 및 광고물 , 전시 및 광고용 조명장치, 옥외 및 전시 광고 "
360,(주)아이오테크,제조업,3868103045,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) C동 13층 1301호 외 1필지",배전반 및 전기 자동제어반 제조업,자동제어반
361,(주)아이웰니스,제조업,8498800024,"인천광역시 부평구 부평대로 337, 1층 103호(청천동, 부평 제이타워3차 지식산업센터) 1층 103호 외 4필지",그 외 기타 의료용 기기 제조업,의료기기(도수치료기)
362,(주)아이웰니스,제조업,1058184997,"인천광역시 부평구 부평대로 337, 1층 103호(청천동, 부평 제이타워3차 지식산업센터) 1층 103호",그 외 기타 일반목적용 기계 제조업,의료기기
363,(주)아이존,제조업,1228600871,"인천광역시 부평구 안남로402번길 80, 423-1 (청천동)",인형 및 장난감 제조업,완구
364,(주)아이케이엠씨,제조업,1228190704,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 2층 209호",기타 음향기기 제조업,HEADSET
365,(주)아이크루컴퍼니,제조업,7138801345,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) A동 7층 706호",그 외 기타 달리 분류되지 않은 제품 제조업,키오스크
366,(주)아크로만,제조업,1398135112,"인천광역시 부평구 평천로115번길 25, 102호 (청천동)",절삭가공 및 유사처리업,통신장비 모듈
367,(주)아크리비스코리아,제조업,1308654664,인천광역시 부평구 부평북로 81 (청천동),산업용 로봇 제조업,산업용 직교좌표로롯 및 자동화기기
368,(주)아크릴몰,제조업,1228630720,인천광역시 부평구 부평북로 115 (청천동),그 외 기타 플라스틱 제품 제조업,아크릴판 액자
369,(주)아트커버,제조업,1228642508,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 5층 511호",기타 인쇄업 외 1 종,휴대폰기기 및 전사프린팅
370,(주)알비에스,제조업,7928800392,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 314호,기타 가정용 전기기기 제조업,전기전자부분품(미용기기)
371,(주)알앤아이,제조업,1308640229,"인천광역시 부평구 부평대로 337, 6층 613호(청천동, 부평 제이타워3차 지식산업센터) 6층 613호 외 1필지",방송장비 제조업 외 1 종,cctv영상감시장치
372,(주)알파라인,제조업,1228170902,"인천광역시 부평구 길주로547번길 5 (갈산동, 두리빌딩)","전기회로 개폐, 보호장치 제조업 외 2 종","계전기, 전기신호식호출기기"
373,(주)애니원상사,제조업,1228187795,"인천광역시 부평구 새벌로 29, 7층 714호(청천동) 7층 714호",그 외 기타 전자부품 제조업,"음향기기, 전자부품"
374,(주)애드게이트랩 부평지점,제조업,1228547919,"인천광역시 부평구 충선로 102,  2동2층 (부개동)",간판 및 광고물 제조업 외 8 종,"현수막, 간판 "
375,(주)애드리온,제조업,1358634381,인천광역시 부평구 부평북로236번길 49 (청천동),기타 전기 변환장치 제조업,SMPS
376,(주)애드마켓,제조업,1098634500,인천광역시 부평구 평천로153번길 22 (청천동),간판 및 광고물 제조업,광고물
377,(주)앤비앤코퍼레이션,제조업,1058185341,"인천광역시 부평구 안남로417번길 17, 3층 (청천동)","근무복, 작업복 및 유사의복 제조업 외 4 종",의류
378,(주)앤케이테크놀러지,제조업,8058700328,"인천광역시 부평구 부평대로 301, 4층 403호 (청천동, 남광센트렉스) 4층 403호",반도체 제조용 기계 제조업,반도체 장비
379,(주)야팩토리랩,제조업,1628501814,"인천광역시 부평구 부평대로 337, 8층 808호(청천동, 부평 제이타워3차 지식산업센터) 8층 808호",식품 위생용 종이 상자 및 용기 제조업,식품위생용 종이상자
380,(주)양우툴텍,제조업,1078156196,인천광역시 부평구 부평북로 181 (청천동),절삭가공 및 유사처리업,절삭공구(컷터)
381,(주)얼라이브즈,제조업,4898601564,"인천광역시 부평구 안남로434번길 70 (청천동) 1,2층",그 외 기타 플라스틱 제품 제조업,고무매트
382,(주)에너지코리아,제조업,1218167802,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 7층 702호",가정용 전기 난방기기 제조업,패널
383,(주)에니아이,제조업,1538102131,인천광역시 부평구 부평대로297번길 73 (청천동),음ㆍ식료품 및 담배 가공기계 제조업,알파그릴
384,(주)에듀온,제조업,2158549975,"인천광역시 부평구 안남로 408, 4층 (청천동)",공기 조화장치 제조업 외 1 종,공기순환기
385,(주)에스더블유몰드,제조업,1228634653,인천광역시 부평구 부평북로 126-10 (청천동) (총 2 필지),주형 및 금형 제조업 외 1 종,"금형, 기계제작"
386,(주)에스디하이텍,제조업,1228154858,인천광역시 부평구 평천로141번길 44 (청천동),운송장비 조립용 플라스틱제품 제조업 외 3 종,"금형,플라스틱사출물, 컴퓨터"
387,(주)에스브이엠,제조업,4528102246,"인천광역시 부평구 백범로577번길 20, 공장동 437, 438호(십정동, 경인센타)",그 외 기타 일반목적용 기계 제조업,"자판기, 키오스크"
388,(주)에스쓰리알,제조업,4038148385,"인천광역시 부평구 안남로418번길 10, 4층 (청천동)",컴퓨터 제조업,컴퓨터 제품
389,(주)에스알티,제조업,1228634046,인천광역시 부평구 서달로298번길 67 (청천동) (총 3 필지),도장 및 기타 피막처리업,가스렌지부품(법랑)
390,(주)에스에스에너지,제조업,3178701271,인천광역시 부평구 부평북로236번길 12 (청천동) 2층,그 외 기타 특수목적용 기계 제조업,"살균버블발생기, 오존살균수시 등"
391,(주)에스에스케이,제조업,1078677954,"인천광역시 부평구 부평대로 337, 3층 323호(청천동, 부평 제이타워3차 지식산업센터) 3층 323호 외 1필지",기타 가정용 전기기기 제조업 외 3 종,환풍기 등
392,(주)에스에이치테크,제조업,8818100276,"인천광역시 부평구 부평대로 301 8층 804호 (청천동, 남광센트렉스) 8층 804호",그 외 기타 전자부품 제조업 외 1 종,콘넥터
393,(주)에스에이치텍,제조업,1228623350,인천광역시 부평구 안남로417번길 17(청천동),플라스틱 필름 제조업,필름 테이프
394,(주)에스에치테크놀로지,제조업,4718701328,"인천광역시 부평구 주부토로 236,(갈산동) 제디동 17층 1704호",유선 통신장비 제조업 외 3 종,CCTV 감시장치 외
395,(주)에스엔디테크,제조업,1308675150,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 2층 211호 외 1필지",유선 통신장비 제조업 외 2 종,"울타리 신호 분석기, LTE전송기, 가스감지기, 열화상카메라 외"
396,(주)에스엠몰드,제조업,8788800115,"인천광역시 부평구 부평대로329번길 59, 416-3 (청천동)",주형 및 금형 제조업,"금형,몰드베이스외"
397,(주)에스엠알효상,제조업,1308129122,인천광역시 부평구 청천마차로 102(청천동),그 외 자동차용 신품 부품 제조업 외 3 종,"자동차 백밀러, 구동장치"
398,(주)에스엠지,제조업,1228607869,인천광역시 부평구 백범로577번길 15-18 (십정동),그 외 기타 플라스틱 제품 제조업,하수구악취차단장치 외
399,(주)에스엠티엔씨,제조업,1228605202,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 8층 822호",유선 통신장비 제조업 외 5 종,"매트릭스, 콘트롤러, CCTV 외"
400,(주)에스이엔,제조업,2128701151,인천광역시 부평구 부평대로329번길 32 (청천동),그 외 기타 일반목적용 기계 제조업 외 1 종,"자동화 설비, 와이어하네스"
401,(주)에스제이금속,제조업,1228632131,"인천광역시 부평구 안남로402번길 25, 418-6 (청천동)","탭, 밸브 및 유사장치 제조업 외 3 종","강관배관연결구,철강관연결부품"
402,(주)에스지아이티,제조업,3878801054,"인천광역시 부평구 평천로199번길 16, 1층 102호(청천동)",기타 전기 변환장치 제조업 외 3 종,"전기차 충전기, 전기차 충전기 캐노피"
403,(주)에스코어,제조업,1228635458,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 5층 510-B호",기타 조명장치 제조업 외 6 종,유량계 외
404,(주)에스큐테크,제조업,1228186888,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 12층 1203호",금속 절삭기계 제조업,코팅설비부품
405,(주)에스테크이앤씨,제조업,1228640738,인천광역시 부평구 백범로577번길 17 (십정동),공기 조화장치 제조업,환기시스템
406,(주)에스티아이에스,제조업,6208600318,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 5층 510-B호",응용 소프트웨어 개발 및 공급업,응용프로그램
407,(주)에스피에스유,제조업,1308685788,"인천광역시 부평구 새벌로 29, 2층 207호(청천동, 부평테크노타워) 2층 207호",변압기 제조업,전원공급장치(Trans former)
408,(주)에이럭스 인천지점,제조업,7238502340,인천광역시 부평구 부평대로329번길 86 (청천동),무인 항공기 및 무인 비행장치 제조업 외 1 종,교육용 드론 등
409,(주)에이런,제조업,6018136483,"인천광역시 부평구 부평북로 181, 301호 (청천동)",액체 여과기 제조업,여과장비시스템
410,(주)에이비스튜디오,제조업,1708100157,"인천광역시 부평구 평천로255번길 38, 3층 (청천동)",여자용 겉옷 제조업,의류
411,(주)에이스타하이테크,제조업,2108178405,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 4층 411호",방송장비 제조업,"CCTV, 영상감시장치"
412,(주)에이씨에스시스템,제조업,8298801863,"인천광역시 부평구 부평대로 337, 1층 123호(청천동, 부평 제이타워3차 지식산업센터) 1층 123호 외 1필지",배전반 및 전기 자동제어반 제조업,계측 및 시스템 장치
413,(주)에이앤비,제조업,1308196747,인천광역시 부평구 평천로199번길 16 (청천동),일반철물 제조업 외 2 종,"기계,전자부품, 기능성 힌지"
414,(주)에이엔엘코퍼레이션,제조업,1108607930,"인천광역시 부평구 부평북로236번길 49, 2층 (청천동)",그 외 기타 의료용 기기 제조업,전자
415,(주)에이엠티-엠,제조업,1228554609,인천광역시 부평구 새벌로 50 (청천동),운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차부품
416,(주)에이원이앤씨,제조업,1228187719,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 3층 311호",공기 조화장치 제조업 외 1 종,냉각탑제조
417,(주)에이원전자,제조업,8778601363,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 7층 722호",기타 반도체소자 제조업,필터 교체용 알림 센서
418,(주)에이치엔씨테크놀러지,제조업,1228641760,"인천광역시 부평구 무네미로448번길 56, 산학협력단 별관 209호 (구산동, 폴리텍Ⅱ대학)",광섬유 케이블 제조업,플라스틱 광섬유
419,(주)에이치플러스몰,제조업,1228625760,"인천광역시 부평구 부평대로 301 8층 801호 (청천동, 남광센트렉스) 8층 801호 외 1필지",시스템 소프트웨어 개발 및 공급업,소프트웨어개발
420,(주)에이치플러스몰 2공장,제조업,1228625760,"인천광역시 부평구 부평대로 301 6층 616호 (청천동, 남광센트렉스) 6층 616호",시스템 소프트웨어 개발 및 공급업,프로그램
421,(주)에이치플러스몰 3공장,제조업,1221274412,"인천광역시 부평구 부평대로 301 3층 308-2호 (청천동, 남광센트렉스) 3층 308-2호",시스템 소프트웨어 개발 및 공급업,소프트웨어개발
422,(주)에이피에스코포레이션,제조업,1078151357,"인천광역시 부평구 부평대로 301 5층 506호 (청천동, 남광센트렉스) 5층 506호",전기경보 및 신호장치 제조업 외 2 종,"주차관제,주차장용,신호장치"
423,(주)에코쎄미텍,제조업,6268600034,"인천광역시 부평구 부평대로 301 8층 820호 (청천동, 남광센트렉스) 8층 820호 외 2필지",발광 다이오드 제조업 외 1 종,반도체 파워모듈
424,(주)에코프랜드리,제조업,8278101500,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 4층 431호",그 외 기타 특수목적용 기계 제조업,음식물쓰레기 처리기
425,(주)에코프로비,제조업,7288701826,인천광역시 부평구 주부토로 267(갈산동),침구 및 관련제품 제조업 외 26 종,남자용 및 여자용 정장 외 
426,(주)에코프로비,제조업,7288701826,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 에이동 7층 701호 외 1필지",침구 및 관련제품 제조업 외 30 종,"겉옷, 작업복, 근무복, 잡화 외"
427,(주)에프디코리아,제조업,1218625035,인천광역시 부평구 부평북로 191 (청천동) 2층,기타 직물제품 제조업,일회용 마스크
428,(주)에프에스코리아,제조업,2108119217,"인천광역시 부평구 부평대로 337 (청천동) 1144,1145,1146호",포장용 플라스틱 성형용기 제조업,화장품 용기
429,(주)에프티에스,제조업,4088177041,"인천광역시 부평구 주부토로 236, 제디동 1905호(갈산동, 인천테크노밸리 U1센터) 제디동 1905호",전자감지장치 제조업 외 3 종,"실탄 영상사격 장비, 실탄사격장비, 특수방탄시설, 표적기 등"
430,(주)엑사,제조업,1078191683,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 11층 1110호 외 1필지",그 외 기타 유리제품 제조업 외 1 종,크리스탈 레이져 가공
431,(주)엔디와이,제조업,1308625363,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 8층 810호",공기 조화장치 제조업 외 5 종,"항온항습기, 열교환가, 냉각기, 공조기기 소프트웨어 등"
432,(주)엔디와이,제조업,1308625363,"인천광역시 부평구 부평대로 283, C동 B2층 B207 (청천동, 부평 우림라이온스밸리)",공기 조화장치 제조업 외 6 종,항온항습기
433,(주)엔비케이글로벌,제조업,3758501991,"인천광역시 부평구 청천마차로 192, 1층 (청천동)",그 외 기타 고무제품 제조업,고무제품
434,(주)엔에스텍,제조업,1228639094,"인천광역시 부평구 안남로402번길 26, 외 1필 3층 (청천동)",액정 표시장치 제조업,"산업용 양,면테이프"
435,(주)엔트위즈커머스,제조업,4218802222,"인천광역시 부평구 부평대로 337, 8층 836호(청천동, 부평 제이타워3차 지식산업센터) 8층 836호",배합 사료 제조업,두부모래
436,(주)엘도라,제조업,5508701655,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 7층 717호,기타 직물제품 제조업,마스크
437,(주)엘라이텍,제조업,5368100338,"인천광역시 부평구 일신로8번길 11, 지하 4호(일신동, 진양빌딩)",일반용 전기 조명장치 제조업,LED조명등기구
438,(주)엘림환경,제조업,1398129037,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 6층 601호",기체 여과기 제조업 외 1 종,기체여과기
439,(주)엘앤티,제조업,1228175678,인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 B동 3층 306호,"탭, 밸브 및 유사장치 제조업",Connection Valve
440,(주)엘에스조명,제조업,1308643871,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 511호",일반용 전기 조명장치 제조업,조명기구
441,(주)엘엔피인더스트리,제조업,4318100542,"인천광역시 부평구 부평대로 337, 7층 714호(청천동, 부평 제이타워3차 지식산업센터) 7층 714호",기타 일반 기계 및 장비 수리업,산업기계 수리
442,(주)엘이디 힘,제조업,3960302574,"인천광역시 부평구 부평대로 337, 1층 120호 (청천동, 부평 제이타워3차 지식산업센터) 1층 120호",전시 및 광고용 조명장치 제조업 외 1 종,"전자기기, LED전광판, 전광판 스코아판, 기상전광판 등, 전자기기, LED전광판, 전광판 스코아판, 기상전광판 등"
443,(주)엘이디헤븐,제조업,4188153949,"인천광역시 부평구 부평대로 337 (청천동) 409,410호",일반용 전기 조명장치 제조업,조명등
444,(주)엘지생활건강,제조업,1078198143,인천광역시 부평구 백범로604번길 22 (십정동),화장품 제조업,화장품
445,(주)엘피케이로보틱스,제조업,1418100616,"인천광역시 부평구 부평대로329번길 86, 1층 (청천동)",산업용 로봇 제조업,산업용로봇
446,(주)엠그린,제조업,1308644190,"인천광역시 부평구 부평대로 283, C동 8층 804 (청천동, 부평 우림라이온스밸리)","체조, 육상 및 체력단련용 장비 제조업 외 1 종","체육시설,의료기기"
447,(주)엠씨알,제조업,3388801464,"인천광역시 부평구 세월천로30번길 47, 302호 (청천동)",그 외 기타 분류 안된 섬유제품 제조업,"생활용품(욕실용품, 세차용품, 청소용품 등)"
448,(주)엠에스코,제조업,2068665605,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제시동 9층 913호 외 1필지",기타 가정용 전기기기 제조업,가정용 미용기기
449,(주)엠에이코리아,제조업,6618600658,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 619호,그 외 기타 분류 안된 금속 가공 제품 제조업,마그네틱 부분품
450,(주)엠엔씨엔지니어링,제조업,1228198706,인천광역시 부평구 안남로 425-10 (청천동),"물질 검사, 측정 및 분석기구 제조업 외 3 종",산업용유량계
451,(주)엠제이케이,제조업,1358168741,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 9층 907호",방송장비 제조업 외 4 종,"비디오 서버, 제머, 전화기"
452,(주)엠제이피엔아이 1공장,제조업,1228198064,"인천광역시 부평구 부평대로 283, B동 B1층 B106 (청천동, 부평 우림라이온스밸리)",그 외 기타 전자부품 제조업 외 1 종,전자부품
453,(주)엠지테크,제조업,1228635915,인천광역시 부평구 백범로603번길 7 (십정동),반도체 제조용 기계 제조업,반도체기계부품
454,(주)엠케이코리아다이스,제조업,7378600052,"인천광역시 부평구 평천로199번길 53, C동 2층 (청천동)",자동차용 금속 압형제품 제조업 외 1 종,공업용다이아몬드다이스
455,(주)엠테크놀러지 부평지점,제조업,1498501636,"인천광역시 부평구 부평대로 337, 3층 329호(청천동, 부평 제이타워3차 지식산업센터) 3층 329호",그 외 기타 의료용 기기 제조업,의료 흡인기
456,(주)엠텍오토,제조업,6598700986,인천광역시 부평구 새벌로 12 (청천동),그 외 자동차용 신품 부품 제조업,자동차부품
457,(주)엠티에스솔루션스,제조업,6538102761,"인천광역시 부평구 부평대로 337, 10층 1031호(청천동, 부평 제이타워3차 지식산업센터) 10층 1031호",커피 가공업,커피원두
458,(주)역산정공,제조업,1228178205,"인천광역시 부평구 부평대로 301, 2층 202호 (청천동, 남광센트렉스) 2층 202호 외 3필지",절삭가공 및 유사처리업 외 2 종,호환성 절삭공구
459,(주)영남금속,제조업,7718700971,"인천광역시 부평구 항동로125번길 7, A동 1층 2호 (일신동)",볼트 및 너트류 제조업,유볼트
460,(주)영메디칼바이오,제조업,1308194657,인천광역시 부평구 부평북로 231 (청천동),가정용 전기 난방기기 제조업 외 1 종,"전기매트, 전기방석, 개인용조합자극기, 개인용온열기기"
461,(주)영성시스템,제조업,1228635351,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B111호",배전반 및 전기 자동제어반 제조업,전기용품(제어판)
462,(주)영진금형,제조업,1198108358,인천광역시 부평구 평천로115번길 35 (청천동),주형 및 금형 제조업,플라스틱 정밀제품
463,(주)영진솔루텍,제조업,1228643598,"인천광역시 부평구 부평대로 301 7층 707호 (청천동, 남광센트렉스) 7층 707호",그 외 기타 특수목적용 기계 제조업 외 1 종,감압기
464,(주)영진에스피산업,제조업,2068195609,인천광역시 부평구 새벌로 28 (청천동),"플라스틱 선, 봉, 관 및 호스 제조업",고정틀
465,(주)영진전자,제조업,1228633993,"인천광역시 부평구 부평대로 301 4층 401호 (청천동, 남광센트렉스) 4층 401호 외 1필지",전자축전기 제조업,"전자부품, 전자축전기제조"
466,(주)영현무역,제조업,1138158544,"인천광역시 부평구 백범로577번길 15-22 (십정동) 1동, 2층",기타 직물제품 제조업,보건용 마스크
467,(주)예서,제조업,8528501620,"인천광역시 부평구 부평대로 337 1층 131호 (청천동, 부평 제이타워3차 지식산업센터) 1층 131호 외 1필지",부직포 및 펠트 제조업,반도체 금형 청소제품
468,(주)예서,제조업,1228633770,"인천광역시 부평구 부평대로 301 8층 818-2호 (청천동, 남광센트렉스) 8층 818-2호",그 외 기타 전자부품 제조업 외 1 종,반도체 금형 세제
469,(주)예스뷰티,제조업,1228167921,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B213호 외 2필지",기타 가정용 전기기기 제조업,전기미용기
470,(주)예스뷰티,제조업,1228167921,인천광역시 부평구 부평북로 169 (청천동),기타 가정용 전기기기 제조업,전기미용기
471,(주)예일전자,제조업,1308195151,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 2층 202호",그 외 기타 전자부품 제조업 외 1 종,YOKE
472,(주)오늘은푸드,제조업,7728802436,인천광역시 부평구 부평북로 1(청천동),기타 수산동물 가공 및 저장 처리업,"게장, 새우장, 주꾸미 등"
473,(주)오디에이테크놀로지,제조업,1228605459,인천광역시 부평구 부평대로329번길 62 (청천동),"전자기 측정, 시험 및 분석기구 제조업 외 6 종","프로그래머블 DC 파워서플라이, 프로그래머블 DC 일렉트로닉 로드, SYSTEM INTEGRATION"
474,(주)오디에이테크놀로지 2공장,제조업,1228605459,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 9층 909호",기타 전기 변환장치 제조업 외 1 종,DC POWER SUPPLY
475,(주)오메이리더스,제조업,1308607666,인천광역시 부평구 안남로402번길 80 (청천동),플라스틱 필름 제조업 외 1 종,합성수지
476,(주)오성특수강,제조업,1308144249,"인천광역시 부평구 안남로402번길 58, 2층 (청천동)",그 외 기타 1차 철강 제조업,철강 재절단
477,(주)오소,제조업,6418700739,"인천광역시 부평구 부평대로297번길 96, 3층 (청천동)",플라스틱 접착처리 제품 제조업 외 1 종,화장품용기코팅
478,(주)오아이씨코리아,제조업,1308661170,인천광역시 부평구 안남로369번길 12 (청천동),컴퓨터 모니터 제조업 외 7 종,LCD모니터 외  출입통제시스템 및 안내전광판 등
479,(주)오정엠앤피,제조업,1318618109,"인천광역시 부평구 부평북로236번길 49, 1층 (청천동)",주형 및 금형 제조업,금형
480,(주)오토메스,제조업,1308616281,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 4층 401호",자동차 차체용 신품 부품 제조업 외 1 종,자동차 차체용지그
481,(주)오토싱,제조업,1198601307,"인천광역시 부평구 부평대로329번길 42, 4층 (청천동)",기타 가정용 전기기기 제조업,청소기
482,(주)옥희네수산,제조업,2538600097,"인천광역시 부평구 영성로 88, 나동 206호 207호 (삼산동)",수산동물 냉동품 제조업,수산물 가공품
483,(주)온누리에스앤에이치,제조업,1228625469,"인천광역시 부평구 부영로35번길 18, 1층 (부평동)",가정용 전기 난방기기 제조업,가정용 전기 난방기
484,(주)옳은,제조업,3188700182,"인천광역시 부평구 청천마차로 74(청천동, 다원정밀)",그 외 기타 식료품 제조업 외 1 종,"샐러드, 샌드위치, 도시락"
485,(주)옵토니카,제조업,1078187665,"인천광역시 부평구 부평북로236번길 49, 2층 (청천동)",발광 다이오드 제조업 외 3 종,LED소자
