순번,회사명,공장대표주소(도로명),업종명,생산품,데이터기준일
56,대한항공씨앤디서비스 주식회사,인천광역시 중구 운서동 2840-13번지 (대한항공 기내식시설A),도시락류 제조업 외 1 종,기내식,2025-05-27
57,동화기업(주),인천광역시 중구 월미로 164 (북성동1가),강화 및 재생 목재 제조업 외 3 종,PB,2025-05-27
58,디와이텍,인천광역시 중구 신흥동3가 42-64번지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 브라켓트,2025-05-27
59,디티지코리아,"인천광역시 중구 축항대로296번길 56-45, 2층 (신흥동3가)",속도계 및 적산계기 제조업 외 2 종,"차량운행기록계, 소형기기충전, 기타자동차부품",2025-05-27
60,라이온코리아(주),인천광역시 중구 서해대로140번길 23 (신흥동3가),계면활성제 제조업 외 2 종,"치약, 비누, 화장품, 세제류, 활성제",2025-05-27
61,미산네트워크,인천광역시 중구 신흥동3가 43-41번지,그 외 기타 플라스틱 제품 제조업,사무용가구부품,2025-05-27
62,미소식품 (주),인천광역시 중구 서해대로93번길 14-6(항동7가),수산동물 냉동품 제조업,수산동물냉동품 제조(순살고등어),2025-05-27
63,벤다선광공업(주),인천광역시 중구 서해대로 163 (항동7가) 외 4필지,그 외 자동차용 신품 부품 제조업,플라이휠 링기어,2025-05-27
64,브이씨센타,인천광역시 중구 연안부두로107번길 23 (항동7가),선박 구성 부분품 제조업,선박구성부품,2025-05-27
65,샤다이바이오,인천광역시 중구 늘목로39번길 1(을왕동),단미 사료 및 기타 사료 제조업,"단미사료(양축용 : 슈퍼비, 그린비)",2025-05-27
66,샤프도앤코코리아 유한회사,"인천광역시 중구 공항동로465번길 84(운서동, 샤프도앤코코리아(유)기내식시설)",도시락류 제조업 외 1 종,즉석도시락,2025-05-27
67,선두수산,인천광역시 중구 서해대로180번길 49 (신흥동3가),수산동물 냉동품 제조업,냉동수산물,2025-05-27
68,성광디자인(주),인천광역시 중구 도원서길 53 (유동),기타 인쇄업 외 1 종,옵셋인쇄,2025-05-27
69,성광인쇄소,인천광역시 중구 샛골로 53 (도원동),경 인쇄업 외 2 종,인쇄물,2025-05-27
70,수협중앙회 급식사업본부,인천광역시 중구 축항대로 50 (항동7가),수산동물 냉동품 제조업 외 2 종,"냉동품,얼음",2025-05-27
71,신광인쇄사,인천광역시 중구 중앙동2가 19번지,기타 인쇄업 외 1 종,인쇄물,2025-05-27
72,신한철강공업(주),"인천광역시 중구 축항대로296번길 156 (신흥동3가, 신한철광공업㈜)",강관 제조업 외 1 종,"선박부분품, 강관",2025-05-27
73,쌍용레미콘(주)인천사업소,"인천광역시 중구 서해대로93번길 26 (항동7가, 쌍용양회공업㈜)",레미콘 제조업,레미콘,2025-05-27
74,씨제이제일제당(주)인천1공장,"인천광역시 중구 아암대로 20 (신흥동3가, CJ제일제당)",설탕 제조업 외 3 종,설탕,2025-05-27
75,씨제이제일제당(주)인천2공장,"인천광역시 중구 서해대로140번길 49 (신흥동3가, CJ제일제당㈜)",식용 정제유 및 가공유 제조업 외 3 종,"식용유,참기름,사료",2025-05-27
76,씨제이제일제당(주)인천3공장,"인천광역시 중구 축항대로87번길 30 (항동7가, 삼양유지(주))",식용 정제유 및 가공유 제조업 외 1 종,식용유,2025-05-27
77,씨제이제일제당(주)인천냉동식품공장,"인천광역시 중구 서해대로 168 (신흥동3가, 씨제이제일제당㈜)",기타 수산동물 가공 및 저장 처리업 외 9 종,냉동식품,2025-05-27
78,씨제이피드앤케어(주)인천공장,인천광역시 중구 서해대로140번길 49 (신흥동3가),배합 사료 제조업,배합사료,2025-05-27
79,아바테크,인천광역시 중구 축항대로296번길 60-20 (신흥동3가),주형 및 금형 제조업 외 1 종,"프레스금형, 온수기",2025-05-27
80,엔프라니(주),"인천광역시 중구 서해대로140번길 49 (신흥동3가, CJ제일제당㈜)",화장품 제조업,화장품,2025-05-27
81,엘에스지스카이셰프코리아(주),"인천광역시 중구 공항동로465번길 108(운서동, 엘에스지스카이셰프)",도시락류 제조업 외 1 종,기내식,2025-05-27
82,여수스크류,인천광역시 중구 축항대로 71 (항동7가),선박 구성 부분품 제조업,"선박스크류, 샤프트",2025-05-27
83,우진특장,인천광역시 중구 축항대로290번길 114 (신흥동3가),차체 및 특장차 제조업,특장차 및 관련부품,2025-05-27
84,우창기계공업사,인천광역시 중구 연안부두로75번길 14 (항동7가),선박 구성 부분품 제조업,선박구성부분품 제조 및 선박수리,2025-05-27
85,원일종합설비,인천광역시 중구 연안부두로115번길 17-12 (항동7가),선박 구성 부분품 제조업,선박부분품,2025-05-27
86,웰토,인천광역시 중구 서해대로93번길 14-9 (항동7가),인형 및 장난감 제조업,아동용 공예점토(클레이),2025-05-27
87,윈윈수산식품 주식회사,인천광역시 중구 연안부두로107번길 16-2 (항동7가),기타 수산동물 가공 및 저장 처리업,노르웨이산 생연어 필렛가공품 및 소분팩,2025-05-27
88,으뜸아이에스 주식회사,"인천광역시 중구 서해대로483번길 39, 1층 (율목동)",방송장비 제조업,CCTV카메라,2025-05-27
89,은성엔지니어링,인천광역시 중구 축항대로291번길 36 (신흥동3가),내연기관 제조업 외 1 종,해상선박용엔진,2025-05-27
90,이디엔드에프만코리아(주),인천광역시 중구 축항대로87번길 25 (항동7가),배합 사료 제조업 외 1 종,액상사료,2025-05-27
91,이유푸드(주),"인천광역시 중구 축항대로290번길 155 (신흥동3가, 이유푸드인천공장)",육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,"육가공품, 도시락",2025-05-27
92,인성,인천광역시 중구 축항대로296번길 56-31 (신흥동3가),그 외 기타 1차 철강 제조업,"선풍기프레임, 접의식선반, 전기차충전기받침대",2025-05-27
93,인천국제공항공사,인천광역시 중구 운서동 2626번지 외 1필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,"Ditch Box, 배수암거, 우수집수조, U형 측구",2025-05-27
94,인천국제공항공사(신공항레미콘(주)),인천광역시 중구 운서동 2863-2번지,레미콘 제조업,레미콘,2025-05-27
95,인천국제공항공사(신공항아스콘(주)),"인천광역시 중구 영종해안북로702번길 115-96 (운서동, 쌍용양회공업(주))",아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2025-05-27
96,인천국제공항공사(쌍용레미콘(주)),"인천광역시 중구 영종해안북로702번길 115-95, 쌍용레미콘(주)영종도사업소(운서동)",레미콘 제조업,레미콘,2025-05-27
97,인천국제공항공사(영종아스콘(주)),"인천광역시 중구 영종해안북로 970, 외 5필지 (운서동)",아스팔트 콘크리트 및 혼합제품 제조업,아스콘,2025-05-27
98,인천듸젤,인천광역시 중구 연안부두로91번길 12 (항동7가),선박 구성 부분품 제조업,선박부품,2025-05-27
99,일해냉동,인천광역시 중구 항동7가 60번지,수산동물 냉동품 제조업 외 1 종,냉동품,2025-05-27
100,자연앤푸드,인천광역시 중구 연안부두로107번길 42 (항동7가),김치류 제조업,김치,2025-05-27
101,제일사료(주)인천공장,인천광역시 중구 서해대로209번길 69 (항동7가),배합 사료 제조업 외 1 종,사료,2025-05-27
102,제주어류양식수산업협동조합 인천수산물수출물류센터,"인천광역시 중구 축항대로296번길 35, 신흥동3가 36-35, 37-25(신흥동3가, 인천수산물수출물류센터)",기타 수산동물 가공 및 저장 처리업,활광어가공,2025-05-27
103,주식회사 경화기업,인천광역시 중구 서해대로210번길 34 (신흥동3가),기타 곡물 가공품 제조업,볶음참깨,2025-05-27
104,주식회사 동아테크솔루션,인천광역시 중구 제물량로 37 (신흥동3가),기타 음향기기 제조업 외 1 종,"스피커, 돔카메라, 스피커, 돔카메라",2025-05-27
105,주식회사 디디엠,인천광역시 중구 서해대로180번길 33 (신흥동3가),자동차 재제조 부품 제조업,캘리퍼,2025-05-27
106,주식회사 디오씨,인천광역시 중구 우현로72번길 6 (용동),배전반 및 전기 자동제어반 제조업 외 3 종,"LED조명기구, 자동점멸기, 태양광가로등",2025-05-27
107,주식회사 마린파워,"인천광역시 중구 축항대로291번길 36, 가동 1층 (신흥동3가)",내연기관 제조업 외 1 종,"과급기, 하네스",2025-05-27
108,주식회사 비티모터스,인천광역시 중구 서해대로180번길 9(신흥동3가),차체 및 특장차 제조업,특장차제조,2025-05-27
109,주식회사 신영수산,인천광역시 중구 연안부두로75번길 4 (항동7가) 3층 1호,기타 수산동물 가공 및 저장 처리업,수산물 가공품,2025-05-27
110,주식회사 엘림기전,"인천광역시 중구 운중로 140-26 (중산동, 1동)",전동기 및 발전기 제조업 외 1 종,"발전기, 엔진양수기, 수중펌프",2025-05-27
