연번,회사명,공장대표주소,업종
1273,디엔피전자공업(주),인천광역시 부평구 부평북로 115 (청천동),"라디오, 녹음 및 재생 기기 제조업 외 1 종"
1274,디오라이팅,"인천광역시 부평구 부평대로329번길 3, 3층 (청천동)",일반용 전기 조명장치 제조업
1275,디오테크,"인천광역시 부평구 부평대로 337, 2층 225호 (청천동, 부평 제이타워3차 지식산업센터) 2층 225호",그 외 기타 특수목적용 기계 제조업
1276,디오텍,"인천광역시 부평구 부평대로 337 12층 1215호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1215호",기타 절연선 및 케이블 제조업
1277,디자인 수,"인천광역시 부평구 평천로255번길 13, 5층 508호(청천동) 5층 508호",간판 및 광고물 제조업
1278,디자인 청호,"인천광역시 부평구 부평대로 337, 4층 440호(청천동, 부평 제이타워3차 지식산업센터) 4층 440호",간판 및 광고물 제조업 외 15 종
1279,디자인마인,"인천광역시 부평구 부평대로 337, 4층 423호(청천동, 부평 제이타워3차 지식산업센터) 4층 423호",비주거용 건물 임대업
1280,디자인스톰,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 4층 446호",간판 및 광고물 제조업 외 4 종
1281,디자인케이,"인천광역시 부평구 부평대로 337, 10층 1022호 (청천동, 부평 제이타워3차 지식산업센터) 10층 1022호",간판 및 광고물 제조업
1282,디자인포휴먼,"인천광역시 부평구 부평대로 337, 2층 231호 (청천동, 부평 제이타워3차 지식산업센터) 2층 231호",비주거용 건물 임대업
1283,디지털팩토리,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 5층 508호",날염 가공업
1284,디케이,"인천광역시 부평구 부평대로 301 9층 911호 (청천동, 남광센트렉스) 9층 911호",컴퓨터 제조업
1285,디케이컴퍼니,"인천광역시 부평구 부평대로 337, 12층 1259호(청천동, 부평 제이타워3차 지식산업센터) 12층 1259호",비주거용 건물 임대업
1286,디패스트,인천광역시 부평구 평천로255번길 13 6층 602호  (청천동) 6층 602호,제품 디자인업 외 1 종
1287,디피네이션,"인천광역시 부평구 부평대로 293, 6층 605호 (청천동, 부평테크시티) 6층 605호",기타 인쇄업
1288,딥큐브(Deepcube),"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B112호",기타 광학기기 및 사진기 제조업 외 2 종
1289,라비아,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 6층 607호 외 1필지",합성수지 및 기타 플라스틱 물질 제조업 외 2 종
1290,라온디자인,"인천광역시 부평구 부평대로 337, 11층 1108호(청천동, 부평 제이타워3차 지식산업센터) 11층 1108호",비주거용 건물 임대업
1291,라온비즈컴(주),"인천광역시 부평구 부평대로 293, 12층 1215호 (청천동, 부평테크시티) 12층 1215호",기타 주변기기 제조업 외 1 종
1292,라온써미트,"인천광역시 부평구 부평대로 337, 6층 601호 (청천동, 부평 제이타워3차 지식산업센터) 6층 601호",비주거용 건물 임대업
1293,라온코리아,"인천광역시 부평구 부평대로 293, 11층 1105호(청천동, 부평테크시티) 11층 1105호",전자부품 실장기판 제조업
1294,라이프트론코리아 주식회사,"인천광역시 부평구 부평대로 301 4층 425호 (청천동, 남광센트렉스) 4층 425호",기타 가정용 전기기기 제조업
1295,라파,"인천광역시 부평구 평천로255번길 13, 3층 309호(청천동) 3층 309호",비주거용 건물 임대업
1296,래인엔지니어링코리아,"인천광역시 부평구 부평대로 301, 5층 521호 (청천동, 남광센트렉스) 5층 521호",주형 및 금형 제조업
1297,러브홈섬유,"인천광역시 부평구 부평문화로71번길 19, 러브홈빌딩 (부평동)",커튼 및 유사제품 제조업 외 2 종
1298,레드꽃게,"인천광역시 부평구 부평대로 337, 4층 415호 (청천동, 부평 제이타워3차 지식산업센터) 4층 415호","수산동물 훈제, 조리 및 유사 조제식품 제조업"
1299,레드런,인천광역시 부평구 부평북로 245 (청천동),포장용 플라스틱 성형용기 제조업
1300,레스큐프로,"인천광역시 부평구 부평대로 283, B동 8층 810 (청천동, 부평 우림라이온스밸리)",기타 직물제품 제조업
1301,레이저탑마킹,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 2층 205호",기타 인쇄관련 산업
1302,레호보트팩토리,"인천광역시 부평구 백범로577번길 20, 공장동동 5층 516호 (십정동, 경인센타) 공장동 5층 516호",과자류 및 코코아 제품 제조업
1303,로보웰 코리아,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 3층 302호",비주거용 건물 임대업
1304,로보웰코리아,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) A동 6층 609호",그 외 기타 전자부품 제조업
1305,로사그린,"인천광역시 부평구 부평대로 337, 7층 732호(청천동, 부평 제이타워3차 지식산업센터) 7층 732호","치약, 비누 및 기타 세제 제조업"
1306,롤텍,"인천광역시 부평구 부평대로 337, 1층 115호(청천동, 부평 제이타워3차 지식산업센터) 1층 115호 외 1필지",주형 및 금형 제조업
1307,롯데글로벌로지스(주),인천광역시 부평구 부평대로313번길 27 (청천동),일반 창고업
1308,롯데칠성음료(주),인천광역시 부평구 부평대로313번길 27 (청천동) 외 2필지,비주거용 건물 임대업
1309,루미닉스,"인천광역시 부평구 부평대로 283, C동 11층 1106 (청천동, 부평 우림라이온스밸리)",전구 및 램프 제조업
1310,리서치팩토리 주식회사,"인천광역시 부평구 부평대로 293, 8층 818호(일부) (청천동, 부평테크시티) 8층 818호",의학 및 약학 연구개발업
1311,리웍코리아,"인천광역시 부평구 부평대로 337, 5층 535호(청천동, 부평 제이타워3차 지식산업센터) 5층 535호 외 1필지",전기.전자 및 정밀기기 수리업
1312,리치코,"인천광역시 부평구 부평대로 293, 1층 B117호 (청천동, 부평테크시티) 1층 B117호",비주거용 건물 임대업
1313,린나이코리아(주) 2공장,"인천광역시 부평구 백범로577번길 48, 560-2번지 (십정동) 외 5필지",가정용 전기 난방기기 제조업 외 4 종
1314,림텍,"인천광역시 부평구 부평대로 337, 4층 431호(청천동, 부평 제이타워3차 지식산업센터) 4층 431호",배전반 및 전기 자동제어반 제조업
1315,링쿠,"인천광역시 부평구 부평대로 283, C동 12층 1210 (청천동, 부평 우림라이온스밸리)",그 외 기타 플라스틱 제품 제조업
1316,링쿠,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) B동 8층 805호",그 외 기타 플라스틱 제품 제조업
1317,마녀의부엌,"인천광역시 부평구 부평대로 301 7층 723호 (청천동, 남광센트렉스) 7층 723호 외 1필지",기타 비알코올 음료 제조업
1318,마루백,"인천광역시 부평구 부평대로 337, 9층 947호(청천동, 부평 제이타워3차 지식산업센터) 9층 947호 9층 947호",가방 및 기타 보호용 케이스 제조업
1319,마미쿨,"인천광역시 부평구 새벌로 29, 7층 705호(청천동, 부평테크노타워) 7층 705호",포장 및 충전업
1320,마스라인,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B235호 외 3필지",비주거용 건물 임대업
1321,마스라인제2공장,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 3층 305호",비주거용 건물 임대업
1322,마음안사람들,"인천광역시 부평구 부평대로 293, 7층 714호(청천동, 부평테크시티) 7층 714호 외 2필지",광고 대행업
1323,마이테크,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B104호",주형 및 금형 제조업
1324,마이토우,"인천광역시 부평구 부평대로 337, 2층 233호 (청천동, 부평 제이타워3차 지식산업센터) 2층 233호",그 외 금속파스너 및 나사제품 제조업
1325,마임하임,"인천광역시 부평구 부평대로 301, 9층 923호 (청천동, 남광센트렉스) 9층 923호",그 외 기타 플라스틱 제품 제조업
1326,만조원(주),"인천광역시 부평구 안남로369번길 50, 1층 (청천동)",천연 및 혼합조제 조미료 제조업
1327,맑음커뮤니케이션,"인천광역시 부평구 부평대로 337, 11층 1122호 (청천동, 부평 제이타워3차 지식산업센터) 11층 1122호",비주거용 건물 임대업
1328,매스콤시스템(주),"인천광역시 부평구 부평대로 337, 8층 841호(청천동, 부평 제이타워3차 지식산업센터) 8층 841호","레이더, 항행용 무선기기 및 측량기구 제조업"
1329,맥엔지니어링코퍼래이션,"인천광역시 부평구 부평대로313번길 32, 외 1필지 (청천동)",그 외 기타 특수목적용 기계 제조업 외 2 종
1330,멀티비젼,"인천광역시 부평구 부평대로 337, 12층 1206호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1206호",절연 코드세트 및 기타 도체 제조업
1331,메디멕스코리아,"인천광역시 부평구 부평대로 337, 7층 718호(청천동, 부평 제이타워3차 지식산업센터) 7층 718호",포장 및 충전업
1332,메디앤퓨쳐스,"인천광역시 부평구 새벌로 29 5층 514호 (청천동, 부평테크노타워) 5층 514호",디지털 적층 성형기계 제조업 외 4 종
1333,메이퀸,"인천광역시 부평구 부평대로 337, 9층 904호(청천동, 부평 제이타워3차 지식산업센터) 9층 904호 외 1필지",포장 및 충전업
1334,메이트코퍼레이션,"인천광역시 부평구 부평대로 337, 5층 520호(청천동, 부평 제이타워3차 지식산업센터) 5층 520호",그 외 기타 의복액세서리 제조업
1335,명성디자인,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 2층 211호",그 외 기타 플라스틱 제품 제조업
1336,명성정밀,"인천광역시 부평구 부평대로 337, 8층 843호 (청천동, 부평 제이타워3차 지식산업센터) 8층 843호",절삭가공 및 유사처리업 외 1 종
1337,명진테크,인천광역시 부평구 부평북로 197 (청천동),주형 및 금형 제조업
1338,명진프라텍,인천광역시 부평구 부평대로313번길 84 (청천동),"플라스틱 선, 봉, 관 및 호스 제조업"
1339,모든인터내셔널 주식회사,"인천광역시 부평구 부평대로329번길 22, 3층 (청천동)",침구 및 관련제품 제조업
1340,모리라이팅,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) B동 6층 611호",일반용 전기 조명장치 제조업
1341,모베이스썬스타(주),인천광역시 부평구 새벌로 39 (청천동),"기타 섬유, 의복 및 가죽 가공 기계 제조업"
1342,모션테크날로지(주),"인천광역시 부평구 부평대로329번길 42, 426-6,4층 (청천동)",그 외 기타 전자부품 제조업 외 5 종
1343,모스텍,"인천광역시 부평구 부평대로 337, 10층 1004호(청천동, 부평 제이타워3차 지식산업센터) 10층 1004호","탭, 밸브 및 유사장치 제조업"
1344,모아이엔지,"인천광역시 부평구 부평대로 337, 1층 134호 (청천동, 부평 제이타워3차 지식산업센터) 1층 134호",금속 절삭기계 제조업
1345,모트렉스이브이(주),"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 2층 213호",에너지 저장장치 제조업 외 2 종
1346,몰텍금형특수용접,인천광역시 부평구 부평대로313번길 84 (청천동),그 외 기타 금속가공업
1347,무드온,"인천광역시 부평구 부평대로 337, 12층 1233호 (청천동, 부평 제이타워3차 지식산업센터) 12층 1233호",인테리어 디자인업
1348,뮤직필드 인터내셔널,"인천광역시 부평구 부평대로 337, 12층 1252호(청천동, 부평 제이타워3차 지식산업센터) 12층 1252호",비주거용 건물 임대업
1349,미&풍경,"인천광역시 부평구 부평대로 337, 4층 401호 (청천동, 부평 제이타워3차 지식산업센터) 4층 401호",그 외 기타 플라스틱 제품 제조업
1350,미금산업,인천광역시 부평구 세월천로 208-10 (청천동),포장용 플라스틱 성형용기 제조업
1351,미디어아트,"인천광역시 부평구 부평대로 337, 3층 319호(청천동, 부평 제이타워3차 지식산업센터) 3층 319호",전기.전자 및 정밀기기 수리업 외 1 종
1352,미디어진영,인천광역시 부평구 일신로 20 (일신동),간판 및 광고물 제조업
1353,미라클오에이,"인천광역시 부평구 부평대로 337, 11층 1152호 (청천동, 부평 제이타워3차 지식산업센터) 11층 1152호",감광재료 및 관련 화학제품 제조업
1354,미래금속,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B1층 B133호",그 외 기타 금속가공업
1355,미래금속,"인천광역시 부평구 가재울로 129, 대방테크노타워 1공장 1동101호 (십정동, 테크노1공장)",수동식 식품 가공기기 및 금속 주방용기 제조업
1356,미래도장,인천광역시 부평구 서달로298번길 107 (청천동),도장 및 기타 피막처리업
1357,미래시스템,"인천광역시 부평구 안남로418번길 27, B동 301호 (청천동)",전기식 진단 및 요법 기기 제조업
1358,미래알앤비,"인천광역시 부평구 평천로255번길 13, 8층 802호 (청천동) 8층 802호",그 외 기타 의료용 기기 제조업
1359,미래테크,"인천광역시 부평구 부평대로 283, B동 3층 303호 (청천동, 부평 우림라이온스밸리)",그 외 기타 전자부품 제조업
1360,미래프로세스,"인천광역시 부평구 부평대로 293, 6층 604호 (청천동, 부평테크시티) 6층 604호",비주거용 건물 임대업
1361,미래피앤씨,인천광역시 부평구 안남로402번길 84 (청천동),그 외 기타 전자부품 제조업 외 1 종
1362,미래하이테크,인천광역시 부평구 부평북로 45 (청천동),"탭, 밸브 및 유사장치 제조업"
1363,미성산업,인천광역시 부평구 세월천로 204-9 (청천동),기체 여과기 제조업
1364,미소기획,"인천광역시 부평구 부평대로 337, 5층 539호(청천동, 부평 제이타워3차 지식산업센터) 5층 539호",제책업
1365,미솔,"인천광역시 부평구 부평대로 337, 1층 112호(청천동, 부평 제이타워3차 지식산업센터) 1층 112호",비주거용 건물 임대업
1366,미송전자,"인천광역시 부평구 평천로199번길 34, 3층 F-2호실(청천동)",전자부품 실장기판 제조업 외 1 종
1367,미주실업,"인천광역시 부평구 부평대로 337, 1층 101호(청천동, 부평 제이타워3차 지식산업센터) 1층 101호",비주거용 건물 임대업
1368,민영시스템,"인천광역시 부평구 부평대로 337, 10층 1017호 (청천동, 부평 제이타워3차 지식산업센터) 10층 1017호",배전반 및 전기 자동제어반 제조업 외 1 종
1369,믿음ENG,인천광역시 부평구 부평대로313번길 84 (청천동),주형 및 금형 제조업
1370,바래온 주식회사,"인천광역시 부평구 부평북로236번길 49, 4층 (청천동)",여자용 겉옷 제조업
1371,바래온 주식회사,"인천광역시 부평구 부평대로313번길 30, 신관 3,4층 (청천동) 외 1필지",여자용 겉옷 제조업
1372,바로담다,"인천광역시 부평구 부평대로 337, 4층 425호(청천동, 부평 제이타워3차 지식산업센터) 4층 425호 외 1필지",기타 식품 첨가물 제조업
1373,바른건축,"인천광역시 부평구 부평대로 337, 3층 316호 (청천동, 부평 제이타워3차 지식산업센터) 3층 316호","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종"
1374,바른기술,"인천광역시 부평구 부평대로 301 B1층 B108호 (청천동, 남광센트렉스) B1층 B108호",반도체 제조용 기계 제조업
1375,바른자세의 과학연구원,인천광역시 부평구 경인로 959-1 (부평동),체외 진단 시약 제조업 외 1 종
1376,바른푸드,"인천광역시 부평구 충선로203번길 12, 4층 402호(삼산동, 뉴존프라자)",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종
1377,바바라독,"인천광역시 부평구 부평대로 337, 4층 437호(청천동, 부평 제이타워3차 지식산업센터) 4층 437호 외 1필지",핸드백 및 지갑 제조업 외 1 종
1378,바우테크니크,"인천광역시 부평구 새벌로 45, 가동 1층 (청천동)",주형 및 금형 제조업
1379,바이앤고,"인천광역시 부평구 부평대로 337, 10층 1008호(청천동, 부평 제이타워3차 지식산업센터) 10층 1008호 외 1필지",포장 및 충전업
1380,바이오밴코리아(주),"인천광역시 부평구 부평대로 337, 6층 607호 (청천동, 부평 제이타워3차 지식산업센터) 6층 607호",그 외 기타 분류 안된 화학제품 제조업 외 4 종
1381,바임코리아,"인천광역시 부평구 안남로402번길 84, 2층 3호(청천동, 신우몰드(주))",기타 가정용 전기기기 제조업 외 1 종
1382,방가정밀,인천광역시 부평구 백범로577번길 15-22 (십정동),절삭가공 및 유사처리업
1383,백마비니루,"인천광역시 부평구 부평대로 337, 1층 104호(청천동, 부평 제이타워3차 지식산업센터) 1층 104호","플라스틱 포대, 봉투 및 유사제품 제조업"
1384,백마텔레콤,"인천광역시 부평구 부평대로 301 8층 814호 (청천동, 남광센트렉스) 8층 814호",시스템 소프트웨어 개발 및 공급업
1385,범양E.N.G,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B217호",가정용 및 산업용 공기 조화장치 제조업 외 1 종
1386,범양ENG,"인천광역시 부평구 부평대로 293, 6층 605호 (청천동, 부평테크시티) 6층 605호 외 1필지",비주거용 건물 임대업
1387,범양공조기계,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B215호 외 2필지",구조용 금속 판제품 및 공작물 제조업
1388,범한정밀,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B123호",절삭가공 및 유사처리업
1389,범환금속,인천광역시 부평구 백범로604번길 32-9 (십정동),그 외 기타 금속가공업
1390,법일정밀,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 2층 203호",기타 구조용 금속제품 제조업 외 1 종
1391,베스트라이프,"인천광역시 부평구 부평대로 283, B동 4층 409호 (청천동, 부평 우림라이온스밸리)",액체 여과기 제조업
1392,베스트주방기기,"인천광역시 부평구 부평대로 337, 4층 435호 (청천동, 부평 제이타워3차 지식산업센터) 4층 435호",기타 일반 기계 및 장비 수리업
1393,베이커휴즈코리아(주),"인천광역시 부평구 부평대로 301 B1층 B115-2호 (청천동, 남광센트렉스) B1층 B115-2호",배전반 및 전기 자동제어반 제조업 외 1 종
1394,보국상사(주),"인천광역시 부평구 부평대로 301 8층 805호 (청천동, 남광센트렉스) 8층 805호",기타 엔지니어링 서비스업
1395,보령금속,"인천광역시 부평구 새벌로 29 3층 311호 (청천동, 부평테크노타워) 3층 311호",주형 및 금형 제조업
1396,보문사,인천광역시 부평구 부평대로329번길 3 (청천동),경 인쇄업 외 1 종
1397,보미테크,"인천광역시 부평구 부평대로 301 5층 514호 (청천동, 남광센트렉스) 5층 514호 외 1필지",기체 여과기 제조업
1398,보미테크,"인천광역시 부평구 부평대로 293, 8층 814호(청천동, 부평테크시티) 8층 814호",비주거용 건물 임대업
1399,보성메디텍(주),인천광역시 부평구 부평북로 7(청천동),그 외 기타 의료용 기기 제조업
1400,보카스(주),"인천광역시 부평구 청중로 100, 3층 (청천동)",날붙이 제조업
1401,부광SH,인천광역시 부평구 부평대로329번길 32 (청천동),비주거용 건물 임대업
1402,부광금형,인천광역시 부평구 평천로199번길 53 (청천동),주형 및 금형 제조업
1403,부광메탈,인천광역시 부평구 부평북로236번길 11 (청천동),"동 압연, 압출 및 연신제품 제조업"
1404,부성메카텍,"인천광역시 부평구 백범로577번길 20, 공장동동 1층 131호 (십정동, 경인센타) 공장동 1층 131호",주형 및 금형 제조업
1405,부성엔지니어링,인천광역시 부평구 부평대로329번길 29 (청천동),인쇄 및 제책용 기계 제조업
1406,부영ENG,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) B동 3층 301호",비주거용 건물 임대업
1407,부원금속,인천광역시 부평구 세월천로110번길 7-10 (청천동),"금속 문, 창, 셔터 및 관련제품 제조업"
1408,부조뱅크,"인천광역시 부평구 평천로255번길 13, 7층 703호  (청천동) 7층 703호 외 1필지",응용 소프트웨어 개발 및 공급업
1409,부치인더스트리즈코리아(유),"인천광역시 부평구 부평대로 337, 1층 131호(청천동, 부평 제이타워3차 지식산업센터) 1층 131호 외 1필지",기타 가공 공작기계 제조업
1410,부텍스,"인천광역시 부평구 부평대로 337, 12층 1216호(청천동, 부평 제이타워3차 지식산업센터) 12층 1216호",광고 대행업
1411,부평로지스틱스피에프브이(주),인천광역시 부평구 안남로402번길 63(청천동),일반 창고업
1412,부평서비스기아오토큐(합),인천광역시 부평구 청중로 104(청천동),도장 및 기타 피막처리업
1413,부평솔루션,"인천광역시 부평구 부평대로 337, 8층 823호 (청천동, 부평 제이타워3차 지식산업센터) 8층 823호",비주거용 건물 임대업
1414,부평아이디씨투자회사,인천광역시 부평구 안남로418번길 27(청천동),기타 부동산 개발 및 공급업 외 1 종
1415,부평우림라이온스밸리 C-201호,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 2층 201호",비주거용 건물 임대업
1416,부평자동차공업사,인천광역시 부평구 안남로369번길 2 (청천동),도장 및 기타 피막처리업
1417,부현정밀,"인천광역시 부평구 부평북로 301-1, A동 (갈산동)",전시 및 광고용 조명장치 제조업
1418,뷰티플러스,"인천광역시 부평구 부평대로 301 6층 609호 (청천동, 남광센트렉스) 6층 609호",기타 가정용 전기기기 제조업
1419,브이티코리아(주),"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B1층 B133호 외 1필지",산업처리공정 제어장비 제조업
1420,비바코리아,"인천광역시 부평구 청중로 100, 2층 202호 (청천동)",방송장비 제조업
1421,비바코리아 제1공장,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 506호",방송장비 제조업
1422,비스코,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 11층 1110호",그 외 기타 특수목적용 기계 제조업
1423,비앤디엔지니어링 (우림),인천광역시 부평구 청천동 425번지 부평 우림라이온스밸리 C동 4층 411 C동 4층 411호,기타 엔지니어링 서비스업
1424,비에스,"인천광역시 부평구 평천로255번길 13, 6층 609호  (청천동) 6층 609호",제품 디자인업
1425,비에스텍,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 8층 811호 외 2필지",육상 금속 골조 구조재 제조업 외 1 종
1426,비에이치코리아,인천광역시 부평구 청농로64번길 9 (청천동) 3층 2호,"탭, 밸브 및 유사장치 제조업"
1427,비에프엘코리아(BFLKOREA),"인천광역시 부평구 부평대로 337, 7층 731호 (청천동, 부평 제이타워3차 지식산업센터) 7층 731호 외 1필지",비주거용 건물 임대업
1428,비엔에스엔지니어링,"인천광역시 부평구 새벌로 29 8층 816호 (청천동, 부평테크노타워) 8층 816호",기기용 자동측정 및 제어장치 제조업
1429,비엔제이전자,인천광역시 부평구 안남로418번길 27 (청천동),그 외 기타 전자부품 제조업 외 1 종
1430,비엠라이트 주식회사,"인천광역시 부평구 부평대로329번길 3, 306-2호 (청천동)",기타 전기 변환장치 제조업 외 1 종
1431,비엠비컨넥터,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 9층 911호 외 2필지",비주거용 건물 임대업
1432,비엠텍,"인천광역시 부평구 부평대로 337, 7층 742호(청천동, 부평 제이타워3차 지식산업센터) 7층 742호",전기회로 접속장치 제조업
1433,비오비피,"인천광역시 부평구 부평대로 283, C동 5층 508 (청천동, 부평 우림라이온스밸리)",기타 운동 및 경기용구 제조업
1434,비젼 포커스,"인천광역시 부평구 평천로255번길 13, 11층 1111호  (청천동) 11층 1111호",포장 및 충전업
1435,비콘디자인,"인천광역시 부평구 부평대로 337, 12층 1231호(청천동, 부평 제이타워3차 지식산업센터) 12층 1231호 외 1필지",제품 디자인업 외 1 종
1436,비티에스(BTS),"인천광역시 부평구 부평대로 337, 4층 425호(청천동, 부평 제이타워3차 지식산업센터) 4층 425호",비주거용 건물 임대업
1437,비티엠(BTM),"인천광역시 부평구 부평대로 337, 4층 426호(청천동, 부평 제이타워3차 지식산업센터) 4층 426호",비주거용 건물 임대업
1438,비티케이(BTK),"인천광역시 부평구 길주로585번길 7-20, 103호 (갈산동)",기기용 자동측정 및 제어장치 제조업
1439,빅리더,"인천광역시 부평구 평천로255번길 13, 6층 605호  (청천동) 6층 605호",포장 및 충전업
1440,빅베어 인터내셔널,"인천광역시 부평구 주부토로 236, 제비동 b118호(갈산동, 인천테크노밸리 U1센터) 제비동 b118호",기타 인쇄업 외 1 종
1441,사단법인 장애인미래에너지창조연합회,인천광역시 부평구 부평대로329번길 86 (청천동),"근무복, 작업복 및 유사의복 제조업"
1442,사단법인 행복나눔장애인복지협회 본점작업장,인천광역시 부평구 마장로426번길 33 (청천동) 302호,"근무복, 작업복 및 유사의복 제조업 외 18 종"
1443,사회복지법인 손과손 핸인핸부평,인천광역시 부평구 동수로 87 (부평동) 예림원 E동 3층,감광재료 및 관련 화학제품 제조업
1444,산소바람 O2phia,"인천광역시 부평구 안남로 447-1, 2층 (청천동)","증류기, 열교환기 및 가스발생기 제조업"
1445,산요자외선,"인천광역시 부평구 부평대로 283, B동 7층 702 (청천동, 부평 우림라이온스밸리)",전구 및 램프 제조업
1446,산요자외선,"인천광역시 부평구 부평대로 337, 10층 1036호 (청천동, 부평 제이타워3차 지식산업센터) 10층 1036호",그 외 기타 전기장비 제조업
1447,삼건화학,인천광역시 부평구 부평대로141번길 6 (부평동),그 외 기타 분류 안된 화학제품 제조업 외 2 종
1448,삼두인스트루먼트,인천광역시 부평구 장제로373번길 19-1 (갈산동) 1층,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
1449,삼명금속,"인천광역시 부평구 백범로577번길 20, 공장동동 1층 138호 (십정동, 경인센타) 공장동 1층 138호",일반철물 제조업
1450,삼미지에이에스,"인천광역시 부평구 부평대로 337, 12층 1256호(청천동, 부평 제이타워3차 지식산업센터) 12층 1256호 외 1필지",경영 컨설팅업
1451,삼보아트,"인천광역시 부평구 부평대로 337, 1층 119호(청천동, 부평 제이타워3차 지식산업센터) 1층 119호 외 1필지",비주거용 건물 임대업
1452,삼삼공사,"인천광역시 부평구 부평대로 337, 3층 335호(청천동, 부평 제이타워3차 지식산업센터) 3층 335호",비주거용 건물 임대업
1453,삼성계기,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B222호","전자기 측정, 시험 및 분석기구 제조업"
1454,삼성정밀,"인천광역시 부평구 부평대로 337, 1층 106호(청천동, 부평 제이타워3차 지식산업센터) 1층 106호",동력식 수지공구 제조업
1455,삼양상사,"인천광역시 부평구 새벌로 29, 2층 217호 (청천동, 부평테크노타워) 2층 217호",목재문 및 관련제품 제조업
1456,삼양정밀,인천광역시 부평구 백범로604번길 32-11 (십정동),운송장비 조립용 플라스틱제품 제조업 외 1 종
1457,삼우산업,인천광역시 부평구 안남로418번길 10(청천동),절삭가공 및 유사처리업
1458,삼우와이어,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 607호",전자감지장치 제조업
1459,삼익전자공업(주),인천광역시 부평구 새벌로 17 (청천동),금속 표시판 제조업 외 22 종
1460,삼익제약(주),인천광역시 부평구 청안로 13 (청천동),생물 의약품 제조업 외 1 종
1461,삼익조명,"인천광역시 부평구 청농로64번길 37, 1,2층 (청천동, 두리파크)",일반용 전기 조명장치 제조업
1462,삼익포장,인천광역시 부평구 서달로298번길 121 (청천동),그 외 기타 종이 및 판지 제품 제조업
1463,삼인기술(주),"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 4층 405호","전자기 측정, 시험 및 분석기구 제조업"
1464,삼인다이아몬드,"인천광역시 부평구 백범로577번길 20, 공장동동 5층 524호 (십정동, 경인센타) 공장동 5층 524호",톱 및 호환성 공구 제조업
1465,삼일무역상사,"인천광역시 부평구 부평대로 337, 2층 208호(청천동, 부평 제이타워3차 지식산업센터) 2층 208호",금속 단조제품 제조업
1466,삼주테크,"인천광역시 부평구 새벌로 29 8층 814호 (청천동, 부평테크노타워) 8층 814호",스크린 인쇄업
1467,상광전자,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 1층 102호 외 2필지",주형 및 금형 제조업
1468,상보인터내셔날,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B105호","플라스틱 포대, 봉투 및 유사제품 제조업"
1469,상승테크,"인천광역시 부평구 새벌로 29, 6층 611호(청천동, 부평테크노타워) 6층 611호",주형 및 금형 제조업
1470,상아시스템,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 3층 303-B호",가정용 비전기식 조리 및 난방 기구 제조업
