연번,회사명,공장대표주소,업종
81,(주)대신건업,인천광역시 부평구 항동로46번길 38 (일신동),"금속 문, 창, 셔터 및 관련제품 제조업"
82,(주)대원에프에이,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 8층 808-B호",기기용 자동측정 및 제어장치 제조업
83,(주)대원화인켐,"인천광역시 부평구 부평대로 337, 6층 638호 (청천동, 부평 제이타워3차 지식산업센터) 6층 638호",포장 및 충전업
84,(주)대은글로벌솔루션,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 603-C호 외 1필지",구름베어링 제조업 외 6 종
85,(주)대일본초,"인천광역시 부평구 부평대로 337, 3층 328호(청천동, 부평 제이타워3차 지식산업센터) 3층 328호",광고 대행업
86,(주)대진표면처리약품,인천광역시 부평구 십정동 120번지 경남도금단지 401호,그 외 기타 분류 안된 화학제품 제조업 외 2 종
87,(주)대평종합운수,"인천광역시 부평구 부평대로 337, 10층 1038호 (청천동, 부평 제이타워3차 지식산업센터) 10층 1038호",포장 및 충전업
88,(주)대한비즈플랫폼,"인천광역시 부평구 부평대로 337, 9층 937호 (청천동, 부평 제이타워3차 지식산업센터) 9층 937호",통신 재판매업
89,(주)대현에이엔디(지점),"인천광역시 부평구 부평대로 337, 2층 207호(청천동, 부평 제이타워3차 지식산업센터) 2층 207호",인테리어 디자인업
90,(주)대호국제물류,"인천광역시 부평구 부평대로 337, 11층 1127호(청천동, 부평 제이타워3차 지식산업센터) 11층 1127호",경영 컨설팅업
91,(주)대흥밸브,"인천광역시 부평구 평천로255번길 13, 5층 501호  (청천동) 5층 501호 외 3필지","탭, 밸브 및 유사장치 제조업"
92,(주)대흥인터내셔날,"인천광역시 부평구 부평대로 301 5층 508-2호 (청천동, 남광센트렉스) 5층 508-2호",기타 절연선 및 케이블 제조업
93,(주)더마크엠,인천광역시 부평구 새벌로 4(청천동),기타 부동산 개발 및 공급업
94,(주)더메이테크,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 6층 609-B호",비디오 및 기타 영상기기 제조업 외 13 종
95,(주)더블유엠비,"인천광역시 부평구 부평대로 337, 6층 623호 (청천동, 부평 제이타워3차 지식산업센터) 6층 623호","광고물 문안, 도안, 설계 등 작성업 외 1 종"
96,(주)더블유티씨,"인천광역시 부평구 무네미로448번길 56, 421호(구산동, 한국폴리텍대학(인천캠퍼스))",방송장비 제조업 외 3 종
