번호,산업분류번호,업체명,소재지,주생산품,데이터기준일자
90,29,(주)대주테크,대전광역시 대덕구 대화로32번길 60-12 (대화동),자동차부품,2025-08-18
91,29,(주)대진아이티,대전광역시 대덕구 신일동로 85 (신일동),"공작기계부품, 산업용기계부품",2025-08-18
92,29,(주)대진하이테크,대전광역시 대덕구 상서당1길 58-2 (상서동),볼트류,2025-08-18
93,25,(주)대창열처리,"대전광역시 대덕구 대전로1331번길 135 (대화동, 대창열처리)",태양광 가로등,2025-08-18
94,25,(주)대청솔라팜ENG,대전광역시 대덕구 산업단지로87번길 82 (신일동),태양광발전세트,2025-08-18
95,28,(주)대청에너지,대전광역시 대덕구 산업단지로87번길 82 (신일동),연구용 실험 기기 외,2025-08-18
96,33,(주)대한과학,"대전광역시 대덕구 대화로150번길 42-6 (대화동, 대양알로이스틸)",소방설계감리 ,2025-08-18
97,72,(주)대한산업안전본부,"대전광역시 대덕구 대화로106번길 66, 9층 928호(대화동, 펜타플렉스) 9층 928호 외 4필지",연탄,2025-08-18
98,19,(주)대한연탄,대전광역시 대덕구 평촌2길 47 (평촌동) 외 2필지,외장형 점등장치,2025-08-18
99,28,(주)대한특전,대전광역시 대덕구 신탄진로804번길 87-8 (신탄진동),커피자판기,2025-08-18
100,26,(주)대화디지탈,"대전광역시 대덕구 방두말5길 11 (상서동, (주)대화디지탈)","구내방송장치, 유선통신기기, 음향영상기기, 전광판, CCTV장비, 교통신호장치",2025-08-18
101,26,(주)대흥솔루션,대전광역시 대덕구 계족로 716 (법동),반도체용 검사장비 및 자동화 장비,2025-08-18
102,29,(주)더뷰나인,"대전광역시 대덕구 대화로 120, 7층 722호(대화동, 가온비즈타워) 7층 722호",자동제어반,2025-08-18
103,28,(주)더비케이,대전광역시 대덕구 문평서로18번길 15 (문평동),"금속지붕, 금속벽, 옥외용벤치, 운동시설물",2025-08-18
104,25,(주)더에이스테크,"대전광역시 대덕구 대화로32번길 79, 5동 2층(대화동, 대원종합물산)",미끄럼방지포장재,2025-08-18
105,20,(주)더좋은건설,"대전광역시 대덕구 대화로32번길 79, 5동 2층 (대화동) (대화동, 대원종합물산)",오리훈제외,2025-08-18
106,10,(주)덕스 농업회사법인,대전광역시 대덕구 신일서로18번길 34 (신일동),유공압 기계 설비,2025-08-18
107,29,(주)덕인엔지니어링,대전광역시 대덕구 대화로 135 (대화동) 외 1필지,산업기계,2025-08-18
108,25,(주)덕인텍,"대전광역시 대덕구 방두말2길 6 (상서동, (주)대청엔지니어링)",전원품질 분석기,2025-08-18
109,27,(주)데베트론코리아,"대전광역시 대덕구 대화로 120, 7층 734호(대화동, 가온비즈타워) 7층 734호","제습제,방습제,방청제",2025-08-18
110,20,(주)데시칸,대전광역시 대덕구 방두말4길 29 (평촌동),계육가공,2025-08-18
111,10,(주)델리원,대전광역시 대덕구 신일서로18번길 38-23 (신일동),신발류,2025-08-18
112,15,(주)도리,대전광역시 대덕구 신일동로33번길 21 (신일동),"산업기계부품, 연구실험기계",2025-08-18
113,29,(주)도형아이엠,대전광역시 대덕구 석봉로3번길 47-9 (석봉동) 외 1필지,안경렌즈,2025-08-18
114,27,(주)독일테크,대전광역시 대덕구 신일서로18번길 100 (신일동),종합식자재,2025-08-18
115,52,(주)동그랑,"대전광역시 대덕구 대화로150번길 42-42 (대화동, 동그랑)","PE필름,PE백, 파우더",2025-08-18
116,20,(주)동도뉴텍,"대전광역시 대덕구 방두말4길 29 (평촌동, (주)동도뉴텍)",인쇄된 필름,2025-08-18
117,18,(주)동서산업,대전광역시 대덕구 평촌1길 37 (신탄진동),철판가공제품,2025-08-18
118,25,(주)동신에스텍,대전광역시 대덕구 신일서로18번길 10(신일동),"자동제어기기,컨드롤 판넬,배전반",2025-08-18
119,27,(주)동아F.A시스템,대전광역시 대덕구 오정로99번길 28-11 (오정동),"수,배전반",2025-08-18
120,28,(주)동아기전,대전광역시 대덕구 오정로 13 (오정동),모터사이클,2025-08-18
121,31,(주)동양모터스,"대전광역시 대덕구 오정로 57, 나동 2층 (오정동)","금속성형기기, 구조용금속제품 등",2025-08-18
122,29,(주)동양산기,"대전광역시 대덕구 신일서로125번길 90, 1709-7","철골소부재,BH-Beam,태양광",2025-08-18
123,24,(주)동양에스텍,"대전광역시 대덕구 대화로32번길 84 (대화동, 동양에스텍)",황산제2철,2025-08-18
124,20,(주)동양이앤씨,대전광역시 대덕구 대화로52번안길 18 (대화동),"흄후드, 크린벤치, 이화학기기, 전압조절장치, 실험대 외",2025-08-18
125,27,(주)동양케미칼,"대전광역시 대덕구 대화로32번길 60-21 (대화동, 동양제철화학)",철강재 가공품,2025-08-18
126,24,(주)동우에스티,"대전광역시 대덕구 신일동로 71 (신일동, (주)엠아이티코리아)",육류,2025-08-18
127,10,(주)동원홈푸드,대전광역시 대덕구 대화로 36 (대화동) 외 1필지,"부품가공, 팔레트, 목상자",2025-08-18
128,29,(주)동화정공,"대전광역시 대덕구 대화로32번길 150 (대화동, 왕림산업)",냉난방기 수리,2025-08-18
129,34,(주)두나이엔지,"대전광역시 대덕구 대화로106번길 66, 204호(대화동, 펜타플렉스) 204호 204호",금속창호,2025-08-18
130,25,(주)두리,대전광역시 대덕구 오정로51번길 28-10 (오정동),"특장차부속품, 산업기계부속품",2025-08-18
131,25,(주)두성프라즈마,"대전광역시 대덕구 덕암북로4번길 165, 1동 (덕암동)","가로등기구, 조명기구, 고보조명",2025-08-18
132,28,(주)두수,"대전광역시 대덕구 대화로 120, 6층 626호(대화동, 가온비즈타워) 6층 626호 6층 626호",철근가공,2025-08-18
133,24,(주)두하,대전광역시 대덕구 문평서로18번길 50 (문평동),PLC등을 이용한 공정제어시스템,2025-08-18
134,27,(주)드림테크,"대전광역시 대덕구 대화로139번길 25, 2층 (대화동)",산업처리공정 제어장비,2025-08-18
135,27,(주)드림테크 제2공장,"대전광역시 대덕구 대화로106번길 66, 6층 610호(대화동, 펜타플렉스) 6층 610호","유압유니트 외, 코팅기계, 유압유니트 외, 코팅기계",2025-08-18
136,29,(주)디도유압,대전광역시 대덕구 대화로32번길 60-13 (대화동),정밀측정 JIG,2025-08-18
137,25,(주)디알피,"대전광역시 대덕구 대화로 120, 4층 411호(대화동, 가온비즈타워) 4층 411호 4층 411호 외 1필지",폴리실라잔,2025-08-18
