순번,업체명,업종,주생산품,용지면적,제조시설,부대시설,남,여
225,카피콩 인더스트리,데이터베이스 및 온라인정보 제공업 (63991),"기록물 관련 DB구축, 기록물 정리",45.01,147.85,147.4,0,0
226,케이디에프(주),응용 소프트웨어 개발 및 공급업 (58222),"렌터카 ERP, 보험 ERP",65.3,211.68,210.82,3,2
227,케이디전자,기타 조명장치 제조업 (28429),LED 충전식 전호등 랜턴,25.19,82.74,82.49,0,0
228,크로스앤지이,경영 컨설팅업 (71531),"UPS 및 AVR, 축전지 시장 현황조사 및 컨설팅",23.01,75.6,75.37,1,2
229,클라우드 컴퍼니,경영 컨설팅업 (71531),"식품유통, 음료제조업체 대상 일반경영, 전략기획 자문",12.74,41.86,41.73,0,0
230,탑공조냉동이엔지,산업용 냉장 및 냉동 장비 제조업 (29171),"냉동, 냉장 기계장비",34.27,112.57,112.22,0,0
231,태선엔지니어링,건물 및 토목 엔지니어링 서비스업 (72121),"토목, 건축 평가보고서",59.46,195.31,194.71,0,0
232,테크플러스,컴퓨터 프로그래밍 서비스업 (62010),"자동화 시스템, 무선시스템 관리 소프트웨어",101.01,331.83,330.81,0,0
233,톺(TOP),광고 대행업 (71310),"문구, 장난감, 오락용품 인터넷광고 대행",54.35,178.56,178,0,0
234,투랩,기타 광학기기 제조업 (27309),광학부품,25.1,82.74,82.49,1,1
235,프리모션테크,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업 (73909)",보존 서적 방부처리 서비스,23.52,77.28,77.04,0,0
236,피움,구조용 금속 판제품 및 공작물 제조업 (25112),어닝,25.57,84,83.74,0,0
237,하나테크,기타 광학기기 제조업 (27309),"광학기기, 현미경",34.52,113.4,113.05,0,0
238,하덴,그 외 기타 금속가공업 (25929),철구조물 주문생산,25.19,82.74,82.49,0,0
239,하비모델 ,무인 항공기 및 무인 비행장치 제조업 (31312),"무인항공기, 드론",16.04,52.71,52.54,0,0
240,하율소프트,모바일 게임 소프트웨어 개발 및 공급업 (58212),모바일 게임,23.01,75.6,75.37,0,0
241,하이터치,금속 캔 및 기타 포장용기 제조업 (25991),STS 316 CELL,47.04,154.56,154.08,0,0
242,하하어패럴,"경영 컨설팅업 외 1종 (71531, 73209)","R&D 사업관련 자문 및 경영컨설팅, 의류디자인",82.99,272.67,271.83,0,0
243,하하커뮤니케이션,경영 컨설팅업 (71531),"시장, 인력, 재정관련 경영 자문",79.54,261.3,260.49,0,0
244,한결커뮤니티,광고 대행업 (71310),광고대행업,95.91,310.95,309.68,1,0
245,한국경영컨설팅연구소,콜센터 및 텔레마케팅 서비스업 (75991),"서비스(텔레마케이팅, 건강식품 위주)",80.9,295.32,294.42,0,0
