CTPRVN_NM,SIGNGU_NM,ADSTRD_CD,PRFPLC_CO,FOOD_FCLTY_CO,LDGMNT_FCLTY_CO,POPLTN_CO,FILE_NM,BASE_DE
인천광역시,서구,2826070000,1,310,3,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826071000,2,305,0,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826072000,5,500,21,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826073000,0,355,2,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,서구,2826074000,0,312,4,492648,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818563000,5,423,60,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818564000,0,178,0,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818575000,0,280,3,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818576100,0,517,7,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818576200,0,755,7,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818576300,1,30,0,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818576600,2,487,8,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818578000,3,312,4,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818579000,4,214,5,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818579500,6,124,1,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818582000,20,792,21,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818583000,8,871,21,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818584000,3,565,1,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818585000,3,166,4,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,연수구,2818586000,0,125,1,345326,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,옹진군,2872031000,0,46,138,13104,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,옹진군,2872033000,0,168,88,13104,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,옹진군,2872034000,0,19,46,13104,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,옹진군,2872035000,1,43,105,13104,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,옹진군,2872036000,3,285,450,13104,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,옹진군,2872037000,1,20,182,13104,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,옹진군,2872038000,2,44,33,13104,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811052000,1,365,36,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811053000,24,424,35,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811054000,1,261,17,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811056000,0,38,0,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811057000,1,34,2,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811058500,9,345,63,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811061500,12,235,36,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811062000,1,440,26,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811062200,0,176,10,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811062300,2,400,26,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811062800,9,983,111,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,중구,2811063000,4,501,313,142014,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
